# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Registro Completo Delle Modifiche
d11_coverage_rioting	Detenuti in rivolta: *X
d11_coverage_calamity_surface	*X mattonelle stradali gelate/sciolte
d11_coverage_flooded_area	Zone allagate: *X
d11_coverage_small_fire	Incendio piccolo
d11_coverage_medium_fire	Incendio medio
d11_coverage_big_fire	Incendio grande
d11_coverage_rats	Topi: *X
d11_coverage_heat	Calore: *X
d11_coverage_grand_total	Totale generale
adviser_name_foreman	Il primo giurato
adviser_name_gardener	Il giardiniere
adviser_name_Janitor	L'inserviente
need_name_hydration	Idratazione
need_name_staffhydration	Idratazione
needs_help_hydration	Tutti devono bere, soprattutto con il caldo. Mantenere una bassa esigenza di idratazione riduce il rischio di colpi di calore, ma aumenta anche l'esigenza di usare il bagno. Prova a posizionare qualche fontana, così i detenuti potranno bere nel tempo libero.
needs_help_staffhydration	Tutti devono bere, soprattutto con il caldo. Mantenere una bassa esigenza di idratazione riduce il rischio di colpi di calore, ma aumenta anche l'esigenza di usare il bagno. Lo staff berrà durante le pause usando il distributore nella stanza dello staff.
finances_category_coverageplans	Piano copertura della prigione
reports_visitationpolicytitle	Politica visite
reports_visitation_info	Regola orari di visita:
visitation_title	Orari di visita
visitation_desc	Orari di visita più estesi offriranno maggiori benefici alle esigenze e una maggiore durata dei benefici. Con visite disponibili solo dalle 8 alle 20.
reports_visitation_primaryerror	Il regime attuale non consente una sessione di visite di questa durata.
reports_visitation_secondaryerror	Il regime attuale permette solo *X sessione/i di questa durata.
status_effect_heatstroke	Colpo di calore
status_effect_calamityflu	Influenza
codex_new_weathertype	Condizioni meteorologiche e intensità
codex_tooltip_weathertype	Durante il gioco, possono presentarsi diversi modelli meteorologici. Per un'esperienza più impegnativa, puoi scegliere Alto, Medio o Basso. Seleziona Storico se vuoi solo testare il meteo.
codex_new_startingseason	Stagione iniziale
codex_tooltip_temperature	Attiva la temperatura per la tua prigione. Ora i detenuti e lo staff avranno bisogno di Calore. Compra qualche calorifero e cerca di evitare che ci siano correnti d'aria.
codex_new_weathertype_legacynormal	Storico
buildtoolbar_StayIndoors	Resta all'interno
buildtoolbar_tooltip_StayIndoors	Quando è possibile, fai in modo che i detenuti e il personale non fondamentale diano la priorità alle attività al chiuso, per mantenerli al sicuro in caso di calamità. Accetteranno quest'ordine solo durante una calamità.
object_FallenTree	Albero caduto
object_FallenTreeBig	Alberi caduti
object_roadmaintenancevehicle	Furgone della manutenzione
interfacecallout_roadmaintenance	Manutenzione stradale
interface_roadMaintenance_no_grit	La manutenzione è disponibile solo una volta ogni 12 ore.
event_deep_freeze_vis_sniper_tower	La torre dei cecchini segnala scarsa visibilità. L'abilità di individuare potenziali fuggitivi sarà ridotta finché il tempo non migliorerà.
event_deep_freeze_vis_outside_guard	Le guardie di pattuglia all'esterno segnalano problemi di visibilità. Sembra che non riescano a individuare i detenuti troppo lontani.
event_lightning_storm_vis_sniper_tower	Con questo tempo, i cecchini sulla torre hanno problemi di visibilità. Non riescono a vedere come in condizioni normali.
event_lightning_storm_vis_outside_guard	Con questo tempo, le guardie all'esterno segnalano scarsa visibilità. Teniamolo presente, nel caso qualcuno tentasse la fuga.
research_NonLethalSniper	Cecchino non letale
researchtooltip_NonLethalSniper	Grazie alle nuove munizioni, i cecchini possono usare le pistole senza rischiare uccisioni. A meno che non venga dato l'ordine di fuoco a volontà, i colpi di un cecchino possono solo stordire i detenuti.
material_FieldGrass	Campo d'erba
buildtoolbar_popup_mat_FieldGrass	Uno spazio verde invaso dalla vegetazione.
material_LaminateFlooringFR	Pavimento laminato (ignifugo)
buildtoolbar_popup_mat_LaminateFlooringFR	Un pavimento di legno con proprietà ignifughe.
material_CarpetFR	Moquette (ignifuga)
buildtoolbar_popup_mat_CarpetFR	Posa una comoda moquette, perfetta per le aree dello staff. Ha anche proprietà ignifughe.
object_Shiba	Shiba Inu
buildtoolbar_popup_obj_Shiba	Cane poliziotto giovane ma esperto con un debole per i croccantini a base di pollo e formaggio.
object_BlackSetter	Setter nero
buildtoolbar_popup_obj_BlackSetter	Cacciatore di piccoli bastoni e fuggitivi.
object_FernBush	Felce
buildtoolbar_popup_obj_FernBush	Questo cespuglio ama crescere all'ombra.
object_WillowTree	Salice piangente
buildtoolbar_popup_obj_WillowTree	Quest'albero starebbe bene vicino a uno specchio d'acqua, oppure potrebbe far parte di un giardino elegante.
dialog_openSurvey	Apri sondaggio
object_Ivy	Edera
buildtoolbar_popup_obj_Ivy	Un cespuglio decorativo dalle fitte foglie.
buildtoolbar_popup_uts_Radiator	Posizionali in tutta la prigione per mantenere la stanze al caldo.
equipment_FirstAidBackpack	Zaino di primo soccorso
object_GritterDriver	Autista spargighiaia
DF_1_advisor	Complimenti per aver gestito questa calamità. Dato che hai gestito bene la situazione, per i prossimi 5 giorni non ti verrà addebitato il piano di copertura associato.
DF_2_advisor	Complimenti per aver gestito questa calamità. Date le tue incredibili abilità di gestione, nei prossimi 3 giorni lo staff sarà più efficiente.
DF_3_advisor	Complimenti per aver gestito questa calamità. Per i prossimi 10 giorni non dovrai preoccuparti che questa calamità si ripeta.
LS_1_advisor	Complimenti per aver gestito questa calamità. Nel prossimo futuro ti aspetta una ricompensa.
LS_2_advisor	Complimenti per aver gestito questa calamità. Dato che hai gestito bene la situazione, per i prossimi 15 giorni non ti verrà addebitato il piano di copertura associato.
LS_3_advisor	Complimenti per aver gestito questa calamità. Per i prossimi 10 giorni non dovrai preoccuparti che questa calamità si ripeta.
HW_1_advisor	Complimenti per aver gestito questa calamità. Accetta questo bonus di 10.000 $ e continua su questa strada.
HW_2_advisor	Complimenti per aver gestito questa calamità. I detenuti saranno grati delle tue attenzioni e per i prossimi 5 giorni le loro esigenze miglioreranno.
HW_3_advisor	Complimenti per aver gestito questa calamità. Per i prossimi 20 giorni non dovrai preoccuparti che questa calamità si ripeta.
R_1_advisor	Complimenti per aver gestito questa calamità. Accetta questo bonus di 10.000 $ e continua su questa strada.
R_2_advisor	Complimenti per aver gestito questa calamità. I detenuti saranno grati delle tue attenzioni e per i prossimi 3 giorni le loro esigenze miglioreranno.
R_3_advisor	Complimenti per aver gestito questa calamità. Date le tue incredibili abilità di gestione, per i prossimi 5 giorni lo staff sarà più efficiente.
fallen_tree_advisor	Da dove sono arrivati questi alberi? Il vento dev'essere più forte di quanto pensassimo. Le consegne procedono a rilento, sarebbe meglio mandare qualche operatore a rimuovere i detriti.
door_swollen_advisor	Il caldo ha fatto espandere le porte. Gli operai dovranno raffreddarle, se vogliamo usarle.
lightning_strike_advisor	La cosa più pericolosa di una tempesta sono i fulmini, che rischiano di colpire oggetti e persone. I parafulmini potranno deviare i fulmini: acquistane qualcuno per proteggere la tua prigione e le persone al suo interno.
frozen_ground_advisor	I sentieri esterni iniziano a ghiacciarsi sul serio. Gli inservienti con la formazione adeguata dovrebbero riuscire a spargere della ghiaia.
heatwave_fire_advisor	Con questa ondata di calore dobbiamo fare attenzione a eventuali piante o oggetti di legno all'esterno. Se scoppia un incendio dobbiamo contenerlo immediatamente.
deep_freeze_frozen_shower_head	Le docce si congelano molto facilmente e non possiamo fare molto per impedirlo. Speriamo che quelle ancora in buono stato siano sufficienti.
deep_freeze_frozen_sprinkler	Con questo freddo, l'impianto antincendio della prigione può ghiacciarsi, mettendo a rischio molte vite. Nel caso dovesse succedere, assicurati di avere uno staff con la formazione antincendio adeguata. Un livello di sicurezza antincendio scadente non gioverebbe alla reputazione della prigione.
interface_action_EmptyRatTrap	Vuota
interface_action_CleanPoop	Pulizia
job_grit	Sentiero ghiacciato con ghiaia
dryness_level_1	Secco
dryness_level_2	Molto secco
dryness_level_3	Estremamente secco
codex_new_ratinfestation	Infestazione di topi
status_effect_calamitycold	Gelo
object_BareTree	Albero (spoglio)
buildtoolbar_popup_obj_BareTree	Quest'albero è il complemento perfetto per i paesaggi innevati.
reform_program_intake_ColdControl	Per inservienti, giardinieri e operai
reform_program_requirements_general	- Ogni partecipante ha bisogno di 1 *X
reform_program_requirements_general_alt	- Ogni partecipante ha bisogno di 1 *X o di 1 *Y
weathermap_temperature_range_c	Intervallo da *X°C a *Y°C
weathermap_temperature_range_f	Intervallo da *X°F a *Y°F
interfacetopbar_tooltip_orderlies	Ci sono *X attendenti
interfacetopbar_tooltip_orderly	Il numero di attendenti liberi da incarichi di cui disponi nella tua prigione.
object_DoubleStaffDoorBlue	Porta doppia per staff (blu)
object_DoubleStaffDoorOrange	Porta doppia per staff (arancione)
d11_staffalert_summary_CalamityHeatwave01	Fa caldo? Tieni ben idratati i tuoi detenuti e le piante
d11_staffalert_details_CalamityHeatwave01	Durante un'ondata di caldo potrebbero presentarsi vari problemi. Il metallo può diventare bollente, quindi fai attenzione a oggetti metallici e porte. Inoltre, mantieni idratati detenuti e membri dello staff per evitare che si impigriscano.
d11_staffalert_hint_CalamityHeatwave01	Con forte vento, gli incendi possono trasformarsi in una catastrofe: cerca di prevenirli e preparati.
buildtoolbar_AutomatedEmergencyService	- Servizio automatizzato
weather_instrument_title	Previsioni per:
dlc_name_polly	Tempesta perfetta
buildtoolbar_stayIndoorsCalamity	Calamità
buildtoolbar_popup_uts_WeatherMachine	La macchina meteorologica fornisce previsioni avanzate. Prevederà durata delle condizioni meteo, temperatura, precipitazioni, velocità del vento e visibilità. Inoltre, offre un conto ala rovescia per possibili eventi meteorologici preoccupanti.
buildtoolbar_popup_obj_DoubleStaffDoorBlue	Una doppia porta utilizzabile dallo staff.
buildtoolbar_popup_obj_DoubleStaffDoorOrange	Una doppia porta utilizzabile dallo staff.
codex_tooltip_startingSeason	Scegli la stagione iniziale. Il meteo seguirà naturalmente tutte le stagioni.
object_AirPestControlHeli	Disinfestazione via aerea

codex_option_default	Predefinito
dlc_name_kimber	Gang
quickbuild_Gymnasium	Palestra
boilingpoint_Needs	Bisogni
boilingpoint_ProgramCompletion	Corsi completati
boilingpoint_RoomQuality	Qualità stanza
buildtoolbar_popup_help_BoilingPoint_3	^ Suggerimenti
securitymenu_popup_recentMisconduct	Cattiva condotta recente:
securitymenu_PrisonerTypeDefault	Predefinito
securitymenu_PrisonerTypeDangerous	Pericoloso
rapsheet_assignguard	Assegna guardia
buildtoolbar_popup_help_securitymenu_4	^Suggerimenti
objective_HelpPrograms	Corsi
objective_grant_positiveEnergyGrant_yard	Costruisci un cortile
gang_green	Verde
d11_gang_bonebreakers_goal	Distruzione
d11_gang_misconduct	Cattiva condotta:
d11_heatmap_deaths	Morti:
interface_action_CleanGraffiti	Pulizia
schedulesearch_menu_Frequency	Frequenza
reputation_Resourceful	Intraprendente
action_Withdrawal	Astinenza
action_ListenToRadio	Ascolto radio
codex_option_plotType	Tipo di lotto
codex_tooltip_plotType	Questo ti permetterà di generare un particolare lotto di partenza. "Predefinito" avrà terra ed erba, "Giungla" somiglierà a una fitta giungla, "Innevato" sarà coperto di neve, "Deserto" sarà un deserto sabbioso, "Lunare" è simile a una superficie lunare, "Isola" sarà circondato dall'acqua e avrà un molo per barche invece di una strada, "Isola collegata" sarà circondato dall'acqua con un ponte collegato alla strada.
survey_letter_1	Gentile direttore,\n\n\nLa ringrazio per aver partecipato ai test delle nuove funzioni e dei nuovi sistemi del carcere.\n\nIn qualità di amministratore delegato, è mia responsabilità raccogliere i riscontri di tutti i direttori per migliorare costantemente l'esperienza.\n\nAvrei piacere se dedicasse qualche minuto a compilare il questionario da me creato.\n\nL'amministratore delegato,\nPrison Architects Corp.
survey_letter_2	Gentile direttore,\n\n\nLa ringrazio nuovamente per la sua costante partecipazione ai test delle nuove funzioni e dei nuovi sistemi del carcere.\n\nDato che abbiamo più tempo per testare le nuove caratteristiche, apprezzerei molto il suo riscontro aggiornato in questo sondaggio.\n\nL'amministratore delegato,\nPrison Architects Corp.
object_Beagle	Beagle
buildtoolbar_popup_obj_Beagle	Più segugio da snack che segugio da caccia.
object_Doberman	Doberman
buildtoolbar_popup_obj_Doberman	Il doberman è il cane poliziotto definitivo.
object_ChocolateLabrador	Labrador color cioccolato
buildtoolbar_popup_obj_ChocolateLabrador	Adora conoscere nuovi amici, ed è ancora più divertente quando l'amico in questione sta scappando.
object_BlackShepherd	Pastore tedesco nero
buildtoolbar_popup_obj_BlackShepherd	Possono sembrare carini, ma spazzeranno via chiunque si metta sulla loro strada.
object_TattooRemovalMachine	Macchina per la rimozione di tatuaggi
buildtoolbar_popup_obj_TattooRemovalMachine	Questo oggetto è indispensabile per riabilitare il membri delle gang. Rimuovere i tatuaggi è il primo passo per la riabilitazione.
object_MetalStool	Sgabello di metallo
buildtoolbar_popup_obj_MetalStool	Un bello sgabellino di metallo.
equipment_TattooRemovalTool	Strumento di rimozione tatuaggi
room_TheCage	La gabbia
buildtoolbar_popup_room_TheCage	Per i prigionieri che si trovano in cella di isolamento. Questa unità esterna viene usata per l'esercizio fisico, pur mantenendo l'isolamento del prigioniero dagli altri detenuti.
quickbuild_TheCage	La gabbia
buildtoolbar_quickbuild_TheCage	Un'unità esterna utilizzabile da singoli detenuti per allenarsi, restando isolati dagli altri.
material_CageFence	Recinzione a gabbia
buildtoolbar_popup_mat_CageFence	Una recinzione a maglie di catena che circonda i detenuti durante l'esercizio fisico.
room_TattooRemovalRoom	Stanza di rimozione tatuaggi
buildtoolbar_popup_room_TattooRemovalRoom	Qui i detenuti possono affrontare il doloroso e noioso processo di rimozione dei loro tatuaggi da gang.
quickbuild_TattooRemovalRoom	Stanza di rimozione tatuaggi
buildtoolbar_quickbuild_TattooRemovalRoom	Qui i detenuti possono affrontare il doloroso e noioso processo di rimozione dei loro tatuaggi da gang.
object_PullUpBars	Barre di trazione
buildtoolbar_popup_obj_PullUpBars	Un attrezzo da ginnastica economico e popolare tra i detenuti più incalliti.
object_KneeRaise	Sollevamento ginocchia
buildtoolbar_popup_obj_KneeRaise	Un attrezzo da ginnastica economico e popolare tra i detenuti più incalliti.
object_PushUpStones	Pietre per piegamenti
buildtoolbar_popup_obj_PushUpStones	Un attrezzo da ginnastica economico e popolare tra i detenuti più incalliti.
object_GangGraffiti	Graffiti gang
d11_hover_info_gang_graffiti_1	+15% di forza nel territorio per i membri della gang
d11_hover_info_gang_graffiti_2	+15% di tenacia nel territorio per i membri della gang
object_FightRing	Ring di combattimento
buildtoolbar_popup_obj_FightRing	Se i detenuti combattono sul ring, non combattono nei corridoi.\n- Soddisfa le esigenze di Esercizio e Ricreazione.
quickbuild_FightClubRoom	Stanza del Fight Club
buildtoolbar_quickbuild_FightClubRoom	A tutti gli effetti, questa stanza non esiste.
room_FightClubRoom	Stanza del Fight Club
buildtoolbar_popup_room_FightClubRoom	A tutti gli effetti, questa stanza non esiste.
object_CageGate	Cancello gabbia
buildtoolbar_popup_obj_CageGate	Un cancello che si abbina bene ai recinti. Funziona come una porta.
buildtoolbar_popup_obj_RemoteDoor	Questa porta è progettata per funzionare con un servomeccanismo funzionante. Accertati di avere abbastanza guardie per controllare l'ingresso e l'uscita di questi tipi di porte o monta dei cuscinetti a pressione
object_RemoteDoorOrange	Porta telecomandata (arancione)
buildtoolbar_popup_obj_RemoteDoorOrange	Questa porta è progettata per funzionare con un servomeccanismo funzionante. Accertati di avere abbastanza guardie per controllare l'ingresso e l'uscita di questi tipi di porte o monta dei cuscinetti a pressione
object_RemoteDoorRed	Porta telecomandata (rossa)
buildtoolbar_popup_obj_RemoteDoorRed	Questa porta è progettata per funzionare con un servomeccanismo funzionante. Accertati di avere abbastanza guardie per controllare l'ingresso e l'uscita di questi tipi di porte o monta dei cuscinetti a pressione
object_RemoteDoorYellow	Porta telecomandata (gialla)
buildtoolbar_popup_obj_RemoteDoorYellow	Questa porta è progettata per funzionare con un servomeccanismo funzionante. Accertati di avere abbastanza guardie per controllare l'ingresso e l'uscita di questi tipi di porte o monta dei cuscinetti a pressione
object_RemoteDoorWhite	Porta telecomandata (bianca)
buildtoolbar_popup_obj_RemoteDoorWhite	Questa porta è progettata per funzionare con un servomeccanismo funzionante. Accertati di avere abbastanza guardie per controllare l'ingresso e l'uscita di questi tipi di porte o monta dei cuscinetti a pressione
object_GymInstructor	Istruttore di palestra
object_FilingCabinetFancy	Schedario (elegante)
buildtoolbar_popup_obj_FilingCabinetFancy	Ricompensa i membri dello staff con un elegante schedario.
material_LongGrass	Erba alta
codex_tooltip_gangsEnhanced	Ora puoi cambiare il numero di detenuti che si uniscono alle gang. Se la tua prigione ospita più membri di gang, il reclutamento gang sarà accelerato e la tua prigione diventerà più caotica e pericolosa.\n\n  Storica - Prova il livello di difficoltà delle gang come era in precedenza (Principianti)\n  Bassa (Predefinita) - Ideale per giocatori principianti o intermedi\n  Media - Per giocatori esperti\n  Alta - Per giocatori esperti che cercano una sfida seria
codex_tooltip_morelieutenants	I tenenti giocano un ruolo importante nella conquista di nuovi territori per le rispettive gang. Se vuoi che le gang siano più attive, valuta se ridurre la quantità di membri necessari per ogni tenente. Scegli solo numeri inferiori a 6 se vuoi una sfida impegnativa.
codex_option_morelieutenants	Altri tenenti
codex_tooltip_codex_option_morelieutenants	I tenenti giocano un ruolo importante nella conquista di nuovi territori per le rispettive gang. Se vuoi che le gang siano più attive, valuta se ridurre la quantità di membri necessari per ogni tenente. Scegli solo numeri inferiori a 6 se vuoi una sfida impegnativa.
codex_option_GangSpecialReputations	Reputazioni speciali gang
codex_tooltip_GangSpecialReputations	Le gang sono caratterizzate da nuove reputazioni che modificano il comportamento dei membri nella tua prigione.
codex_option_AllDogs	Tutti i cani
codex_tooltip_AllDogs	Scegliendo questa opzione abiliterai tutti i cani disponibili e renderai casuali le assunzioni.
codex_tooltip_RandomWardens	Scegliendo questa opzione verrà scelto un nuovo direttore casuale per la tua prigione.
interfacecontraband_BoilingPoint	Punto Di Rabbia
buildtoolbar_contraband_BoilingPoint	Mostra le aree di miglioramento per i detenuti infelici.
boilingpoint_header	Punto Di Rabbia
boilingpoint_OverallTemperature	Temperatura generale
boilingpoint_StatusEffects	Effetti di stato
boilingpoint_OverallTemperature_popup	Anche se vogliamo che i nostri detenuti siano felici e calmi, alcune cose sono fuori dal nostro controllo, come la loro personalità o il numero di condanne. Più i detenuti si arrabbiano, più alta sarà la temperatura della prigione, più sarà probabile che si comportino male.
boilingpoint_Needs_popup	In questo momento *X detenuti non possono soddisfare i propri bisogni.\n\nFai in modo che abbiano accesso a stanze o oggetti per soddisfare i propri bisogni.
boilingpoint_ProgramCompletion_popup	Attualmente *X detenuti non hanno completato alcun corso.\n\nPiù un detenuto completerà corsi, più sarà calmo. Aggiungi qualche corso a cui i detenuti possano partecipare e controlla che il loro regime lo consenta. Alcuni corsi si possono ripetere.
boilingpoint_StatusEffects_popup	Attualmente *X detenuti subiscono effetti negativi.\n\nValuta la possibilità di tenere sotto controllo la merce di contrabbando, specialmente alcool o narcotici.\n\nQuando i detenuti godono di effetti positivi, è meno probabile che si comportino male.
boilingpoint_RoomQuality_popup	Attualmente *X detenuti hanno stanze in cattive condizioni.\n\nAumenta la qualità delle stanze, così saranno più felici e calmi. Alcuni detenuti non saranno idonei per stanze di alta qualità. Puoi regolare gli Adeguamenti sentenza per ridurre i requisiti.
buildtoolbar_popup_help_BoilingPoint_1	La visualizzazione Punto di rabbia mostra la temperatura attuale della prigione. Questo menu evidenzia le aree problematiche, come la qualità delle celle, i bisogni, gli effetti di stato e i livelli di partecipazione ai corsi.\n\n
buildtoolbar_popup_help_BoilingPoint_2	- Se ancora non riesci a controllare un detenuto specifico, valuta la possibilità di rinchiuderlo o metterlo in isolamento per calmarlo.\n\n
buildtoolbar_popup_help_BoilingPoint_4	- Controlla che tutti i detenuti abbiano accesso ai bisogni di base.
buildtoolbar_popup_help_BoilingPoint_5	- Investi in riabilitazione, terapia, trattamenti e corsi professionali e controlla che il regime dei detenuti consenta loro di parteciparvi.
buildtoolbar_popup_help_BoilingPoint_6	- I detenuti di minima sicurezza hanno pene ridotte e, quindi, una tolleranza più elevata.
boilingpoint_advisor_onboarding	Questo detenuto si sta comportando male. Sembra che abbia raggiunto il punto di rabbia. Forse non stiamo facendo abbastanza per i nostri detenuti. Controlla che i loro bisogni siano soddisfatti, migliora le loro condizioni di vita e dai loro qualcosa da fare. Per maggiori informazioni controlla il menu Intelligence del Punto di rabbia per maggiori informazioni.
interfacecontraband_SecurityMenu	Menu sicurezza
buildtoolbar_contraband_SecurityMenu	Visualizza una lista di tutti i detenuti considerati pericolosi o in pericolo e applica misure di sicurezza a quelli che richiedono maggiore controllo.
securitymenu_header	Menu sicurezza
securitymenu_popup_prisonerSelect	Clic sinistro per selezionare il detenuto
securitymenu_popup_dangerousReputations	Reputazioni pericolose:
securitymenu_popup_dangerousTraits	Tratti pericolosi:
securitymenu_popup_crimesCommitted	Crimini:
securitymenu_PrisonerType	Tipo di detenuto:
securitymenu_PrisonerTypeVulnerable	Vulnerabile
securitymenu_MarkingTypeUnmarked	Non contrassegnato
securitymenu_SelectArea	Seleziona zona
securitymenu_SelectAreaCancel	Deseleziona zona
securitymenu_RestrictAccess	Accesso limitato:
securitymenu_TransferPrisoners	Trasferisci detenuto/i:
securitymenu_transferSecurityLevel	Livello di sicurezza
securitymenu_GuardAssignment	Incarico guardia:
securitymenu_MarkPrisoner	Contrassegna detenuto:
securitymenu_RemovePrisoner	Rimuovi detenuto:
securitymenu_RemovePrisonerButton	Rimuovi detenuto
securitymenu_RemovedPrisoner	Detenuto rimosso
securitymenu_RemovePrisoner_message	Rimuovi detenuto\n\nQuesta è l'ultima spiaggia per gestire i peggiori delinquenti: potrai mandare questo detenuto in una struttura separata a un costo elevato. Puoi farlo solo ogni 5 giorni.
securitymenu_RestrictAccess_tooltip	Blocca l'ingresso a zone specifiche. I detenuti che cercheranno di accedervi verranno fermati dalle guardie. Non puoi vietare ai membri delle gang di accedere al proprio territorio/zona.
securitymenu_TransferPrisoner_tooltip	Sposta i detenuti selezionati a un livello di sicurezza specifico per aiutarti a gestirli.
securitymenu_MarkPrisoner_tooltip	Collega un contrassegno grafico ai detenuti selezionati per consentirti di tenere d'occhio gli individui più pericolosi o in pericolo.
rapsheet_assignguard_end	Rimuovi guardia
job_PrisonerAssignment	Incarico del detenuto
assignment_confirm_message	Vuoi assegnare una guardia?
assignment_description_message	Se vuoi tenere d'occhio questo detenuto, potresti assegnargli una guardia. Assicurati di avere abbastanza guardie disponibili.
assignment_error_message	In questo momento non è possibile assegnare una guardia a questo detenuto.\n\nÈ appena arrivato, oppure è ammanettato o rinchiuso.
buildtoolbar_popup_help_securitymenu_1	Il menu sicurezza elenca tutti i detenuti considerati pericolosi o, al contrario, vulnerabili. Tramite questo menu è possibile applicare determinate misure ai detenuti per fornire ulteriore supporto e consentirne una migliore gestione.\n\n
buildtoolbar_popup_help_securitymenu_2	- Come impostazione predefinita, i detenuti pericolosi e quelli vulnerabili sono elencati insieme, ma l'opzione "tipo di detenuto" ti consente di applicare le misure a gruppi specifici.\n\n
buildtoolbar_popup_help_securitymenu_3	- Alcune misure possono essere applicate a gruppi, altre si applicano solo a individui selezionati. Evidenzia e fai clic con il tasto sinistro del mouse su un detenuto per selezionarlo.\n\n
buildtoolbar_popup_help_securitymenu_5	- L'opzione Assegnazione guardie aiuterà a proteggere i detenuti e allo stesso tempo a tenere d'occhio gli altri per prevenire un'eventuale cattiva condotta. Le guardie non staranno al fianco dei detenuti nei loro momenti privati, per esempio quando dormono o fanno la doccia.
buildtoolbar_popup_help_securitymenu_6	- Se un detenuto causa troppi problemi nella tua prigione ed è troppo difficile da gestire, l'opzione Rimuovi detenuto lo manderà via. Questa misura ha un costo monetario e un tempo di recupero, perciò non può essere eseguita ogni giorno.
objectiveWindow_FilterButton_4_title	Informazioni gang
objectiveWindow_FilterButton_4_tooltip	Tutto quello che devi sapere sulle gang
objective_HelpGangBehaviourAndType	Comportamenti gang
objective_HelpGangBehaviourAndType_Description	Sono state introdotte nuove gang, con comportamenti leggermente diversi tra loro.
objective_HelpGangBehaviourAndType_child_1	Vipere
objective_HelpGangBehaviourAndType_child_1_Description	Le Vipere sono un gruppo insidioso che si concentra sulla diffusione e il controllo dei narcotici nel carcere. Sono letali anche individualmente.
objective_HelpGangBehaviourAndType_child_2	Spezza Ossa
objective_HelpGangBehaviourAndType_child_2_Description	Gli Spezza Ossa sono principalmente dei bruti, interessati più alla violenza e alla distruzione che a qualsiasi altra cosa.
objective_HelpGangBehaviourAndType_child_3	Sciacalli
objective_HelpGangBehaviourAndType_child_3_Description	Gli Sciacalli sono la banda più intraprendente. Si concentrano sul controllo del territorio e sulle vendite di merce di contrabbando per aumentare il proprio potere finanziario.
objective_HelpGangActivities	Attività gang
objective_HelpGangActivities_Description	Le attività delle gang andranno dalla gestione dei territori a grandi complotti contro alcuni membri chiave della prigione. Potranno anche fare richieste al giocatore e altre azioni simili.
objective_HelpGangActivities_child_1	Attività specialistiche
objective_HelpGangActivities_child_1_Description	Le bande prenderanno parte ad attività specialistiche a seconda delle loro diverse personalità: le Vipere si concentreranno sulla produzione e vendita di narcotici, gli Spezza Ossa su combattimento e distruzione, gli Sciacalli sulla conquista di territori e sui guadagni in denaro.
objective_HelpGangActivities_child_2	Attività territoriali
objective_HelpGangActivities_child_2_Description	Con i nuovi territori arrivano nuovi comportamenti. Le gang ora "sorveglieranno" tutte le aree che controllano, assicurandosi che gli altri detenuti si comportino bene e paghino per usare qualsiasi oggetto all'interno del territorio, anche durante l'orario di lavoro. I membri delle gang acquisiranno anche grandi quantità di merce di contrabbando in base alla stanza che controllano e compariranno dei "trafficanti" per vendere questi oggetti agli altri detenuti.
objective_HelpGangActivities_child_3	Richieste della gang
objective_HelpGangActivities_child_3_Description	Quando una gang ottiene abbastanza potere e fiducia all'interno della prigione, inizierà a fare determinate richieste, che andranno dall'ottenere nuovi equipaggiamenti a più tempo libero o tempo da trascorrere in cortile. Il giocatore avrà una certa quantità di tempo per soddisfare tali richieste. Se il giocatore non riuscirà a soddisfarle, le ripercussioni inizieranno immediatamente e la gang causerà qualche forma di distruzione o violenza.
objective_HelpCrookedGuards	Guardie corrotte
objective_HelpCrookedGuards_Description	Anche se ci piacerebbe pensare che il nostro coraggioso staff sia puro e indomito, purtroppo non è sempre così.
objective_HelpCrookedGuards_child_1	Corrompere le guardie
objective_HelpCrookedGuards_child_1_Description	Le guardie standard possono essere corrotte in modo che chiudano un occhio per 48 ore in caso di cattiva condotta, permettendo ai detenuti di trasportare merci di contrabbando anche quando queste vengono trovate e facilitando il controllo territoriale delle gang. Fortunatamente, grazie agli informatori, le guardie sospette possono essere segnalate e licenziate.
objective_HelpCrookedGuards_child_2	Corruzione guardie
objective_HelpCrookedGuards_child_2_Description	Alcune guardie possono corrompersi se interagiscono troppo con i membri delle gang, e vengono pagate per distribuire merce di contrabbando. Gli informatori possono contrassegnare le guardie sospette, mentre i rivelatori di contrabbando e i cani da guardia saranno sono in grado di trovare la merce quando ne sono ancora in possesso.
objective_HelpGangIntelligence	Intelligence gang
objective_HelpGangIntelligence_Description	In prigione c'è un alto potenziale di cattiva condotta, perciò l'intelligence è fondamentale per garantire la sicurezza all'interno della tua struttura. Il menu Intelligence gang fornirà informazioni su ogni gang all'interno del carcere, elencando il numero di membri di ciascuna, i loro fondi, e un conteggio di base per la cattiva condotta durante la detenzione. Mostra anche qualsiasi movimento o attività a cui partecipano le gang per aiutare a visualizzare il livello di pericolo di ciascuna.
objective_HelpSecurityOptions	Opzioni sicurezza
