
campaigncutscene_tooltip 				(คลิกเพื่อดำเนินเนื้อเรื่องในบทถัดไป)
epilogue_sandbox_2                      คุณมีอำนาจเบ็ดเสร็จในนี้ไม่มากก็น้อย และคุณจะต้องพบกับความท้าทายอีกมากในอนาคต ไม่ว่าจะเป็นจำนวนนักโทษที่เพิ่มมากขึ้น และอัตราการก่อคดีซ้ำที่สูงขึ้น
epilogue_sandbox_3						สำหรับห้องประหารชีวิต จะทุบทิ้งหรือเก็บไว้ก็เป็นเรื่องของคุณ คุณสามารถใช้ประโยชน์จากมันได้ ถึงคุณไม่ทำก็มีคนอื่นทำแทนอยู่ดี
epilogue_sandbox_4						ส่วนเป้าหมายการบริหาร ผมก็ตั้งไว้ให้คุณเหมือนๆ กับผู้บริหารคนก่อน โดยมีแค่กำไร อัตราการก่อคดีซ้ำ และศักยภาพการรองรับนักโทษ
epilogue_sandbox_5 						จะใช้วิธีไหนเพื่อบรรลุเป้าหมายก็ได้ตามใจคุณ
epilogue_sandbox_5b                     อีกอย่างนึง ชาร์ลส วอลเลส ซีอีโอคนเก่า ได้ทิ้งจดหมายที่เขาเคยมอบให้สถาปนิกเรือนจำคนก่อนๆ ที่สมัครทำงานกับบริษัทเอาไว้
epilogue_sandbox_5c                     เขามีคำแนะนำดีๆ ให้คุณ ลองอ่านดู คุณอาจพบข้อมูลที่เป็นประโยชน์
epilogue_sandbox_6						ขอให้โชคดี!

objective_epilogue_grants				หาเงินเพิ่มผ่านระบบทุนสนับสนุน
objective_epilogue_grants_description   ทุนสนับสนุนคือหนทางหลักในการระดมเงินสดจำนวนมากเพื่อสร้างเรือนจำ\n\nคุณสามารถรับข้อมูลเงินทุนสนับสนุนมากมายได้จากรายงาน (มุมขวาล่างของรายงาน) ใต้หัวข้อ 'ทุนสนับสนุน' หน่วยงานมากมายพร้อมจะมอบทุนเพื่อสร้างส่วนต่างๆ ของเรือนจำ

objective_epilogue_certifiedprison		สร้างเรือนจำ
objective_epilogue_capacity				นักโทษอย่างน้อย 100 คน
objective_epilogue_bankbalance			ยอดคงเหลือในบัญชีอย่างน้อย $60,000
objective_epilogue_cashflow				กระแสเงินสดสุทธิเป็นบวก

epilogue_outrointro_1                   ผมเห็นว่าคุณเริ่มต้นได้สวยทีเดียว
epilogue_outrointro_2                   ผมอยากให้คุณเปิดทีวีดูตอนนี้เลย ผมมีอะไรอยากให้คุณดู

epilogue_basiccompletion_1 				คุณประสบความสำเร็จในการสร้างเรือนจำประจำรัฐที่มีคุณภาพได้มาตรฐานขั้นต่ำแล้ว จากนี้ไปคุณสามารถเลือกเส้นทางอาชีพได้ตามต้องการ
epilogue_basiccompletion_2 				คุณและบริษัทของคุณเลือกสามารถเลือกอนาคตของตนได้อย่างอิสระ
epilogue_basiccompletion_3 				ที่สำนักนายกเทศมนตรี เราสนใจอยู่เรื่องเดียวคืออัตราการก่อคดีซ้ำ
epilogue_basiccompletion_4	 			ถ้าคุณสามารถลดอัตราการก่อคดีซ้ำโดยรวมของนักโทษได้ ผมก็จะถือว่าคุณทำสำเร็จ
epilogue_basiccompletion_5 				คนอย่างคุณหมอเฮิสท์เชื่อมั่นในการศึกษา การบำบัดฟื้นฟู การฝึกทักษะ และโครงการสร้างสรรค์อื่นๆ
epilogue_basiccompletion_6 				ถ้าถามผม ผมว่าการลงโทษให้หนักก็มีประสิทธิภาพไม่แพ้กัน
epilogue_basiccompletion_8 				ทั้งหมดแล้วแต่คุณ ผมขอให้คุณโชคดี!
epilogue_basiccompletion_9 				เมื่อเรียบร้อยแล้ว คลิกที่โพลารอยด์บนถนนเพื่อออกจากเรือนจำ

objective_epilogue_reoffending			(เพิ่มเติม) ลดอัตราการก่อคดีซ้ำของนักโทษในเรือนจำ
objective_epilogue_reoffending_description	คุณสามารถดูอัตราการก่อคดีซ้ำได้จากหน้าจอ 'ระดับคะแนนเรือนจำ' คลิกที่ไอคอนด้านซ้ายบนของหน้าจอ

objective_epilogue_reoffending_rate		ลดอัตราการก่อคดีซ้ำให้เหลือไม่เกิน 30%
objective_epilogue_reoffending_released	ปล่อยตัวนักโทษอย่างน้อย 10 คน

objective_Epilogue_PlayerExitsMap				เมื่อคุณรู้สึกพอใจแล้ว คลิกที่โพลารอยด์บนถนนเพื่อดำเนินการต่อ
objective_epilogue_playerexitsmap_description	สามารถพบโพลารอยด์ได้บนถนน ใกล้กับจุดรับ-ส่ง


# =============================================================================
# Credits
# =============================================================================

campaigncutscene_epiloguecredits        เครดิต

credits_createdby1                      - สร้างโดย -
credits_createdby2                      Chris Delay
credits_producer1                       - ผลิตโดย -
credits_producer2                       Mark Morris
credits_art1                            - งานออกแบบศิลปะ -
credits_art2                            Ryan Sumo
credits_sound1                          - เสียง -
credits_sound2                          Alistair Lindsay
credits_screenplay1                     - ผู้เขียนบท -
credits_screenplay2                     Chris Hastings
credits_programmers                     - ผู้สร้างโปรแกรม -
credits_programmers1                    John Knottenbelt
credits_programmers2                    Leander Hambley
credits_programmers3                    Gary Chambers
credits_programmers4                    Andrew Lim
credits_programmers5                    Jeffrey Sheen
credits_programmers6                    Finlay Curran
credits_graphicdesign1                  - ผู้ออกแบบกราฟิก -
credits_graphicdesign2                  Morten Pedersen
credits_special                         - ขอขอบคุณเป็นอย่างสูง -
credits_special1                        Will Morris
credits_special2                        Sam Morris
credits_special3                        Jo Stansfield
credits_special4                        John Cook
credits_special5                        Alex Chapman
credits_special6                        Alex Tutty
credits_special7                        Double Eleven
credits_introversion                    - INTROVERSION SOFTWARE -
credits_introversion1                   Chris Delay
credits_introversion2                   Mark Morris
credits_introversion3                   John Knottenbelt
credits_introversion4                   Thomas Arundel
credits_pa1                             PRISON
credits_pa2                             ARCHITECT


# =============================================================================
# MCExporter
# =============================================================================


codex_mcexport                          ส่งออกเรือนจำสำหรับ Minecraft
codex_mcexportname						เครื่องมือส่งออกสำหรับ Minecraft
codex_worldnametitle					ชื่อของเวิลด์
codex_seedtitle							ซี้ด
codex_gamemodetitle						โหมดเกม
codex_mapfeattitle						คุณสมบัติของแผนที่
codex_cheatstitle						สูตรโกง
codex_timeofdaytitle					เวลา
codex_rainingtitle						ฝนตก
codex_thunderingtitle					ฟ้าร้อง
codex_generatortitle					เครื่องมือสร้าง
codex_scaletitle						อัตราส่วน
codex_exporttomc						ส่งออก
codex_mcexport_default					ค่าเริ่มต้น
codex_mcexport_flat						ราบเรียบ
codex_mcexport_largebiomes				อุดมสมบูรณ์
codex_mcexport_survival					เอาตัวรอด
codex_mcexport_creative					สร้างสรรค์
codex_mcexport_adventure				ผจญภัย


# =============================================================================
# Escape Mode
# =============================================================================

escapemode_help_title                   หลบหนี - คุณมีทางออกแค่ทางเดียว
escapemode_help                         ขั้นตอนที่ 1: ชื่อเสียง - ชื่อเสียงของคุณคือทุกสิ่งทุกอย่างในคุกแห่งนี้\n\n• สะสมชื่อเสียงของคุณโดยเริ่มทะเลาะวิวาท การทำร้ายผู้อื่นจะทำให้คุณเป็นจุดสนใจ แต่การทำลายข้าวของก็เป็นจุดเริ่มต้นที่ดี ยิ่งสร้างความเสียหายในการทะเลาะวิวาทมากเท่าไหร่ก็ยิ่งดี\n• อย่าให้มีพยาน ถ้าผู้คุมพบเห็นว่าคุณกำลังทะเลาะวิวาท คุณอาจถูกลงโทษ ดังนั้นหลบสายตาพวกเขาให้ดี\n• การถูกต่อยจนสลบนั้นดูไม่ดีเอาซะเลย คุณควรจบการต่อสู้โดยเป็นฝ่ายชนะ\n\nขั้นตอนที่ 2: กลุ่มเพื่อน - ชักชวนให้คนอื่นมาช่วยกันหลบหนี\n\n• ผิวปากเพื่อเรียกพวกเขา จากนั้นเขาจะตามคุณไปทุกที่ (คลิกที่ชื่อของพวกเขาตรงมุมซ้ายบน)\n• พวกเขาอาจช่วยคุณในการทะเลาะวิวาท ซึ่งจะทำให้ชื่อเสียงของคุณเพิ่มเร็วขึ้นไปอีก\n• ฝึกกลุ่มเพื่อนของคุณ บางครั้งนักสู้ฝีมือเยี่ยมหรือนักวิ่งฝีเท้าไวก็อาจเป็นประโยชน์กับคุณ\n\nขั้นตอนที่ 3: ลักลอบนำสิ่งของมาใช้ - คุณต้องการอาวุธและเครื่องมือ\n\n• ค้นหาห้องซึ่งเก็บของที่คุณต้องการ แค่มองไปรอบๆ คุณก็จะเห็นสิ่งของมีประโยชน์ที่ขโมยมาใช้ได้\n• ระวังเครื่องตรวจโลหะและผู้คุมที่พยายามค้นตัวคุณ ถ้าจับได้ พวกเขาจะจับคุณโยนเข้าห้องขังเดี่ยว\n• เก็บอุปกรณ์ของคุณไว้ให้เรียบร้อย คุณจะซ่อนของในห้องขังตัวเองหรือห้องขังคนอื่นก็ได้ แค่อย่าลืมว่าเก็บของไว้ที่ไหนก็พอ\n\nขั้นตอนที่ 4: อุโมงค์ - ทางออกลับที่คุณสร้างอย่างเงียบๆ\n\n• จับเครื่องมือขุดแล้วเริ่มขุดอุโมงค์จากโถส้วมในห้องขังของคุณ\n• การขุดนั้นทำได้ช้า รวบรวมสมัครพรรคพวกมาช่วยกันขุดได้ก็จะดี\n• อย่าให้ถูกจับได้ ถ้าผู้คุมเห็นคุณเข้าออกจากอุโมงค์ล่ะก็งานเข้าแน่นอน\n\nขอให้โชคดี คุณคงจะได้ใช้มัน

codex_escapemode                        โหมดหลบหนี
codex_escapemode_developer              (นักพัฒนา) โหมดหลบหนี
codex_escapemode_new                    เริ่มการหลบหนีครั้งใหม่
codex_escapemode_load                   โหลดการหลบหนี
codex_escapemode_save                   บันทึกการหลบหนี
codex_escapemode_workshop               โหมดหลบหนี (Steam Workshop)
codex_escapemode_workshop_star_rating   *S ดาวขึ้นไป

escapemode_combat_attack                โจมตี
escapemode_combat_attack_button         คลิกซ้าย
escapemode_combat_lunge                 พุ่งตัว
escapemode_combat_lunge_button          Shift
escapemode_dig_button                   คลิกซ้ายค้างไว้
escapemode_dig                          ขุด
escapemode_surrender                    ยอมแพ้
escapemode_surrender_safe               จบการต่อสู้
escapemode_surrender_button             Space

escapemode_helpletter                   ช่วยเหลือ

escapemode_reputation_points            คะแนนชื่อเสียง:
escapemode_reputations_cost             ชื่อเสียง *C คะแนน
escapemode_reputations_max              สูงสุด

escapesquad_squad_member                สมาชิกกลุ่ม
escapesquad_recruitment                 คลิกขวาค้างไว้เพื่อหาพรรคพวก
escapesquad_recruitment_cost            คะแนนชื่อเสียงที่ใช้: *C
escapesquad_toggle_follow               สลับการติดตาม
escapesquad_nameplate_following         กำลังติดตาม
escapesquad_skip_punishments            ข้ามการลงโทษ
escapesquad_skip_punishments_tooltip    ใช้คะแนนชื่อเสียงเพื่อให้สมาชิกกลุ่มของคุณนอนหลับข้ามช่วงเวลาลงโทษและตื่นในห้องขังของตนเอง
escapesquad_sleep                       นอนหลับ
escapesquad_sleep_tooltip               คลิกเพื่อนอนหลับตอนกลางคืน
escapesquad_reputations                 ชื่อเสียง
escapesquad_reputations_tooltip         ใช้คะแนนชื่อเสียงในการเพิ่มพูนชื่อเสียงในด้านต่างๆ เพื่อพัฒนาทักษะการต่อสู้ของกลุ่ม
escapesquad_follow_mode                 โหมดการติดตาม
escapesquad_follow_mode_tooltip         นักโทษในโหมดการติดตามจะคอยติดตามคุณและเลียนแบบสิ่งที่คุณทำ\n\nใช้ปุ่ม R เพื่อเปิดปิดโหมดการติดตามของนักโทษทุกคนพร้อมๆ กัน
escapesquad_remove_member               นำสมาชิกออกจากกลุ่ม
escapesquad_remove_member_tooltip       คลิกเพื่อนำนักโทษคนนี้ออกจากกลุ่ม
escapesquad_escaped                     หลบหนีสำเร็จ

escapemode_sprint_unlock                \n\nปลดล็อกการวิ่งเร็วได้โดยการกดปุ่ม Shift ค้างไว้ การวิ่งเร็วสามารถทำได้เมื่อคุณไม่ได้อยู่ในการต่อสู้เท่านั้น

escapemode_info_right_click             คลิกขวา
escapemode_info_hold_right_click        คลิกขวาค้างไว้
escapemode_info_stash                   เพื่อเก็บสิ่งของลักลอบ
escapemode_info_pick_up                 เพื่อหยิบสิ่งของลักลอบ
escapemode_info_start_tunnel            เพื่อเริ่มสร้างอุโมงค์
escapemode_info_enter_tunnel            เพื่อเข้าอุโมงค์
escapemode_info_exit_tunnel             เพื่อออกจากอุโมงค์
escapemode_info_dig_up                  เพื่อขุด
escapemode_info_steal                   เพื่อขโมย

escapemode_info_tool                    [เครื่องมือขุด]
escapemode_info_damage                  ความเสียหาย: *D
escapemode_info_recharge                เวลาชาร์จ: *T

escapemode_gameover                     เกมจบลงแล้ว
escapemode_gameover_squad_title         กลุ่ม
escapemode_gameover_casualties_title    เหยื่อ
escapemode_gameover_totalscore_title    คะแนนรวม
escapemode_gameover_totaltime_title     เวลาที่ใช้
escapemode_gameover_time_days           *D วัน *H ชั่วโมง *M นาที
escapemode_gameover_time                *H ชั่วโมง *M นาที

codex_workshop_select_random_prison     เรือนจำที่สุ่มจาก Workshop
codex_workshop_searching                กำลังค้นหา


# =============================================================================
# Warden Mode
# =============================================================================

codex_wardenmode_debugstart             เริ่มโหมดพัศดี

buildtoolbar_inventory                  สิ่งของ
buildtoolbar_tooltip_inventory          ทางลัด: (แถบ)\n\nจัดการสิ่งของของพัศดีและทีมคุ้มกันส่วนตัว

wardenmode_combat                       การป้องกันตัวเองได้รับอนุญาต
wardenmode_combat_caption               ตอนนี้คุณสามารถป้องกันตัวเองจากนักโทษหัวรุนแรงได้อย่างอิสระ

wardenmode_combatwarning                การป้องกันตัวเองไม่ได้รับอนุญาต
wardenmode_combatwarning_caption        คุณต้องไม่ทำอันตรายต่อนักโทษ เว้นแต่จะทำการป้องกันตัวเอง

wardenmode_info_pick_up                 หยิบขึ้น

wardensquad_wardenprotection            การปกป้องสำหรับพัศดี
wardensquad_recruitment_cost            ราคาต่อวัน: +$*C
wardensquad_nameplate_following         กำลังติดตาม
wardensquad_remove_member               ยกเลิกการปกป้องสำหรับพัศดี
wardensquad_remove_member_tooltip       คลิกเพื่อลบผู้คุมนี้ออกจากทีมคุ้มกันส่วนตัวของคุณ\nซึ่งจะช่วยให้คุณประหยัดถึง $*C ต่อวัน


# =============================================================================
# Collectables
# =============================================================================


codex_gamebible                         เกมไบเบิล
codex_gamebible_next                    >
codex_gamebible_prev                    <
codex_gamebible_singlepage              หน้า *X
codex_gamebible_doublepage              หน้า *X-*Y
object_collectable                      แผ่นกระดาษโน้ต

