# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Lista de mudanças completa
objective_Gang_ContrabandToolsPunishment_Escalated_child	*G - Reduza a punição por Encontrar Ferramentas para zero
objective_Gang_MurderPunishment_child	*G - Reduza a punição por Homicídio para *X horas.
objective_Gang_MurderPunishment_Escalated_child	*G - Reduza a punição por Homicídio para *X horas.
objective_Gang_MoreYardTime_child	*G - Aumente o regime de Tempo no Pátio para *X horas.
objective_Gang_MoreYardTime_Escalated_child	*G - Aumente o regime de Tempo no Pátio para *X horas.
objective_Gang_PullUpBars_child	*G - Tenha *X Barras Fixas.
objective_Gang_PullUpBars_Escalated_child	*G - Tenha *X Barras Fixas.
objective_Gang_TyreApparatus_child	*G - Tenha *X Ferramentas de Pneus.
objective_Gang_TyreApparatus_Escalated_child	*G - Tenha *X Ferramentas de Pneus.
objective_Gang_PunchBag_child	*G - Tenha *X Sacos de Pancada.
objective_Gang_PunchBag_Escalated_child	*G - Tenha *X Sacos de Pancada.
objective_Gang_PushUpStones_child	*G - Tenha *X Pedras de Flexão.
objective_Gang_PushUpStones_Escalated_child	*G - Tenha *X Pedras de Flexão.
objective_Gang_RequireYard_child	*G - Tenha uma *X.
objective_Gang_RequireYard_Escalated_child	*G - Tenha uma *X.
objective_Gang_RequireLibrary_child	*G - Tenha uma *X.
objective_Gang_RequireLibrary_Escalated_child	*G - Tenha uma *X.
objective_Gang_RequireMailRoom_child	*G - Tenha uma *X.
objective_Gang_RequireMailRoom_Escalated_child	*G - Tenha uma *X.
d11_gangdemand_success	Recebemos uma quantia por cuidar dessa situação.
d11_gangdemand_fail	Vamos tentar impedir que essa situação ocorra de novo.
d11_gangCompensation	Compensação por gangues
d11_gang_goal	Objetivo da gangue:
d11_gang_jackals_goal	Controle da prisão
d11_gang_traits	Características da gangue:
d11_gang_officer	Chefes de gangues:
d11_gang_territories	Territórios:
d11_gang_kills	Mortes de gangues:
d11_heatmap_gang	Gangue envolvida:
d11_heatmap_day	Dia da ocorrência:
d11_heatmap_time	Horário da ocorrência:
d11_gang_event_pr.gf	Briga de gangues
d11_gang_event_g.tc	Mudança de território
gangSegregationMessage	Escolha quais gangues têm permissão para entrar em certas áreas.
interfacedeployment_GangSegregation	Segregação da Gangue
buildtoolbar_deployment_GangSegregation	Para ter mais controle sobre a distribuição de uma gangue, os integrantes podem ser alocados em diferentes espaços de habitação, mantendo-os afastados uns dos outros para evitar instigações desnecessárias.
research_StaffVetting	Vetar funcionários
researchtooltip_StaffVetting	Reduz as chances de que novos guardas se tornem corruptos. Desbloqueia a investigação de guardas, permitindo o uso de informantes para revelar guardas corruptos.
buildtoolbar_GuardInvestigation	Investigação de guarda
buildtoolbar_tooltip_GuardInvestigation	Trabalhe com seus Informantes e Chefe de Segurança para investigar seus guardas e impedir casos de corrupção. Quanto maior a cobertura dos seus Informantes ativos, mais Guardas Corruptos você vai descobrir. O Chefe de Segurança não pode estar comandando um programa ou participando de uma execução.
buildtoolbar_CI_requirement	Pelo menos um Informante
guardinvestigation_underway	INVESTIGAÇÃO DE GUARDA EM ANDAMENTO
guardinvestigation_investigated	*A/*B guardas investigados
informant_investigating	Investigação
crookedguard_fired_reward	Guarda Corrupto despedido
crookedguard_advisor_onboarding	Descobrimos um Guarda Corrupto trabalhando com uma gangue. Eu o marquei na aba Funcionários nos seus Relatórios. Mande-o embora.
buildtoolbar_popup_staff_doghandler	Adestradores e seus companheiros caninos podem detectar contrabandos nos prisioneiros próximos.
buildtoolbar_popup_staff_kimber_doghandler	Adestradores e seus companheiros caninos podem detectar contrabandos nos prisioneiros e guardas corruptos próximos.
d11_prisoner_replacement	Troca de prisioneiros
d11_prisoner_replacement_tooltip	A população carcerária chegará ao valor desejado com os níveis de segurança mantidos nas mesmas condições sempre que possível. Prisioneiros excedentes serão solicitados seguindo o sistema padrão.
job_cleanupobject	Limpar *X
interfacetopbar_tension_angrygangmembersgraffiti	+ *X MEMBROS DE GANGUE IRRITADOS (graffiti removido)
interfacetopbar_tension_angrygangmembersleadercell	+ *X MEMBROS DE GANGUE IRRITADOS (líder transferido para cela de qualidade inferior)
research_CCTVImprovement	Aprimoramento da CITV
researchtooltip_CCTVImprovement	Aprimore a utilização dos seus equipamentos de CITV. Permite visualizar os cones de visão do CITV e os prisioneiros arranjando encrenca no campo de visão dele.
d11_cctv_cone	Cone da CITV
d11_toggle_cctv_cone_detail	Alternar cones de visão da Câmera de CITV
d11_left_click_to_clean	Clique com o botão esquerdo para limpar
d11_gang_graffiti_message	As gangues estão marcando seus territórios e se tornando mais poderosas ao defendê-los. Mande um zelador quando for seguro para arrumar a bagunça. As gangues não vão ficar felizes em ver sua "arte" ser removida. Talvez haja retaliação.
d11_gangBulkIntake_advisor_onboarding	A Comissão Prisional está transferindo prisioneiros problemáticos para outras penitenciárias com gestão mais competente. Espero que você consiga lidar com essas novidades facilmente. Avaliações prisionais estão sendo realizadas semanalmente agora.
d11_gangBulkIntake_staffAlert	Um ônibus de transporte de membros de gangues está chegando
d11_gangdealer_advisor_onboarding	Identificamos um traficante em um território de gangue e confiscamos uma grande quantia de dinheiro.
d11_CI_advisor_onboarding	Coopere com seus informantes para desmascarar guardas corruptos. Eles serão enviados para o escritório do chefe para contar tudo que sabe. Não se esqueça de recrutar informantes e conferir o ícone (?) no menu de Inteligência para mais informações.
d11_LeaderAssassination_advisor_onboarding	As gangues estão ficando perigosas demais e estão planejando assassinar o líder de outra gangue. Se conseguirem, isso vai afetar os territórios atuais.
d11_GangTargetting_advisor_onboarding	Os membros de gangues se reúnem por terem interesses em comum. Às vezes, eles também têm aversão a condenações específicas e tentarão atacar indivíduos com elas.
d11_staffalert_title_making_move	Uma gangue está executando um plano.
d11_staffalert_summary_making_move	Temos informações de que uma gangue está executando um plano.
d11_staffalert_summary_gangdealer	Um traficante foi descoberto, e você recebeu $500.
d11_staffalert_summary_TerritoryPlacement	Esta sala foi dominada por uma gangue e oferece risco excessivo para nossos funcionários. Expulse-os de lá.
crisisSector_CustomSearchArea	Área de busca personalizada
crisisSector_ScheduleSearch	Cronograma personalizado
schedulesearch_menu_TargettedArea	Área prevista
schedulesearch_menu_StartTime	Horário de início
schedulesearch_menu_ExistingSchedule	Cronograma existente
schedulesearch_menu_CurrentTime	Horário atual
schedulesearch_menu_CurrentFrequency	Frequência atual
crisisSector_UnlockedOnly	Somente destrancado
schedulesearch_menu_SaveSelection	Salvar seleção
reputation_Recruiter	Recrutador
reputationtooltip_Recruiter	Este prisioneiro, se fizer parte de uma gangue, terá mais chances de arranjar outros detentos para se juntar a ela.
reputationtooltip_Resourceful	Este prisioneiro tem mais chances de passar o tempo lendo livros. Ele também sabe onde os contrabandos ficam e pode interceptá-los para a própria gangue.
reputation_ExGangMember	Ex-membro de gangue
reputationtooltip_ExGangMember	Este prisioneiro decidiu deixar a vida de gângster para trás, mas a gangue não gostou nada disso.
reputation_CunninglyBrutal	Brutalidade sagaz
reputationtooltip_CunninglyBrutal	Os Víboras vão tentar atacar seus alvos em pontos cegos na segurança.
reputation_SneakThief	Ladrão furtivo
reputationtooltip_SneakThief	Todos os Chacais têm a habilidade de bater carteira, independentemente da reputação.
reputation_BattleTendency	Tendência de combate
reputationtooltip_BattleTendency	Se os Chacais estiverem em maior número que os guardas em uma ala da prisão, eles vão se tornar mais violentos com os funcionários por lá.
reputation_DisrepectSurroundings	Vândalo
reputationtooltip_DisrepectSurroundings	Os Quebra-ossos danificam objetos quando suas necessidades não são atendidas.
reputation_UnderCoverDon	À paisana
reputationtooltip_UnderCoverDon	O líder dos Víboras fica oculto como soldado da gangue e só é revelado quando é punido.
reputation_Enforcer	Opressor
reputationtooltip_Enforcer	Este prisioneiro vai tentar intimidar os outros, a menos que sejam da mesma gangue. Ele também é muito bom na tomada de territórios para a gangue.
reputation_GymRat	Rato de academia
reputationtooltip_GymRat	Os Quebra-ossos passam o tempo livre em academias ou no pátio.
reputation_Loyal	Leal
reputationtooltip_Loyal	Este prisioneiro tem mais chances de ficar na gangue e se revoltar se o líder estiver sendo punido.
traits_violent	Violento
traits_lethal	Letal
finance_cost_gangdealer	Traficante da gangue descoberto
object_PrisonerLetter	Carta de Prisioneiro
object_LoveLetter	Carta de Amor
object_LoveLetterOpened	Carta de Amor (Aberta)
interface_prisonerWritingLetter	Escrevendo para entes queridos
interface_prisonerWritingLoveLetter	Escrevendo para alguém MUITO especial
warden_wardengangsjlocks_name	Capitã J. Locks
warden_wardengangsjlocks_desc	Os funcionários sob o comando de Locks vão além de seus próprios limites, enquanto os prisioneiros se tornam detentos exemplares. \n\n- +30% de vigor para os funcionários (Requer descanso 10% maior). \n- -10% de chance de reincidência dos prisioneiros.
warden_wardengangsjlocks_desc_short	- Os funcionários têm mais vigor.\n- Os prisioneiros têm 10% menos chances de serem reincidentes.
warden_wardengangscook_name	Dylan Cook
warden_wardengangscook_desc	Este cavalheiro tem uma lábia invejável e consegue os melhores preços para a sua prisão. Pode ter certeza que ele usa cupons no supermercado! \n\n- Os custos de alimentos são reduzidos em 25%. \n- Programas que exigem professores externos custam 20% a menos.
warden_wardengangscook_desc_short	- Os custos de alimentos são reduzidos em 25%.\n- Programas que exigem professores externos custam 20% a menos.
rapsheet_manualCellSwap_hint	Decida entre promover/rebaixar este prisioneiro para uma nova cela disponível ou escolha manualmente para qual cela ele deve ir.
rapsheet_cellUpgrade	Melhorar cela
rapsheet_cellDowngrade	Rebaixar cela
rapsheet_cellChoice	Escolha uma nova cela
rapsheet_ChangeCell	Trocar de cela
ChangeCellUpgradeSuccessful	Você promoveu *X para uma cela melhor.
ChangeCellDowngradeSuccessful	Você rebaixou *X para uma cela inferior.
ChangeCellNoAvailableRooms	Não há salas disponíveis para transferir *X. Tente usar o menu de troca de salas.
ChangeCellDowngradingGangLeader	Você está prestes a levar um líder de gangue para uma cela de qualidade inferior, o que vai irritar a gangue e pode causar problemas na sua prisão.
freeCell_movePrisoner	Clique com o botão direito para levar o prisioneiro à cela dele.
occupiedCell_movePrisoner	Clique com o botão direito para substituir o prisioneiro pelo ocupante desta cela.
occupiedCell_selectablePrisoner	Clique com o botão direito e selecione este prisioneiro para decidir aonde levá-lo.
mutator_name_NoMinRoomSize	Espaço livre para as salas
mutator_tooltip_NoMinRoomSize	As salas não precisam mais atender a critérios de tamanho, mas você ainda precisa incluir os itens necessários para elas funcionarem.
action_GangBusiness	Negócios da gangue
action_GangRecruitment	Recrutamento da gangue
action_GangPromotion	Promoção na gangue
action_ActionHerb	Alteração
action_LoadBaby	Carregar bebê
action_WarmUp	Aquecimento
action_GetSnack	Pegar lanche
action_Drink	Pegar bebida
action_DoPullUps	Barra fixa
action_KneeRaises	Elevação de pernas
action_PushUps	Flexões
reform_program_properties_RequiresAllStudentsPresent	Requer todos os alunos presentes
d11_tableClaim_title	Controlado por *G
d11_tableClaim_desc	Para expulsá-los, mova ou desmonte as mesas.
d11_tableClaim_desc_cont	Isso, no entanto, os deixarão irritados.
schedulesearch_menu_ClearSchedule	Apagar cronograma

security_menu_default	Selecionar categoria
interfacemode_water	Água
interfacemode_connections	Fiação
interface_rectangle_width	Largura
interface_rectangle_height	Altura
interfaceplanning_fence	Cercas
buildtoolbar_popup_obj_SofaChairDoubleBrown	Grande estrutura macia e confortável para sentar. Tem lugar para dois.
rank_title	Patentes
rank_officer	Oficial
buildtoolbar_popup_room_laundry	Zeladores e detentos designados para trabalhar na lavanderia trazem os uniformes sujos até aqui para limpar, passar e redistribuir no final.
buildtoolbar_popup_room_visitation	Local para os detentos encontrarem suas famílias. Preste atenção, porque as visitações podem ser usadas para transferir contrabando.
buildtoolbar_popup_room_cleaningcupboard	Usado para armazenar materiais de limpeza. É necessário uma despensa para designar detentos para a tarefa de limpeza.
buildtoolbar_popup_room_armoury	Seus guardas armados ficam nesta sala durante as folgas. Todas as armas de fogo são mantidas aqui.
buildtoolbar_popup_room_forestry	Local para plantar árvores, que podem ser usadas para criar produtos na Oficina para ser vendidos.
buildtoolbar_popup_room_classroom	Local de aprendizagem onde os detentos podem participar de programas educacionais de reintegração.
buildtoolbar_popup_room_exports	Qualquer produto criado por trabalhadores ou detentos será trazido aqui para coleta.
buildtoolbar_popup_room_mailroom	Permite que seus detentos recebam correspondências. Eles também podem trabalhar na sala de correspondência.
ageCategory_Young	Jovem
ageCategory_Senior	Adulto
ageCategory_Elderly	Idoso
causeofdeath_naturalcauses	Causas naturais
codex_option_prisonerAging	Envelhecimento do Detento
codex_tooltip_prisonerAging	Esta opção ativa o envelhecimento de prisioneiros com o passar dos anos. Ao envelhecerem, os prisioneiros ficam menos enérgicos e mais fracos.
interfacemode_electricity	Eletricidade
interface_rectangle_cost	Custo
scheduler_prisonerandstaff	Prisioneiros e equipe
codex_option_plotGridCoords_title	Grade/coordenadas
codex_plotGrid	Sobreposição de grade
codex_plotCoords	Coordenadas
codex_plotGridAndCoords	Ambas habilitadas
mutator_name_DailyHearse	Tragam seus mortos!
mutator_tooltip_DailyHearse	Veículos fúnebres agora chegam todos os dias às 20h. Caso sejam dispensados, eles retornam no dia seguinte.
regime_eatLockdown	Refeição/regime trancado
regime_showerLockdown	Banho/regime trancado
regimetooltip_eatLockdown	Os detentos devem se deslocar até o refeitório designado para se alimentar ou usar as outras instalações do local. Após finalizar as refeições, os detentos ficam restritos a suas celas, como se estivessem 'Trancados'.
regimetooltip_showerLockdown	Os detentos usam os chuveiros para se lavar e trocar para um uniforme limpo (caso haja um disponível). Após finalizar o banho, os detentos ficam restritos a suas celas, como se estivessem 'Trancados'.
rooms_AllRooms	Todos os ambientes
object_searchlight	Lanterna autônoma de busca
buildtoolbar_popup_obj_searchlight	Luz giratória que fica ativa durante a noite. Ajuda a vigiar os prisioneiros encrenqueiros no escuro.
material_DarkWoodFloor	Piso de madeira preta
buildtoolbar_popup_mat_DarkWoodFloor	Chão de madeira maciça, perfeito para escritórios.
buildtoolbar_popup_obj_BarbedWire	Acessório pontudo projetado para dar um visual mais seguro e imponente a suas paredes.
object_SofaChairDoubleBrown	Sofá largo (marrom)
interface_action_rank	Patente
rank_subtitle	Alterar patente para:
rank_senior	Guarda sênior
rank_specialist	Oficial especialista
rank_popup_text_1	Guardas Seniores, Oficiais e Oficiais Especialistas serão mais fortes e resilientes. Contudo, dada a oportunidade, eles darão prioridade a áreas mais calmas da penitenciária.\n\n
rank_popup_text_2	Todos os guardas devem concluir a Certificação em Taser para iniciar o processo de promoção. Oficiais precisam trabalhar pelo menos 10 dias na prisão. Oficiais especialistas precisam trabalhar 20 dias.\nNem todos podem ser promovidos. Somente 4 de 10 Guardas Seniores se tornam Oficiais, e somente 1 em cada 3 Oficiais se torna um Oficial Especialista.
finance_cost_gun	Equipamento: Arma
buildtoolbar_popup_room_psychiatristoffice	Área destinada para diagnosticar e tratar os criminosos psicóticos. Desbloqueie e coloque objetos extras no consultório psiquiátrico para aprimorar o tratamento de criminosos psicóticos. Os itens serão desbloqueados na medida que criminosos psicóticos forem atendidos pelos programas de consulta psiquiátrica.
d11_logging_caption	Habilitar registro da prisão
d11_logging_caption_tooltip	Registro de todos os eventos que ocorrem dentro da prisão, como mortes, casos de má conduta e solturas.
d11_logging_header	Registro da prisão
d11_logging_murder	[*T] *X assassinou *Y
d11_logging_murder_weapon	[*T] *X assassinou *Y com *Z
d11_logging_envriomentalDeath	[*T] *X : *Y
d11_logging_gangTeritory	[*T] *X conquistou um novo território
d11_logging_joinGang	[*T] *X se juntou a *Y
d11_logging_leaveGang	[*T] *X decidiu deixar *Y
d11_logging_newLeader	[*T] *X é o novo líder de *Y
d11_logging_leaderKilled	[*T] O líder *X foi morto
d11_logging_programPass	[*T] *X foi aprovado em *Y
d11_logging_prisonerRelease	[*T] *X foi liberado da prisão
d11_logging_prisonerReformed	[*T] *X foi reintegrado
d11_logging_prisonerReoffended	[*T] *X reincidiu e voltou à prisão
d11_logging_prisonerEscaped	[*T] *X fugiu
d11_logging_misconduct	[*T] *X Má conduta : *Y
rapsheet_tab_events	Registro de detento
codex_basegamesettings	Configuração padrão
codex_dlcsettings	Configuração do DLC
codex_savepreferences	Salvar preferências
codex_loadpreferences	Carregar preferências
codex_new_gender	Gênero
codex_new_uniformpicker	Selecionador de uniformes
codex_new_fakebuttonleft	<
codex_new_fakebuttonright	>
uniform_color_33	Magenta
Uniform_Picker_Selection	Escolher esta opção vai substituir o pacote de uniforme atual.
Uniform_Picker_DLCRequired	Requer *X para desbloquear este pacote de uniforme.
uniformPack_Default	Uniformes clássicos
uniformPack_Default_desc	Uniformes feitos para durar. Têm uma vida útil de mais de 10 anos.
equipment_GarbageBag	Saco de lixo
equipment_SafetyGoggles	Óculos de proteção
material_DarkWoodFloor	Piso de madeira preta
buildtoolbar_popup_mat_DarkWoodFloor	Chão de madeira maciça, perfeito para escritórios.
equipment_brick	Tijolo
equipment_export	Exportação
mainMenu_upsell	Comprar agora!
equipment_crate	Caixote
equipment_logPile	Pilha de troncos
equipment_box	Caixa
equipment_mailUnsorted	Bolsa de carteiro
equipment_food	Comida
equipment_waterBucket	Balde
dlc_name_qol1	Livre para Sempre
action_BabySleep	[Bebê] Dormir
action_BabyPlay	[Bebê] Brincar
quickbuild_Security	Segurança
quickbuild_Parole	Sala de audiência
quickbuild_Kennel	Canil
interfacecallout_BountyHunters	Um caçadores de recompensas
object_BountyHunter	Um caçadores de recompensas
d11_cooldown_hours_DistractionContraption	*X horas
object_SiberianHusky	Fantasma
graph_allTime	Todo o tempo
victory_UndeadEscapes_units	FUGAS
d11_logging_gangFight	[*T] *X do *Y causou a agressão em uma briga de gangues
warden_wardenzombieskeller_name	Jerome Keller
warden_wardenzombieskeller_desc	Um homem de boa índole, que influencia e inspira os que estão ao seu redor. Ex-pregador, muito apreciado pelos vivos... e mortos também.\n- Reduz em 15% a velocidade de mortos-vivos \n- Aumenta em 10% o dano contra mortos-vivos \n- Aumenta o valor dos pagamentos diários para cada morto-vivo contido.
warden_wardenzombieskeller_desc_short	- Reduz em 15% a velocidade de Mortos-vivos \n- Aumenta em +10% o dano contra mortos-vivos \n- Aumenta o valor dos pagamentos diários para cada morto-vivo contido.
object_zombie	Morto-vivo
interface_zombieTier	Classe de morto-vivo:
status_effect_StatusRunningInFear	Correndo de medo
status_effect_infected	Infecção
material_TaintedFloor	Estéril
buildtoolbar_popup_mat_TaintedFloor	Nada parece crescer aqui.
material_FenceWall	Parede cercada
buildtoolbar_popup_mat_FenceWall	Tem algo de estranho nessas paredes.
material_YellowStraightLineTiles	Lajotas de concreto (retas)
material_YellowCornerLineTiles	Lajotas de concreto (canto)
buildtoolbar_popup_mat_Rotatable	Giratório
finances_category_zombiepayments	Pagamentos de mortos-vivos
dlc_name_graveyardShift	Morto-vivo
codex_new_theUndead	Mortos-vivos!
codex_tooltip_theUndead	Uma epidemia? Esse não é um vírus comum. Vamos torcer para que você consiga cortar esse mal pela raiz.\n\nDesativado - Os mortos descansam eternamente.\n\nBaixo - Fácil e controlável.\n\nMédio - Para quem quer um pouco mais de desafio.\n\nAlto - modo Pesadelo, com atributos e taxa de surgimento maiores. Concede aos mortos-vivos a capacidade de restaurar vida ao atacar unidades indefesas.
event_infect_entities	Alguns dos nossos estão agindo um pouco estranho. Estão lentos, olhando para o nada e com... manchas vermelhas pelo corpo...
equipment_Crowbar	Pé-de-cabra
equipment_BarbedWireBat	Taco de arame farpado
equipment_ModifiedHandgun	Pistola modificada
equipment_ModifiedAssaultRifle	Rifle de assalto modificado
equipment_ChainsawWeapon	Motosserra
object_BountyHunterTrike	Triciclo de caçador de recompensas
d11_staffalert_title_BountyHunter	A situação na prisão está ficando insustentável. Precisamos de ajuda para lidar com os mortos-vivos, e rápido.
object_ZombieChum	Isca de morto-vivo
buildtoolbar_popup_obj_ZombieChum	Coloque uma isca para atrair os mortos-vivos para longe da população carcerária. Não contém cérebro (pode confiar), mas, mesmo assim, acaba curando mortos-vivos feridos.
object_ornamentalgravestone	Lápide ornamental
buildtoolbar_popup_obj_ornamentalgravestone	Para relembrar pessoas que já faleceram.
room_graveyard	Cemitério
quickbuild_graveyard	Cemitério
buildtoolbar_popup_room_graveyard	Destinado para o descanso final de alguns de nossos residentes. Só não podemos garantir que continuarão descansando.
room_empty	Sala vazia
buildtoolbar_popup_room_empty	Você não precisa mais de paredes e portas para separar suas áreas. Use esta sala vazia para criar novas áreas para alocação e atribuição de setores de segurança.
d11_graveyard_advisor_onboarding	Algo está acontecendo no cemitério... Sem espaço o suficiente, os mortos resolveram voltar a andar por aí.
object_DistractionContraption	Engenhoca de distração
buildtoolbar_popup_obj_DistractionContraption	Dispositivo de áudio usado para distrair as unidades infectadas ao redor por um curto período. Só pode ser usado uma vez a cada 24 horas. Use próximo da meia-noite para melhores resultados.
d11_cooldown_name_DistractionContraption	Reativação:
object_Gate	Portão
buildtoolbar_popup_obj_Gate	Portão escuro.
object_DoubleGate	Portão duplo
buildtoolbar_popup_obj_DoubleGate	Portão duplo e escuro.
buildtoolbar_popup_obj_SiberianHusky	Etéreo somente em aparência. Tem a tendência de lamber rostos e a si mesmo, mas nem sempre nessa ordem.
object_Corgi	Monarca
buildtoolbar_popup_obj_Corgi	Fofo e adorável. Sua proximidade com o chão proporciona uma melhor aerodinâmica. Bastante ágil.
interface_action_LockPosition	Travar posição
interface_action_UnlockPosition	Destravar posição
casueofdeath_drowned	Afogamento
causeofdeath_staffKill	Morto pela equipe
graph_label_timeFrame	Período
graph_lastFive	Últimos 5 dias
graph_lastTen	Últimos 10 dias
graph_lastTwenty	Últimos 20 dias
d11_logging_zombified	[*T] *X virou morto-vivo.
d11_logging_infection	[*T] Uma epidemia de mortos-vivos está se espalhando.
d11_logging_graveZombie	[*T] Um morto-vivo ressuscitou do túmulo.
codex_new_zombieOverlay	Exibição de mortos-vivos
codex_new_overlay_only	Apenas tela de exibição
codex_new_overlay_all	Totalmente habilitado
codex_tooltip_zombieOverlay	Aplica uma distorção visual para destacar grandes eventos e realçar o estilo do jogo.
damage_eaten	*X% devorado
uniformPack_GraveyardShift	Uniformes de mortos-vivos
uniformPack_GraveyardShift_desc	Altera os uniformes da equipe do jogo base para exibir sinais de desgaste.
d11_zombie_advisor_onboarding	Algo estranho está acontecendo... Aquela pessoa ali parece bem pra você?
d11_prioritise_monitoring	Priorizar monitoramento
d11_prioritise_monitoring_tooltip	Se ativado, os guardas priorizarão itens de segurança, como monitores de CITV, em detrimento de outros trabalhos.
objective_undeadCount	Mortos-vivos
objective_undeadCount_infections	Unidades infectadas:
objective_undeadCount_undead	Unidades de mortos-vivos:
objective_undeadCount_low	Classe baixa:
objective_undeadCount_mid	Classe média:
objective_undeadCount_high	Classe alta:
objective_undeadCount_description	Embora essas pragas causem muitos problemas, lembre-se que você receberá um pagamento para cada morto-vivo que abrigar, com base na classe deles. Para isso, é preciso contê-los de forma correta, é claro.
reports_privilegesPolicy_tooltip_Main	Use essa política para restringir as atividades ou instalações que cada nível de segurança tem acesso. Se uma opção estiver marcada, isso significa que ela está acessível para o nível de segurança em questão.
victory_adviserwarning_UndeadEscapes1	Acabei de ver alguns "foragidos". Você precisa impedir que essas... essas... coisas... fujam da prisão. Sabe-se lá o que vai acontecer se mais deles escaparem.
victory_advisernotice_UndeadEscapes1	Há muitos deles... por toda parte... Você teve a sua chance de impedir isso. Agora, você verá a dor que causou.
victory_UndeadEscapes	Morto-vivo foragido
victory_warning_UndeadEscapes	Você será responsabilizado por isso
object_RobotDogDoo	Cocô de Cachorro
interface_action_Rotate	Rotação
prisonerTracking_AllPrisoners	Todos os detentos
prisonerTracking_FlightRisk	Risco de fuga
prisonerTracking_Misconduct	Má conduta:
buildtoolbar_popup_help_PrisonerTracking_4	^Dicas
graph_axis_EscapedUndead	Morto-vivo foragido
buildtoolbar_popup_room_staffroom	Funcionários cansados do trabalho podem relaxar aqui. Para que a equipe faça suas refeições de forma adequada, a sala dos funcionários deve ser definida como apenas funcionários (setor de alocação) e estar conectada a uma cozinha para retirada e limpeza de bandejas.
d11_nearFuture_advisor_onboarding	Considere equipar alguns dos seus prisioneiros mais ardilosos com um cinto de rastreamento. Vamos monitorá-los da sala de segurança.
object_TrackingMonitor	Monitor de rastreamento
buildtoolbar_popup_uts_TrackingMonitor	Necessário para o menu de rastreamento.\n\nOperado por um guarda em uma sala de segurança para monitorar detentos que estejam usando cintos de rastreamento. Conecte aos roteadores para ampliar o alcance de visualização.
object_HealthMonitor	Monitor de saúde
buildtoolbar_popup_uts_HealthMonitor	Necessário para o menu de rastreamento.\n\nMonitora a saúde e o status dos seus detentos se estiverem equipados com um cinto de rastreamento. Instale em uma enfermaria.
object_Router	Roteador
buildtoolbar_popup_uts_Router	Necessário para o menu de rastreamento.\n\nConecte ao monitor de rastreamento para rastrear os prisioneiros equipados dentro do alcance. O alcance pode ser verificado individualmente ou pelo menu de rastreamento para visualizar a cobertura completa.
object_VideoCallBooth	Cabine de videoconferência
buildtoolbar_popup_uts_VideoCallBooth	Permite que os prisioneiros vejam seus entes queridos, mesmo quando não podem fazer uma visita.
object_advancedsearchlight	Holofote avançado
buildtoolbar_popup_uts_advancedsearchlight	Dispositivo de monitoramento de alta tecnologia projetado para detectar e impedir a fuga de prisioneiros através de reconhecimento facial. \n\nÉ preciso conectar um monitor de CITV a este objeto para funcionar.
object_MedicalBox	Caixa médica
buildtoolbar_popup_obj_MedicalBox	Necessário para o menu de rastreamento.\n\nContém 5 cintos de rastreamento.
object_TrackingBelt	Cintos de rastreamento
interfacecontraband_tracking	Rastreamento
job_GiveTrackingBelt	Dar cinto de rastreamento ao detento
uniformPack_future	Uniformes futuristas
uniformPack_future_desc	Altera os uniformes da equipe e dos detentos para um estilo futurista.
policy_staffbreakguards	Guardas: *P%
policy_staffbreakworkmen	Operário: *P%
policy_staffbreakcook	Cozinheiros: *P%
policy_staffbreakother	Todos os outros funcionários: *P%
policy_staffbreaks	Intervalos da equipe
object_Subwoofer	Subwoofer
buildtoolbar_popup_obj_Subwoofer	Essa maravilha feita pela humanidade é mais rápida e enxerga melhor do que um cão comum. É uma pena não ser tão durável.
object_Byte	Byte
buildtoolbar_popup_obj_Byte	A mais nova tendência em tecnologia de detecção. Apesar de ser menos robusto que outros cachorros, os sentidos aguçados compensam a utilização dele.
material_GlassWall	Parede de vidro
buildtoolbar_popup_mat_GlassWall	Se não der para arriscar manter a prisão sem supervisão, esse é o melhor tipo de parede.
quickbuild_GlassCell	Cela de vidro
buildtoolbar_popup_room_GlassCell	Um quarto sem privacidade para seus detentos.
material_ElectrifiedFence	Cerca elétrica
buildtoolbar_popup_mat_ElectrifiedFence	Contenção em forma de alta tensão. \nRequer conexão por cabos em cada quadrado.
equipment_keycard	Cartão de acesso
object_KeycardDoor	Porta de cartão de acesso
buildtoolbar_popup_obj_KeycardDoor	Guardas com cartões de acesso ou detentos com cintos de rastreamento podem passar por esta porta, mas o acesso dos prisioneiros pode ser restringido individualmente em cada porta.
object_KeycardDoorLarge	Porta de cartão de acesso grande
buildtoolbar_popup_obj_KeycardDoorLarge	Guardas com cartões de acesso ou detentos com cintos de rastreamento podem passar por esta porta, mas o acesso dos prisioneiros pode ser restringido individualmente em cada porta.
entity_carryingkeycard	Portando cartão de acesso
material_HexagonalTiles	Lajotas hexagonais
buildtoolbar_popup_mat_HexagonalTiles	Quadrados são coisa do passado. Conheça o futuro hexagonal.
material_TriangularTiles	Lajotas triangulares
buildtoolbar_popup_mat_TriangularTiles	Quadrados são coisa do passado. Conheça o futuro triangular.
schedule_zone_visitoronly	Apenas visitantes
interfacedeployment_visitoronlyzone	Apenas visitantes
buildtoolbar_deployment_visitoronlyzone	Área prioritária para visitantes e civis. Apenas eles e a equipe podem entrar nela.
action_videocall	Telefonema para casa
warden_WardenAlexisLin_name	Alexis Lin
