# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Все изменения
buildtoolbar_popup_room_TattooRemovalRoom	Здесь ваши заключенные могут пройти через нудный и неприятный процесс удаления татуировок.
quickbuild_TattooRemovalRoom	Кабинет для удаления татуировок
buildtoolbar_quickbuild_TattooRemovalRoom	Здесь ваши заключенные могут пройти через нудный и неприятный процесс удаления татуировок.
object_PullUpBars	Турник
buildtoolbar_popup_obj_PullUpBars	Дешевый спортинвентарь, популярный среди более матерых заключенных.
object_KneeRaise	Тренажер для ног
buildtoolbar_popup_obj_KneeRaise	Дешевый спортинвентарь, популярный среди более матерых заключенных.
object_PushUpStones	Камни для отжиманий
buildtoolbar_popup_obj_PushUpStones	Дешевый спортинвентарь, популярный среди более матерых заключенных.
object_GangGraffiti	Граффити банды
d11_hover_info_gang_graffiti_1	+15% к силе членов банды на территории
d11_hover_info_gang_graffiti_2	+15% к стойкости членов банды на территории
object_FightRing	Бойцовский ринг
buildtoolbar_popup_obj_FightRing	Выпустив пар на ринге, заключенные уже не захотят драться в других местах.\n — Удовлетворяет потребности в физических нагрузках и развлечениях.
quickbuild_FightClubRoom	Зал бойцовского клуба
buildtoolbar_quickbuild_FightClubRoom	Если кто-то спросит, этого помещения не существует.
room_FightClubRoom	Зал бойцовского клуба
buildtoolbar_popup_room_FightClubRoom	Если кто-то спросит, этого помещения не существует.
object_CageGate	Дверь клетки
buildtoolbar_popup_obj_CageGate	Ворота, которые отлично сочетаются с оградами. Работают так же, как двери.
buildtoolbar_popup_obj_RemoteDoor	Дверь, предназначенная для работы с приводом. Убедитесь, что проход через такие двери контролирует достаточное число охранников. Или установите датчики давления.
object_RemoteDoorOrange	Дверь с дистанционным управлением (оранжевая)
buildtoolbar_popup_obj_RemoteDoorOrange	Дверь, предназначенная для работы с приводом. Убедитесь, что проход через такие двери контролирует достаточное число охранников. Или установите датчики давления.
object_RemoteDoorRed	Дверь с дистанционным управлением (красная)
buildtoolbar_popup_obj_RemoteDoorRed	Дверь, предназначенная для работы с приводом. Убедитесь, что проход через такие двери контролирует достаточное число охранников. Или установите датчики давления.
object_RemoteDoorYellow	Дверь с дистанционным управлением (желтая)
buildtoolbar_popup_obj_RemoteDoorYellow	Дверь, предназначенная для работы с приводом. Убедитесь, что проход через такие двери контролирует достаточное число охранников. Или установите датчики давления.
object_RemoteDoorWhite	Дверь с дистанционным управлением (белая)
buildtoolbar_popup_obj_RemoteDoorWhite	Дверь, предназначенная для работы с приводом. Убедитесь, что проход через такие двери контролирует достаточное число охранников. Или установите датчики давления.
object_GymInstructor	Тренер
object_FilingCabinetFancy	Картотека (стильная)
buildtoolbar_popup_obj_FilingCabinetFancy	Наградите своих сотрудников стильной картотекой.
material_LongGrass	Высокая трава
codex_tooltip_gangsEnhanced	Теперь вы можете сделать так, чтобы новые заключенные присоединялись к бандам. Чем больше членов будет в банде, тем быстрее она будет расти и тем более опасной и неконтролируемой станет тюрьма.\n\n  Как в старой версии: прежняя сложность банд (для новичков)\n  Низкая сложность (по умолчанию): подходит для новичков и продвинутых игроков \n  Средняя сложность: подходит опытным игрокам\n  Высокая сложность: предназначена для тех, кто ищет серьезного испытания.
codex_tooltip_morelieutenants	Лейтенанты играют важную роль в захвате территорий для своей банды. Если вы хотите, чтобы банды были более активными, сократите число членов банды, необходимое для каждого лейтенанта. Выберите число меньше 6, чтобы бросить себе вызов.
codex_option_morelieutenants	Больше лейтенантов
codex_tooltip_codex_option_morelieutenants	Лейтенанты играют важную роль в захвате территорий для своей банды. Если вы хотите, чтобы банды были более активными, сократите число членов банды, необходимое для каждого лейтенанта. Выберите число меньше 6, чтобы бросить себе вызов.
codex_option_GangSpecialReputations	Специальные репутации банды
codex_tooltip_GangSpecialReputations	Банды получат новые репутации, которые будут влиять на поведение их членов.
codex_option_AllDogs	Все псы
codex_tooltip_AllDogs	Включить все породы собак и каждый раз нанимать пса случайной породы.
codex_tooltip_RandomWardens	Выбрать начальника тюрьмы случайным образом.
interfacecontraband_BoilingPoint	Предел Терпения
buildtoolbar_contraband_BoilingPoint	Узнайте, как можно улучшить настроение заключенных.
boilingpoint_header	Предел Терпения
boilingpoint_OverallTemperature	Общая обстановка
boilingpoint_StatusEffects	Состояния
boilingpoint_OverallTemperature_popup	Невозможно полностью контролировать поведение заключенного: иногда на его настроение влияют характер или количество судимостей. Чем сильнее злится каждый заключенный, тем больше накаляется обстановка в тюрьме, что может привести к беспорядкам.
boilingpoint_Needs_popup	Нужды *X заключенных не удовлетворены.\n\nУбедитесь, что у заключенных есть доступ к необходимым помещениям и объектам.
boilingpoint_ProgramCompletion_popup	*X заключенных не прошли ни одной программы.\n\nЧем больше программ пройдет заключенный, тем спокойнее он будет. Добавьте программы для заключенных и убедитесь, что им не мешает режим. Некоторые программы можно повторять.
boilingpoint_StatusEffects_popup	*X заключенных подвержены негативным состояниям.\n\nСледите за оборотом контрабанды, в особенности алкоголя и наркотиков.\n\nЗаключенные с положительными состояниями приносят меньше проблем.
boilingpoint_RoomQuality_popup	*X заключенных находятся в камерах плохого качества.\n\nУлучшите условия в камерах, чтобы заключенные стали счастливее и спокойнее. Иногда заключенные не имеют права находиться в качественных камерах. Пересмотрите приговоры, чтобы снизить эти требования.
buildtoolbar_popup_help_BoilingPoint_1	Обзор предела терпения отражает текущий накал обстановки в тюрьме. В нем указаны проблемы вроде плохого качества камер, неудовлетворения нужд заключенных, негативных эффектов или низкого уровня участия в программах.\n\n
buildtoolbar_popup_help_BoilingPoint_2	~Если вам не удается совладать с отдельным заключенным, заблокируйте двери в его камеру или поместите его в карцер, чтобы он успокоился.\n\n
buildtoolbar_popup_help_BoilingPoint_4	— Убедитесь, что основные нужды каждого заключенного удовлетворены.
buildtoolbar_popup_help_BoilingPoint_5	— Занимайтесь перевоспитанием, терапией, лечением и рабочими программами. Обязательно убедитесь, что режим не мешает заключенным участвовать в этих программах.
buildtoolbar_popup_help_BoilingPoint_6	— Заключенные с короткими сроками лишения свободы будут более спокойны.
boilingpoint_advisor_onboarding	Заключенный не хочет повиноваться. Похоже, что его терпение достигло предела. Возможно, мы недостаточно заботимся о заключенных: убедитесь, что их нужды удовлетворены, найдите для них занятия и улучшите условия в камерах. Откройте отчет о пределе терпения, чтобы узнать подробности.
interfacecontraband_SecurityMenu	Меню безопасности
buildtoolbar_contraband_SecurityMenu	Откройте список заключенных, которые считаются опасными или находящимися под угрозой, и примите соответствующие меры безопасности.
securitymenu_header	Меню безопасности
securitymenu_popup_prisonerSelect	Щелкните левой кнопкой мыши, чтобы выбрать заключенного
securitymenu_popup_dangerousReputations	Опасные репутации:
securitymenu_popup_dangerousTraits	Опасные черты:
securitymenu_popup_crimesCommitted	Преступления:
securitymenu_PrisonerType	Тип заключенного:
securitymenu_PrisonerTypeVulnerable	Под угрозой
securitymenu_MarkingTypeUnmarked	Без метки
securitymenu_SelectArea	Выбрать область
securitymenu_SelectAreaCancel	Отменить выбор области
securitymenu_RestrictAccess	Ограничить доступ:
securitymenu_TransferPrisoners	Перевести заключенных:
securitymenu_transferSecurityLevel	Уровень режима
securitymenu_GuardAssignment	Назначение охранника:
securitymenu_MarkPrisoner	Отметить заключенного:
securitymenu_RemovePrisoner	Удалить заключенного:
securitymenu_RemovePrisonerButton	Удалить заключенного
securitymenu_RemovedPrisoner	Заключенный удален
securitymenu_RemovePrisoner_message	Удалить заключенного\n\nЭто крайняя мера для самых злостных нарушителей: заплатив крупный штраф, вы можете отправить заключенного в другую тюрьму. Это действие можно повторять только раз в 5 дней.
securitymenu_RestrictAccess_tooltip	Приказать охранникам задерживать выбранных заключенных, если они попытаются пройти в определенные области. Вы не можете ограничить доступ членов банды к их областям/территориям.
securitymenu_TransferPrisoner_tooltip	Перевести выбранных заключенных в определенную охранную систему, чтобы за ними было легче следить.
securitymenu_MarkPrisoner_tooltip	Добавить визуальную метку к выбранным заключенным, чтобы с легкостью следить за теми, кто представляет опасность для остальных или сам находится под угрозой.
rapsheet_assignguard_end	Убрать охранника с поста
job_PrisonerAssignment	Назначение заключенных
assignment_confirm_message	Закрепить охранника?
assignment_description_message	Если вы хотите присматривать за отдельным заключенным, закрепите за ним охранника. Убедитесь, что охранников хватает.
assignment_error_message	За этим заключенным нельзя закрепить охранника: он только что прибыл, скован или заперт в камере.\n\nПовторите попытку позже.
buildtoolbar_popup_help_securitymenu_1	В меню безопасности указаны все члены тюрьмы, которые считаются опасными или находящимися под угрозой. Здесь вы можете принять различные меры, чтобы лучше поддерживать этих заключенных или контролировать их.\n\n
buildtoolbar_popup_help_securitymenu_2	~По умолчанию опасные и незащищенные заключенные указаны в одном списке, но вы можете сортировать их по типам, чтобы принимать меры в отношении конкретных групп.\n\n
buildtoolbar_popup_help_securitymenu_3	~Некоторые меры можно принять только в отношении отдельного человека. Чтобы выбрать заключенного, щелкните по нему левой кнопкой мыши.\n\n
buildtoolbar_popup_help_securitymenu_5	— Закрепление охранников за заключенными помогает защищать их друг от друга, а также следить за возможными нарушителями. Охранники не будут находиться рядом с заключенными в их личное время (например, когда те спят или принимают душ).
buildtoolbar_popup_help_securitymenu_6	— Если заключенный приносит слишком много проблем и вы не можете справиться с ним, переведите его в другую тюрьму. Это действие стоит денег и его нельзя использовать каждый день.
objectiveWindow_FilterButton_4_title	О бандах
objectiveWindow_FilterButton_4_tooltip	Все что нужно знать о бандах
objective_HelpGangBehaviourAndType	Поведение банд
objective_HelpGangBehaviourAndType_Description	Появились новые банды, поведение каждой из которых слегка отличается от других.
objective_HelpGangBehaviourAndType_child_1	Гадюки
objective_HelpGangBehaviourAndType_child_1_Description	Коварные типы, которые отравляют тюрьмы своими наркотиками и опасны сами по себе.
objective_HelpGangBehaviourAndType_child_2	Костоломы
objective_HelpGangBehaviourAndType_child_2_Description	Крепкие верзилы, больше всего в жизни обожающие насилие и разрушение.
objective_HelpGangBehaviourAndType_child_3	Шакалы
objective_HelpGangBehaviourAndType_child_3_Description	Самая инициативная банда, которая занимается захватом территорий и контрабандой, чтобы увеличивать свою финансовую силу.
objective_HelpGangActivities	Деятельность банд
objective_HelpGangActivities_Description	Банды могут управлять собственными территориями, строить планы против ключевых членов тюрьмы, выдвигать вам требования и делать многое другое.
objective_HelpGangActivities_child_1	Особая деятельность
objective_HelpGangActivities_child_1_Description	У каждой банды есть свой характер деятельности: «Гадюки» занимаются производством и сбытом наркотиков, «Костоломы» любят драки и погром, а «Шакалы» сосредоточены на захвате территорий и прибыли.
objective_HelpGangActivities_child_2	Территориальная деятельность
objective_HelpGangActivities_child_2_Description	С новыми территориями приходит и новое поведение. Теперь банды будут «заведовать» своими владениями, следя за поведением других заключенных и требуя плату за использование предметов на территории, даже в рабочие часы. Члены банды также будут копить контрабанду, соответствующую подконтрольным ей помещениям. Сбывать контрабанду другим заключенным будут «дилеры».
objective_HelpGangActivities_child_3	Требования банды
objective_HelpGangActivities_child_3_Description	Набравшись сил и уверенности, банды начнут выдвигать требования: установить новое оборудование, выделить больше времени для прогулок или досуга. У вас будет ограниченное время на принятие решения. Если вы не выполните требования банды, она тут же продемонстрирует свое недовольство, обычно путем насилия или погрома.
objective_HelpCrookedGuards	Продажные охранники
objective_HelpCrookedGuards_Description	Хотелось бы верить, что наши доблестные сотрудники чисты и неподкупны, но это не всегда так.
objective_HelpCrookedGuards_child_1	Подкуп охранников
objective_HelpCrookedGuards_child_1_Description	Простых охранников можно подкупить, чтобы они закрывали глаза на контрабанду, захват территорий или другие нарушения в течение 48 часов. Заручитесь помощью информаторов, чтобы следить за подозрительными охранниками и увольнять продажных сотрудников.
objective_HelpCrookedGuards_child_2	Коррупция среди охранников
objective_HelpCrookedGuards_child_2_Description	Взаимодействуя слишком часто с членами банды, некоторые охранники могут продаться им и переносить контрабанду за деньги. Информаторы сообщат вам о подозрительных охранниках, а детекторы контрабанды и сторожевые псы помогут обнаружить контрабанду прямо на человеке.
objective_HelpGangIntelligence	Разведка банд
objective_HelpGangIntelligence_Description	В любой тюрьме найдутся нарушители, поэтому разведка является основой безопасности вашего заведения. В меню разведки банд приведена информация о каждой банде тюрьмы: списки ее членов, финансы и нарушения, которые члены банды совершили за время своего пребывания в тюрьме. В меню также указаны действия и перемещения банд, чтобы вы могли оценить уровень их угрозы.
objective_HelpSecurityOptions	Меры безопасности
objective_HelpSecurityOptions_Description	В новом меню вы найдете список «важных заключенных», которые представляют опасность для других или сами находятся под угрозой. Отметьте заключенных в этом меню, чтобы за ними было проще следить во время игры. Вы также можете ограничить доступ заключенного к определенным областям, установить особые уровни режима для групп заключенных или даже отправить трудного заключенного в другую тюрьму (однако за это придется заплатить приличный штраф).
objective_HelpPrograms_Description	Теперь вы можете отправить охранников на дополнительные тренировки, чтобы они научились с легкостью разоружать заключенных. Заключенным тоже доступны новые программы, которые помогут им перевоспитаться, сбросить стресс или избавиться от влияния банд, чтобы закончить свой срок мирно и продуктивно.
objective_grant_positiveEnergyGrant	Мирное русло
objective_grant_positiveEnergyGrant_Description	Члены банд должны сосредоточить свои разум и энергию на чем-то кроме насилия. Исследования показывают, что в этом хорошо помогают физические тренировки. Установите различное спортивное оборудование во дворе.
objective_grant_positiveEnergyGrant_bench	Добавить силовой тренажер
objective_grant_advancedProtectionGrant	Продвинутая защита
objective_grant_advancedProtectionGrant_Description	Когда дело касается борьбы с бандами, благополучие персонала должно быть на первом месте. Нам стоит подготовить сотрудников ко всем возможным ситуациям.
objective_grant_advancedProtectionGrant_training	Успешно проведите тренировку по разоружению для 20 охранников.
objective_grant_gangWelfareGrant	Благосостояние членов банд
objective_grant_gangWelfareGrant_Description	Заключенные должны понять, что есть жизнь и за пределами их банд. Они имеют больше шансов покинуть банду и перевоспитаться, если вы предоставите им соответствующие программы.
objective_grant_gangWelfareGrant_exGangMembers	Успешно помогите 15 членам банд стать бывшими членами банд.
objective_grant_exGangProtectionGrant	Программа защиты бывших членов банд
objective_grant_exGangProtectionGrant_Description	Правительство готово выделить средства на постройку корпуса защитной изоляции, в котором бывшие члены банд смогут в безопасности продолжать свое перевоспитание.
objective_grant_protectionCells	Построить 10 камер в секторе защитной изоляции
objective_grant_protectionShower	Построить душевую в секторе защитной изоляции
objective_grant_protectionCanteen	Построить столовую в секторе защитной изоляции
objective_grant_protectionKitchen	Построить кухню в секторе защитной изоляции
objective_grant_protectionYard	Построить двор в секторе защитной изоляции
objective_grant_protectionGuards	Назначить охранника в сектор защитной изоляции
objective_grant_protectionExGang	Назначить 1 бывшему члену банды режим защитной изоляции
grant_category_adminHired	Нанят администратор:
reformprogram_TattooRemovalProgram	Программа по удалению татуировок
reformprogram_TattooRemovalProgram_text	Если заключенный больше не хочет носить татуировки банды, предложите удалить их, чтобы облегчить процесс перевоспитания. Завершив эту программу, заключенный станет целью.
reformprogram_HandToHandCombat	Курсы по разоружению
reformprogram_HandToHandCombat_text	В суровых условиях мы становимся только крепче. Обучите охранников продвинутым техникам разоружения заключенных.
reformprogram_GangRehabilitation	Перевоспитание членов банд
reformprogram_GangRehabilitation_text	Если член банды приносит много проблем, запишите его на эту программу. Это первый шаг на пути к выходу из банды и началу жизни с чистого листа. Завершив программу, заключенный станет целью. Тип направления: жестокость и погром.
reform_program_intake_ReferralGangViolenceDestruction	Направление: жестокость и погром, только для членов банд.
reform_program_intake_GangOnly	Только для членов банд
reformprogram_FaithProgram	Религиозная программа
reformprogram_FaithProgram_text	Приняв участие в этой интенсивной программе, заключенные могут завязать с пагубной жизнью в банде и покинуть ее.
reformprogram_BreatheProgram	Дыхательные техники
reformprogram_BreatheProgram_text	Научите заключенных расслабляться путем глубокого дыхания. После каждого курса заключенные будут чувствовать себя спокойнее, а их поведение может улучшиться.
reformprogram_FightClub	Бойцовский клуб
reformprogram_FightClub_text	Во время тренировок в бойцовском клубе заключенные смогут выплеснуть свою агрессию, при этом находясь под надлежащим присмотром. Они так устанут, что им уже не захочется драться где-либо еще. Подождите, какое там было первое правило?
reform_program_properties_TeacherUsesSameEquipment	Учителю нужно: *X
reform_program_properties_GangMemberCanAttend	Могут посещать члены банд
gang_vipers	Гадюки
gang_bonebreakers	Костоломы
gang_jackals	Шакалы
gang_red	Красная
gang_blue	Синяя
gang_yellow	Бывшие члены банды
objective_GangDemand	Требования банды
objective_GangDemand_description	Осмелев, главари банд начнут требовать улучшения условий жизни в тюрьме. Если вы не выполните эти требования, они могут поднять бунт. Убедитесь, что ваша тюрьма готова к такому развитию событий.
GangDemand_announcement	Члены банды устроят беспорядки, если мы не выполним их требования.
objective_Gang_ContrabandToolsPunishment_child	*G — Уменьшить наказание за обнаружение инструментов до *X ч.
objective_Gang_ContrabandToolsPunishment_Escalated_child	*G — Отменить наказание за обнаружение инструментов.
objective_Gang_MurderPunishment_child	*G — Уменьшить наказание за убийство до *X ч.
objective_Gang_MurderPunishment_Escalated_child	*G — Уменьшить наказание за убийство до *X ч.
objective_Gang_MoreYardTime_child	*G — Увеличить время для прогулок по двору до *X ч.
objective_Gang_MoreYardTime_Escalated_child	*G — Увеличить время для прогулок по двору до *X ч.
objective_Gang_PullUpBars_child	*G — Установить не менее *X турников.
objective_Gang_PullUpBars_Escalated_child	*G — Установить не менее *X турников.
objective_Gang_TyreApparatus_child	*G — Установить не менее *X тренажеров из покрышек.
objective_Gang_TyreApparatus_Escalated_child	*G — Установить не менее *X тренажеров из покрышек.
objective_Gang_PunchBag_child	*G — Установить не менее *X боксерских груш.
objective_Gang_PunchBag_Escalated_child	*G — Установить не менее *X боксерских груш.
objective_Gang_PushUpStones_child	*G — Установить не менее *X камней для отжиманий.
objective_Gang_PushUpStones_Escalated_child	*G — Установить не менее *X камней для отжиманий.
objective_Gang_RequireYard_child	*G — Установить: *X.
objective_Gang_RequireYard_Escalated_child	*G — Установить: *X.
objective_Gang_RequireLibrary_child	*G — Установить: *X.
objective_Gang_RequireLibrary_Escalated_child	*G — Установить: *X.
objective_Gang_RequireMailRoom_child	*G — Установить: *X.
objective_Gang_RequireMailRoom_Escalated_child	*G — Установить: *X.
d11_gangdemand_success	Мы получили деньги за разрешение этой ситуации.
d11_gangdemand_fail	Проследите, чтобы эта ситуация не повторилась.
d11_gangCompensation	Компенсация банды
d11_gang_goal	Цель банды:
d11_gang_jackals_goal	Управление тюрьмой
d11_gang_traits	Черты банды:
d11_gang_officer	Верхушка банды:
d11_gang_territories	Территории:
d11_gang_kills	Убийства банды:
d11_heatmap_gang	Замешанная банда:
d11_heatmap_day	День происшествия:
d11_heatmap_time	Время происшествия:
d11_gang_event_pr.gf	Стычка банд
d11_gang_event_g.tc	Изменение территории
gangSegregationMessage	Выберите, у каких банд есть доступ к определенным зонам.
interfacedeployment_GangSegregation	Разделение банд
buildtoolbar_deployment_GangSegregation	Вы можете распределить банды по разным жилым помещениям, чтобы держать их на расстоянии друг от друга и избегать лишних трений.
research_StaffVetting	Отбор персонала
researchtooltip_StaffVetting	Уменьшает вероятность подкупа новых охранников. Открывает доступ к проверке охранников, которая позволит находить продажных сотрудников с помощью информаторов.
buildtoolbar_GuardInvestigation	Проверка охранников
buildtoolbar_tooltip_GuardInvestigation	Пользуйтесь помощью информаторов и начальника охраны, чтобы бороться с коррупцией среди охранников. Чем больший охват имеют активные информаторы, тем больше продажных сотрудников вы найдете. Начальник охраны не должен руководить программой или присутствовать на казни.
buildtoolbar_CI_requirement	Хотя бы один информатор
guardinvestigation_underway	ИДЕТ ПРОВЕРКА ОХРАННИКОВ
guardinvestigation_investigated	Проверено охранников: *A/*B
informant_investigating	Проверка
crookedguard_fired_reward	Продажный охранник уволен
crookedguard_advisor_onboarding	Мы раскусили продажного охранника, работающего на банду. Он отмечен на вкладке персонала в меню «Отчеты». Поскорее увольте его.
buildtoolbar_popup_staff_doghandler	Кинологи и их хвостатые помощники могут обнаружить контрабанду у заключенного, если он пройдет рядом с ними.
buildtoolbar_popup_staff_kimber_doghandler	Кинологи и их хвостатые помощники могут обнаружить контрабанду у заключенного или продажного охранника, если он пройдет рядом с ними.
d11_prisoner_replacement	Замена заключенных
d11_prisoner_replacement_tooltip	Количество заключенных будет восстановлено до необходимого уровня, соотношение охраны будет по возможности сохранено. Дополнительные заключенные будут запрошены по стандартной системе.
job_cleanupobject	Очистить: *X
interfacetopbar_tension_angrygangmembersgraffiti	+ *X ЧЛЕНОВ БАНДЫ В ЯРОСТИ (удалено граффити)
interfacetopbar_tension_angrygangmembersleadercell	+ *X ЧЛЕНОВ БАНДЫ В ЯРОСТИ (главарь переведен в камеру худшего качества)
research_CCTVImprovement	Улучшение системы видеонаблюдения
researchtooltip_CCTVImprovement	Улучшите функционал оборудования для видеонаблюдения. Вы сможете видеть радиус обзора видеокамер и попадающих в него нарушителей порядка.
d11_cctv_cone	Радиус обзора видеокамер
d11_toggle_cctv_cone_detail	Показать радиус обзора видеокамер
d11_left_click_to_clean	Щелкните левой кнопкой мыши, чтобы очистить
d11_gang_graffiti_message	Банды отмечают свою территорию и будут защищать ее более агрессивно. Когда выдастся безопасная возможность, отправьте уборщика стереть «творчество» банды. Ее членам это не понравится, и они могут отреагировать агрессивно.
d11_gangBulkIntake_advisor_onboarding	Тюремный комитет переводит трудных заключенных в тюрьмы с более компетентными управляющими. Вы наверняка справитесь с этими новоприбывшими. Теперь проверка заключенных будет проводиться еженедельно.
d11_gangBulkIntake_staffAlert	Прибывает автобус с членами банды
d11_gangdealer_advisor_onboarding	Мы нашли дилера на территории банды. У него была конфискована крупная сумма денег.
d11_CI_advisor_onboarding	Сотрудничайте с информаторами, чтобы выявить продажных охранников. Они будут отправлены в офис начальника охраны, где выложат информацию, которую знают. Не забудьте нанять информаторов и нажмите вопросительный знак в меню разведки, чтобы узнать подробности.
d11_LeaderAssassination_advisor_onboarding	Банды становятся слишком агрессивными и собираются убить главаря другой банды. Если им это удастся, текущие территории банд изменятся.
d11_GangTargetting_advisor_onboarding	Члены банд объединяются на почве общих интересов. Они также могут притеснять заключенных, совершивших определенные преступления.
d11_staffalert_title_making_move	Банда претворяет свои планы в жизнь.
d11_staffalert_summary_making_move	Поступила информация о планах банды.
d11_staffalert_summary_gangdealer	Был обнаружен дилер. Вы получили $500 в награду.
d11_staffalert_summary_TerritoryPlacement	Это помещение заняли члены банды — пока вы не выселите их, там будет слишком опасно для рабочих.
crisisSector_CustomSearchArea	Пользовательская область поиска
crisisSector_ScheduleSearch	Пользовательское расписание
schedulesearch_menu_TargettedArea	Целевая область
schedulesearch_menu_StartTime	Время начала
schedulesearch_menu_ExistingSchedule	Существующее расписание
schedulesearch_menu_CurrentTime	Текущее время
schedulesearch_menu_CurrentFrequency	Текущая частота
crisisSector_UnlockedOnly	Только открытые
schedulesearch_menu_SaveSelection	Сохранить выбор
reputation_Recruiter	Вербовщик
reputationtooltip_Recruiter	Состоя в банде, этот заключенный будет активно вербовать в нее других.
reputationtooltip_Resourceful	Этот заключенный предпочитает проводить досуг за чтением книг. Он также знает, где находится контрабанда, и будет перехватывать ее для своей банды.
reputation_ExGangMember	Бывший член банды
reputationtooltip_ExGangMember	Этот заключенный решил порвать с членством в банде. Но банда от этого не особо в восторге.
reputation_CunninglyBrutal	Жестокий хитрец
reputationtooltip_CunninglyBrutal	Гадюки предпочитают атаковать цель вне зоны видимости охраны.
reputation_SneakThief	Ловкий воришка
reputationtooltip_SneakThief	Шакалы любой репутации являются умелыми карманниками.
reputation_BattleTendency	Любовь к дракам
reputationtooltip_BattleTendency	Если в корпусе больше Шакалов, чем охранников, они будут проявлять больше агрессии в отношении персонала этого корпуса.
reputation_DisrepectSurroundings	Вандал
reputationtooltip_DisrepectSurroundings	Если не удовлетворять нужды Костоломов, они начнут ломать объекты.
reputation_UnderCoverDon	Дон под прикрытием
reputationtooltip_UnderCoverDon	Главарь Гадюк будет выдавать себя за обычного члена банды до тех пор, пока не подвергнется наказанию.
reputation_Enforcer	Мордоворот
reputationtooltip_Enforcer	Этот заключенный будет запугивать остальных, за исключением членов своей банды. Он также хорошо справляется с захватом территорий для банды.
reputation_GymRat	Качок
reputationtooltip_GymRat	Костоломы предпочитают проводить свободное время во дворе или спортзале.
reputation_Loyal	Верный
reputationtooltip_Loyal	Этот заключенный до последнего будет верен банде и выйдет из себя, если вы накажете ее главаря.
traits_violent	Жестокий
traits_lethal	Смертоносный
finance_cost_gangdealer	Найден главарь банды
object_PrisonerLetter	Письмо заключенного
object_LoveLetter	Любовное послание
object_LoveLetterOpened	Любовное послание (открытое)
interface_prisonerWritingLetter	Пишет письмо любимым
interface_prisonerWritingLoveLetter	Пишет кому-то ОЧЕНЬ дорогому
warden_wardengangsjlocks_name	Капитан Дж. Локс
warden_wardengangsjlocks_desc	Когда за дело берется Локс, персонал выкладывается на все сто, а из заключенных делаются образцовые граждане.\n\n— Выносливость персонала повышена на 30%, но ему требуется на 10% больше отдыха. \n— Вероятность рецидивов снижена на 10%.
