# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Registro completo de cambios
d11_staffalert_summary_gangdealer	Han descubierto a un traficante y te han recompensado con 500 dólares
d11_staffalert_summary_TerritoryPlacement	Esta habitación ha sido ocupada por una banda y es demasiado peligrosa para nuestros trabajadores. Desalójalos de la habitación.
crisisSector_CustomSearchArea	Área de búsqueda personalizada
crisisSector_ScheduleSearch	Programación personalizada
schedulesearch_menu_TargettedArea	Área objetivo
schedulesearch_menu_StartTime	Hora de inicio
schedulesearch_menu_ExistingSchedule	Programa existente
schedulesearch_menu_CurrentTime	Hora actual
schedulesearch_menu_CurrentFrequency	Frecuencia actual
crisisSector_UnlockedOnly	Solo desbloqueado
schedulesearch_menu_SaveSelection	Guardar selección
reputation_Recruiter	Reclutador
reputationtooltip_Recruiter	Si este recluso forma parte de una banda, tendrá más probabilidades de conseguir que otros reclusos se unan a su banda.
reputationtooltip_Resourceful	Este recluso será más propenso a pasar el tiempo leyendo libros. También sabrá dónde estará el contrabando y podría interceptarlo para su banda.
reputation_ExGangMember	Ex miembro de la banda
reputationtooltip_ExGangMember	Este recluso decidió que la vida en la banda no era para él, pero sus miembros no están contentos con esto.
reputation_CunninglyBrutal	Astutamente brutal
reputationtooltip_CunninglyBrutal	Las Víboras tratarán de atacar a sus objetivos en los puntos ciegos de seguridad.
reputation_SneakThief	Ratero
reputationtooltip_SneakThief	Todos los Chacales tienen la habilidad para hurtar, independientemente de su reputación.
reputation_BattleTendency	Tendencia a pelear
reputationtooltip_BattleTendency	Si los chacales superan en número a los guardias en un ala de la prisión, serán más violentos con el personal de esa ala.
reputation_DisrepectSurroundings	Vándalo
reputationtooltip_DisrepectSurroundings	Los Rompehuesos estropearán los objetos cuando no se satisfagan algunas de sus necesidades.
reputation_UnderCoverDon	Don Clandestino
reputationtooltip_UnderCoverDon	El jefe de las Víboras está escondido como soldado de la banda y solo saldrá al descubierto cuando sea castigado.
reputation_Enforcer	Sicario
reputationtooltip_Enforcer	Este recluso intimidará a otros reclusos, a menos que pertenezcan a la misma banda. También son muy buenos a la hora de apoderarse de territorios para las bandas.
reputation_GymRat	Adicto al gimnasio
reputationtooltip_GymRat	Los Rompehuesos pasarán su periodo de tiempo libre en un gimnasio o patio.
reputation_Loyal	Leal
reputationtooltip_Loyal	Este recluso será más propenso a permanecer en la banda y a alborotarse si se castiga al líder de su banda
traits_violent	Violento
traits_lethal	Letal
finance_cost_gangdealer	Traficante de la banda descubierto
object_PrisonerLetter	Carta de recluso
object_LoveLetter	Carta de amor
object_LoveLetterOpened	Carta de amor (abierta)
interface_prisonerWritingLetter	Escribiendo a los seres queridos
interface_prisonerWritingLoveLetter	Escribiéndole a alguien MUY especial
warden_wardengangsjlocks_name	Capitán J. Locks
warden_wardengangsjlocks_desc	El personal bajo el mando de Locks es capaz de superar sus límites y los reclusos se convierten en reclusos modelo. \n\n- +30 % de resistencia del personal (requiere un 10 % más de descanso). \n- -10 % de posibilidad de reincidencia del recluso.
warden_wardengangsjlocks_desc_short	- El personal tiene más resistencia.\n- Los reclusos tienen un 10 % menos de probabilidades de reincidir.
warden_wardengangscook_name	Dylan Cook
warden_wardengangscook_desc	Este caballero se encargará de hablar con cualquiera y se las arreglará para conseguir los mejores precios para su prisión. ¡Será mejor que creas que usa cupones en el supermercado! \n\n- Los costes de alimentación se reducen en un 25 %. \n- Los programas que requieren profesores externos cuestan un 20 % menos.
warden_wardengangscook_desc_short	- Los costes de alimentación se reducen en un 25 %.\n- Los programas que requieren profesores externos cuestan un 20 % menos.
rapsheet_manualCellSwap_hint	Elige si quieres dar a este recluso una simple mejora/degradación con el traslado a una nueva celda disponible o elige manualmente a qué celda debe ser trasladado.
rapsheet_cellUpgrade	Mejorar celda
rapsheet_cellDowngrade	Degradar celda
rapsheet_cellChoice	Elegir una nueva celda
rapsheet_ChangeCell	Cambiar de celda
ChangeCellUpgradeSuccessful	Has cambiado a *X a una mejor celda.
ChangeCellDowngradeSuccessful	Has cambiado a *X a una peor celda.
ChangeCellNoAvailableRooms	No hay estancias disponibles para cambiar a *X. ¿Quieres utilizar el menú de intercambio de estancias personalizado?
ChangeCellDowngradingGangLeader	Vas a cambiar al líder de una banda a una celda de peor calidad, lo que cabreará a su banda y probablemente cause problemas en tu prisión.
freeCell_movePrisoner	Haz clic derecho para mover al recluso a su celda.
occupiedCell_movePrisoner	Haz clic con el botón derecho para intercambiar al recluso con el que ocupa esta celda.
occupiedCell_selectablePrisoner	Haz clic con el botón derecho del ratón para seleccionar a este prisionero y elegir dónde quieres moverlo.
mutator_name_NoMinRoomSize	No hay tamaño de estancia
mutator_tooltip_NoMinRoomSize	¡Se acabaron los requisitos de tamaño de la estancia! Pero todavía necesitas conseguir los artículos necesarios para que la estancia funcione.
action_GangBusiness	Actividades de la banda
action_GangRecruitment	Reclutamiento de la banda
action_GangPromotion	Ascenso de la banda
action_ActionHerb	Manipulando
action_LoadBaby	Llevando bebé
action_WarmUp	Haciendo estiramientos
action_GetSnack	Consiguiendo comida
action_Drink	Consiguiendo bebida
action_DoPullUps	Haciendo dominadas
action_KneeRaises	Elevación de piernas en barra
action_PushUps	Flexiones
reform_program_properties_RequiresAllStudentsPresent	Requiere la presencia de todos los estudiantes
d11_tableClaim_title	Controlada por *G
d11_tableClaim_desc	Para retirarlos de sus mesas, muévelos o sepáralos.
d11_tableClaim_desc_cont	Aunque esto provocará que se enfaden.
schedulesearch_menu_ClearSchedule	Eliminar programación

security_menu_default	Categoría seleccionada
interfacemode_water	Agua
interfacemode_connections	Cableado
interface_rectangle_width	Ancho
interface_rectangle_height	Altura
interfaceplanning_fence	Vallas
buildtoolbar_popup_obj_SofaChairDoubleBrown	Una gran estructura blanda que proporciona un asiento cómodo. Apto para dos personas.
rank_title	Rango
rank_officer	Oficial
buildtoolbar_popup_room_laundry	Los conserjes y los reclusos asignados a la colada traerán aquí los uniformes sucios, los limpiarán y plancharán y los volverán a repartir.
buildtoolbar_popup_room_visitation	Lugar donde los reclusos pueden ver a sus familias. Ten cuidado: las familias pueden aprovechar las visitas para tratar de introducir objetos de contrabando en la prisión.
buildtoolbar_popup_room_cleaningcupboard	Almacena productos de limpieza. Se necesita un armario de la limpieza antes de poder asignar a trabajadores de la prisión a las tareas de limpieza.
buildtoolbar_popup_room_armoury	Los guardias armados se quedarán en esta habitación cuando no estén de servicio. Todas las armas balísticas se guardan aquí.
buildtoolbar_popup_room_forestry	Un lugar donde se cultivan árboles. Los árboles pueden usarse para crear productos en el taller que vender más tarde.
buildtoolbar_popup_room_classroom	Un lugar de aprendizaje. Aquí los prisioneros pueden participar en programas de reforma educativos.
buildtoolbar_popup_room_exports	Cualquier objeto creado por los trabajadores y los prisioneros se recogerá y traerá aquí.
buildtoolbar_popup_room_mailroom	Permite que tus reclusos reciban correo. El personal de la sala de correo también está conformado por reclusos.
ageCategory_Young	Joven
ageCategory_Senior	Mayor
ageCategory_Elderly	Anciano
causeofdeath_naturalcauses	Causas naturales
codex_option_prisonerAging	Envejecimiento de reclusos
codex_tooltip_prisonerAging	Activar esta opción permitirá que los reclusos envejezcan con el paso de los años, haciendo que pierdan energía y se vuelvan más débiles en comparación a su juventud.
interfacemode_electricity	Electricidad
interface_rectangle_cost	Coste
scheduler_prisonerandstaff	Reclusos y personal
codex_option_plotGridCoords_title	Cuadrícula / Coordenadas
codex_plotGrid	Cuadrícula transparente
codex_plotCoords	Coordenadas
codex_plotGridAndCoords	Activar ambos
mutator_name_DailyHearse	¡Sacad a los muertos!
mutator_tooltip_DailyHearse	Los coches fúnebres aparecerán todos los días a las 8:00 p.m. Si los despides, volverán al día siguiente.
regime_eatLockdown	Comer/Encerrar
regime_showerLockdown	Ducha/Encerrar
regimetooltip_eatLockdown	Los reclusos deben dirigirse a su comedor asignado para comer o usar el resto de instalaciones del comedor. Cuando acaban de comer, los reclusos están restringidos a sus celdas como si estuvieran en situación de "encerramiento".
regimetooltip_showerLockdown	Los reclusos van a las duchas a lavarse y después se ponen un uniforme limpio, si hay alguno disponible. Cuando acaban de ducharse, están restringidos a sus celdas como si estuvieran en situación de "encerramiento".
rooms_AllRooms	Todas las salas
object_searchlight	Luz de búsqueda automática
buildtoolbar_popup_obj_searchlight	Una luz giratoria que está activa durante la noche. Ayuda a localizar reclusos comportándose mal cuando se está a oscuras.
material_DarkWoodFloor	Suelo de madera oscura
buildtoolbar_popup_mat_DarkWoodFloor	Un suelo de madera maciza perfecto para oficinas.
buildtoolbar_popup_obj_BarbedWire	Accesorio puntiagudo que hará que tus muros parezcan más imponentes y seguros.
object_SofaChairDoubleBrown	Sofá ancho (marrón)
interface_action_rank	Rango
rank_subtitle	Cambiar rango a:
rank_senior	Guardia experimentado
rank_specialist	Oficial especialista
rank_popup_text_1	Los guardias experimentados, los oficiales y los oficiales especialistas son más fuertes y más difíciles de matar. Aun así, priorizarán las zonas más tranquilas de la prisión mientras puedan.\n\n
rank_popup_text_2	Todos los guardias deben completar la Certificación de Taser para Guardias para dar comienzo al proceso de ascenso. Los oficiales tienen que llevar al menos 10 días en la prisión y los oficiales especialistas, 20.\nNo todos pueden ser ascendidos: solo 4 de cada 10 guardias experimentados pueden convertirse en oficiales y solo 1 de cada 3 oficiales puede convertirse en oficial especialista.
finance_cost_gun	Equipamiento: pistola
buildtoolbar_popup_room_psychiatristoffice	Una zona donde tu psiquiatra puede diagnosticar a los presos con problemas mentales. Desbloquea y coloca más objetos en la oficina del psiquiatra para mejorar el trato que reciben los presos con problemas mentales. Los objetos se desbloquean cuando los reclusos con problemas mentales asisten a programas de consulta psiquiátrica.
d11_logging_caption	Activar registro de la prisión
d11_logging_caption_tooltip	Un registro en tiempo real de todos los eventos importantes que tienen lugar en la prisión, desde muertes y malas conductas hasta puestas en libertad.
d11_logging_header	Registro de la prisión
d11_logging_murder	[*T] *X ha asesinado a *Y
d11_logging_murder_weapon	[*T] *X ha asesinado a *Y con *Z
d11_logging_envriomentalDeath	[*T] *X : *Y
d11_logging_gangTeritory	[*T] *X ha reclamado un nuevo territorio
d11_logging_joinGang	[*T] *X se ha unido a *Y
d11_logging_leaveGang	[*T] *X ha decidido irse de *Y
d11_logging_newLeader	[*T] *X ahora lidera a *Y
d11_logging_leaderKilled	[*T] El líder de *X ha sido asesinado
d11_logging_programPass	[*T] *X ha completado *Y
d11_logging_prisonerRelease	[*T] Se ha puesto en libertad a *X
d11_logging_prisonerReformed	[*T] *X se ha reformado
d11_logging_prisonerReoffended	[*T] *X ha reincidido y ha vuelto a prisión
d11_logging_prisonerEscaped	[*T] *X ha escapado
d11_logging_misconduct	[*T] Mala conducta de *X : *Y
rapsheet_tab_events	Registro del recluso
codex_basegamesettings	Ajustes del juego base
codex_dlcsettings	Ajustes del DLC
codex_savepreferences	Guardar preferencias
codex_loadpreferences	Cargar preferencias
codex_new_gender	Género
codex_new_uniformpicker	Escoger uniforme
codex_new_fakebuttonleft	<
codex_new_fakebuttonright	>
uniform_color_33	Magenta
Uniform_Picker_Selection	Al seleccionar esta opción se sustituirá el lote de uniformes actual.
Uniform_Picker_DLCRequired	Se necesita *X para desbloquear este lote de uniformes
uniformPack_Default	Uniformes clásicos
uniformPack_Default_desc	Uniformes hechos con materiales duraderos. Con garantía de durar más de 10 años.
equipment_GarbageBag	Bolsa de basura
equipment_SafetyGoggles	Gafas de seguridad
material_DarkWoodFloor	Suelo de madera oscura
buildtoolbar_popup_mat_DarkWoodFloor	Un suelo de madera maciza perfecto para oficinas.
equipment_brick	Ladrillo
equipment_export	Exportaciones
mainMenu_upsell	¡Comprar ahora!
equipment_crate	Caja grande
equipment_logPile	Montón de troncos
equipment_box	Caja
equipment_mailUnsorted	Bolsa de correo
equipment_food	Comida
equipment_waterBucket	Cubo de agua
dlc_name_qol1	Vida regalada
action_BabySleep	Sueño [bebé]
action_BabyPlay	Juego [bebé]
quickbuild_Security	Seguridad
quickbuild_Parole	Libertad Condicional
quickbuild_Kennel	Perrera
interfacecallout_BountyHunters	Un cazarrecompensas
object_BountyHunter	Un cazarrecompensas
d11_cooldown_hours_DistractionContraption	*X horas
object_SiberianHusky	Fantasma
graph_allTime	Todo el tiempo
victory_UndeadEscapes_units	FUGAS
d11_logging_gangFight	[*T] *X de los *Y ha sido el agresor en una pelea de bandas.
warden_wardenzombieskeller_name	Jerome Keller
warden_wardenzombieskeller_desc	Un buen hombre que sirve de ejemplo e inspiración. Un expastor al que los vivos... y los muertos... tienen en buena estima. \n- Reducción de -15 % de velocidad de paso de muertos vivientes \n- Aumento de +10 % de daño a muertos vivientes \n- Aumento de pago diario por muerto viviente controlado
warden_wardenzombieskeller_desc_short	- Reducción de -15 % de velocidad de paso de muertos vivientes \n- Aumento de +10 % de daño a muertos vivientes \n- Aumento de pago diario por muerto viviente controlado
object_zombie	Muerto viviente
interface_zombieTier	Categoría de muerto viviente:
status_effect_StatusRunningInFear	Corriendo despavorido
status_effect_infected	Infectado
material_TaintedFloor	Podrido
buildtoolbar_popup_mat_TaintedFloor	Aquí no parece que vaya a crecer nada.
material_FenceWall	Pared vallada
buildtoolbar_popup_mat_FenceWall	Estas paredes imponen lo suyo.
material_YellowStraightLineTiles	Losetas de hormigón (Recto)
material_YellowCornerLineTiles	Losetas de hormigón (Esquina)
buildtoolbar_popup_mat_Rotatable	Giratorio
finances_category_zombiepayments	Pagos de muertos vivientes
dlc_name_graveyardShift	Muerto viviente
codex_new_theUndead	¡Los muertos vivientes!
codex_tooltip_theUndead	¿Un brote? No estamos ante un virus normal y corriente. A ver si eres capaz de cortar este mal de raíz.\n\nDesactivado: Deja a los muertos tranquilos.\n\nBajo: Fácil, sencillo y para toda la familia.\n\nMedio: Para a los que les van los retos.\n\nAlto: Toda una pesadilla con estadísticas más altas, tasas de aparición, muertos vivientes que se curan al atacar unidades indefensas.
event_infect_entities	A algunos de los nuestros se les ve un pelín raros. Cada vez están menos avispados, se quedan mirando las musarañas y hasta les ha salido algo rojo.
equipment_Crowbar	Palanca
equipment_BarbedWireBat	Bate con alambre de espino
equipment_ModifiedHandgun	Pistola modificada
equipment_ModifiedAssaultRifle	Rifle de asalto modificado
equipment_ChainsawWeapon	Motosierra
object_BountyHunterTrike	Trimoto de cazarrecompensas
d11_staffalert_title_BountyHunter	La prisión está al borde del colapso. Necesitamos ayuda para ocuparnos de los muertos vivientes. Y rápido.
object_ZombieChum	Cebo de muertos vivientes
buildtoolbar_popup_obj_ZombieChum	Coloca un cebo para mantener alejados a los muertos vivientes de los reclusos. No te preocupes, que no está hecho de sesos... pero acabará curando a cualquier muerto viviente herido.
object_ornamentalgravestone	Lápida decorativa
buildtoolbar_popup_obj_ornamentalgravestone	Un recuerdo de alguien caído.
room_graveyard	Cementerio
quickbuild_graveyard	Cementerio
buildtoolbar_popup_room_graveyard	El último remanso de paz para algunos residentes. Que quieran descansar en paz es otro asunto.
room_empty	Sala vacía
buildtoolbar_popup_room_empty	Necesitar paredes y puertas para separar estancias es cosa del pasado. Aprovecha esta sala vacía para crear nuevas zonas de despliegue y asignar sectores de seguridad.
d11_graveyard_advisor_onboarding	Se ve que hay... movimiento en el cementerio... Con tan poco sitio, los muertos parecen pulular por la tierra.
object_DistractionContraption	Aparato de distracción
buildtoolbar_popup_obj_DistractionContraption	Un dispositivo de sonido que distrae temporalmente a las unidades infectadas dentro de su alcance. Solo puede usarse una vez cada 24 horas. Se recomienda, aunque no es obligatorio, utilizar este objeto cuando sea casi medianoche.
d11_cooldown_name_DistractionContraption	Enfriamiento:
object_Gate	Cancela
buildtoolbar_popup_obj_Gate	Una cancela oscura.
object_DoubleGate	Cancela doble
buildtoolbar_popup_obj_DoubleGate	Una cancela oscura doble.
buildtoolbar_popup_obj_SiberianHusky	La elegancia que transmite es pura fachada. Le encanta lamer caras ajenas y a sí mismo, pero no siempre en ese orden.
object_Corgi	Monarca
buildtoolbar_popup_obj_Corgi	Lo más cuqui que te puedes echar a la cara. Su reducida estatura, casi a ras de suelo, le confiere mayor aerodinamismo. Sorprendentemente ágil.
interface_action_LockPosition	Bloquear posición
interface_action_UnlockPosition	Desbloquear posición
casueofdeath_drowned	Ahogado
causeofdeath_staffKill	Abatido por el personal
graph_label_timeFrame	Periodo de tiempo
graph_lastFive	Últimos 5 días
graph_lastTen	Últimos 10 días
graph_lastTwenty	Últimos 20 días
d11_logging_zombified	[*T] *X se ha vuelto un muerto viviente.
d11_logging_infection	[*T] Se propaga una infección de muertos vivientes.
d11_logging_graveZombie	[*T] Un muerto viviente ha salido de su tumba.
codex_new_zombieOverlay	Capa de muertos vivientes
codex_new_overlay_only	Solo capa
codex_new_overlay_all	Activar al completo
codex_tooltip_zombieOverlay	Coloca una capa que contribuye a la ambientación del juego y, además, ofrece una distorsión visual que resalta los sucesos más importantes.
damage_eaten	*X % comido
uniformPack_GraveyardShift	Uniformes de muerto viviente
uniformPack_GraveyardShift_desc	Cambia los uniformes de personal del juego base para presentar muestras de desgaste.
d11_zombie_advisor_onboarding	Aquí pasa algo raro... ¿Ese de allí no tiene mala pinta?
d11_prioritise_monitoring	Priorizar vigilancia
d11_prioritise_monitoring_tooltip	Al activarse, los guardias darán prioridad al uso de objetos de seguridad, como monitores de cámaras de seguridad, sobre otras tareas.
objective_undeadCount	Muertos vivientes
objective_undeadCount_infections	Unidades infectadas:
objective_undeadCount_undead	Unidades muertas vivientes:
objective_undeadCount_low	Categoría baja:
objective_undeadCount_mid	Categoría media:
objective_undeadCount_high	Categoría alta:
objective_undeadCount_description	Aunque las plagas de muertos vivientes puedan ser todo un incordio, ten en cuenta que recibirás un pago por cada muerto que acojas en función de su categoría. Bueno, eso si puedes tenerlo controlado.
reports_privilegesPolicy_tooltip_Main	Esta política sirve para restringir las actividades e instalaciones a las que tiene acceso cada nivel de seguridad. Si alguna opción está marcada con una cruz, quiere decir que se le permite el acceso; si no, dicho privilegio queda restringido.
victory_adviserwarning_UndeadEscapes1	Acabo de ver unos cuantos "prófugos"... No puedes permitir que esos... esos monstruos... sigan saliendo de la prisión. A saber qué pasará si se fugan más.
victory_advisernotice_UndeadEscapes1	Hay... muchísimos... Están por todas partes. Podrías haber detenido esto, pero ahora sufrirás el dolor que te has buscado.
victory_UndeadEscapes	Muertos vivientes fugados
victory_warning_UndeadEscapes	Tendrás que dar la cara por esto
object_RobotDogDoo	Caca de perro
interface_action_Rotate	Rotación
prisonerTracking_AllPrisoners	Todos los reclusos
prisonerTracking_FlightRisk	Riesgo de fuga
prisonerTracking_Misconduct	Mala conducta:
buildtoolbar_popup_help_PrisonerTracking_4	^Consejos
graph_axis_EscapedUndead	Muertos vivientes fugados
buildtoolbar_popup_room_staffroom	Los miembros del personal pueden venir aquí a relajarse y desconectar cuando empiezan a estar demasiado cansados. Para que las comidas de personal funcionen correctamente, la Sala de Personal debe estar configurada como "Solo personal" (sector de Despliegue) y estar conectada a una cocina para poder recoger las bandejas y limpiar.
d11_nearFuture_advisor_onboarding	Considera equipar a algunos de tus reclusos de peor comportamiento con un cinturón de seguimiento. Los mantendremos vigilados a través de la Sala de Seguridad.
object_TrackingMonitor	Monitor de seguimiento
buildtoolbar_popup_uts_TrackingMonitor	Requerido para el menú de seguimiento.\n\n Empleado por guardias dentro de la Sala de Seguridad para vigilar a los reclusos que llevan cinturones de seguimiento. Conéctalo a un router para extender su área de visualización.
object_HealthMonitor	Monitor de salud
buildtoolbar_popup_uts_HealthMonitor	Requerido para el menú de seguimiento.\n\n Lleva un registro de la salud y estado de tus reclusos que llevan un cinturón de seguimiento. Instalar dentro de una enfermería.
object_Router	Router
buildtoolbar_popup_uts_Router	Requerido para el menú de seguimiento.\n\n Al conectarse al monitor de seguimiento, este objeto realiza un seguimiento de cualquier recluso equipado que se encuentre en su área. El área de influencia puede comprobarse individualmente o en el menú de seguimiento si quieres una visión global.
object_VideoCallBooth	Cabina de videollamadas
buildtoolbar_popup_uts_VideoCallBooth	Permite que tus reclusos vean a sus seres queridos aún si no pueden visitarlos.
object_advancedsearchlight	Luz de búsqueda avanzada
buildtoolbar_popup_uts_advancedsearchlight	Dispositivo de vigilancia de última generación, diseñado para detectar y detener a reclusos a la fuga gracias a la tecnología de reconocimiento facial. \n\nTienes que conectar un monitor de seguridad a este objeto para que funcione.
object_MedicalBox	Botiquín
buildtoolbar_popup_obj_MedicalBox	Requerido para el menú de seguimiento.\n\n Contiene 5 cinturones de seguimiento.
object_TrackingBelt	Cinturones de seguimiento
interfacecontraband_tracking	Seguimiento
job_GiveTrackingBelt	Dar cinturón de seguimiento a preso
uniformPack_future	Uniformes del futuro
uniformPack_future_desc	Cambia los uniformes de tu personal y prisioneros a un diseño más futurista.
policy_staffbreakguards	Guardias: *P %
policy_staffbreakworkmen	Obreros: *P %
policy_staffbreakcook	Cocineros: *P %
policy_staffbreakother	Resto del personal: *P %
policy_staffbreaks	Descansos del personal
object_Subwoofer	Subwoofer
buildtoolbar_popup_obj_Subwoofer	Esta maravilla hecha por el hombre es más rápida y tiene mejor vista que un perro habitual. Por desgracia, no es igual de duradero.
object_Byte	Byte
buildtoolbar_popup_obj_Byte	El último grito en tecnología de detección. Aunque es más débil que otros perros, lo compensa gracias a sus agudos sentidos.
material_GlassWall	Pared de cristal
buildtoolbar_popup_mat_GlassWall	Si no te puedes arriesgar a dejar tu prisión sin vigilancia, este tipo de muro es para ti.
quickbuild_GlassCell	Celda de cristal
buildtoolbar_popup_room_GlassCell	Un hogar con menor privacidad para tu reclusos.
material_ElectrifiedFence	Valla electrificada
buildtoolbar_popup_mat_ElectrifiedFence	Herramienta disuasoria de alto voltaje. \nNecesita cableado en cada casilla.
equipment_keycard	Tarjeta llave
object_KeycardDoor	Puerta con tarjeta llave
buildtoolbar_popup_obj_KeycardDoor	Esta puerta puede ser traspasada por guardias que cuenten con una tarjeta llave o reclusos con cinturones de seguimiento. Puedes cambiar la configuración de cada puerta de manera individual para impedir el paso de reclusos.
object_KeycardDoorLarge	Puerta grande con tarjeta llave
buildtoolbar_popup_obj_KeycardDoorLarge	Esta puerta puede ser traspasada por guardias que cuenten con una tarjeta llave o reclusos con cinturones de seguimiento. Puedes cambiar la configuración de cada puerta de manera individual para impedir el paso de reclusos.
entity_carryingkeycard	Lleva una tarjeta llave
material_HexagonalTiles	Azulejos hexagonales
buildtoolbar_popup_mat_HexagonalTiles	Los cuadrados son cosa del pasado. ¡El futuro es hexagonal!
material_TriangularTiles	Azulejos triangulares
buildtoolbar_popup_mat_TriangularTiles	Los cuadrados son cosa del pasado. ¡El futuro es triangular!
schedule_zone_visitoronly	Solo visitantes
interfacedeployment_visitoronlyzone	Solo visitantes
buildtoolbar_deployment_visitoronlyzone	Zona donde tienen prioridad los civiles y visitantes. Solo ellos y el personal tienen permitido entrar aquí.
action_videocall	Llamando a casa
warden_WardenAlexisLin_name	Alexis Lin
warden_WardenAlexisLin_desc	Cree que la tecnología es el futuro. Respetada por los compañeros, temida por los reclusos. \n\n- El índice de represión se desvanece un 60 % más despacio. \n- Los instigadores no aumentan la probabilidad de que los reclusos cercanos causen problemas. \n- Reduce la frecuencia de mala conductas de los reclusos extremadamente volátiles en un 50 %.
warden_WardenAlexisLin_desc_short	- El índice de represión se desvanece un 60 % más despacio de lo normal.\n- Los instigadores no aumentan la probabilidad de que los reclusos cercanos causen problemas. \n -Reduce la frecuencia de mala conductas de los reclusos extremadamente volátiles en un 50 %.
prisonerTracking_Title	Menú de seguimiento
interfacecontraband_PrisonerTracking	Menú de seguimiento
buildtoolbar_contraband_PrisonerTracking	Te permite vigilar a tus reclusos para garantizar que están en buen estado de salud y no se están portando mal. Comprueba la ayuda para saber más
prisonerTracking_TrackedPrisoners	Reclusos en seguimiento
prisonerTracking_SubstanceAbuse	Abuso de sustancias
prisonerTracking_Virus	Virus/Enfermedades
trackingmenu_ViewRange	Alternar área
interface_action_refuseBeltAccess	Revocar acceso de cinturón
prisonerTracking_PrisonersLists	Todos los reclusos\nCambiar el grupo de reclusos refinará más la lista de reclusos.\n\nRiesgo de fuga\nEstos reclusos están considerando o planeando fugarse.\n\nMala conducta\nReclusos que hayan mostrado alguna mala conducta durante las últimas 48 horas.\n\nAbuso de sustancias\nReclusos que han desarrollado una adicción a narcóticos y por tanto están en riesgo de sobredosis.\n\nVirus/Enfermedades\nReclusos que presentan algún tipo de estado de salud negativo y podrían estar en peligro o representar un peligro para los demás.
d11_trackingMenu_locked	Para poder usar este menú necesitas: \n - Un médico \n - Un monitor de salud \n - Un botiquín \n - Un monitor de seguimiento y un router
buildtoolbar_popup_help_PrisonerTracking_1	El menú de información de seguimiento lista a todos los reclusos de la prisión. Para usarse, requiere contar con un médico, una Enfermería con un monitor de salud y un botiquín y una Sala de Seguridad con un monitor de seguimiento y un router.\n
buildtoolbar_popup_help_PrisonerTracking_2	Estas listas pueden cambiarse para mostrar la información a la que el jugador quiera acceder más rápidamente, y variar entre Todos, Riesgo de fuga, Mala conducta, Abuso de sustancias y Virus/Otras enfermedades.\n\n
buildtoolbar_popup_help_PrisonerTracking_3	~Selecciona al recluso al que quieras vigilar y recibe una notificación si accede a una sección de la prisión donde no tiene permitido entrar o si se encuentra en peligro. Contarán con un marcador sobre la cabeza para ayudar a señalar su ubicación.\n\n
buildtoolbar_popup_help_PrisonerTracking_5	- Asegúrate de que tu prisión sea segura. Elimina y controla las fuentes de contrabando para reducir las posibilidades de fuga o de que hiera a otros reclusos o al personal.\n
buildtoolbar_popup_help_PrisonerTracking_6	- Crea programas y asegúrate de tener médicos suficientes para que los reclusos con problemas de abuso de sustancias estén seguros.\n\n
prisonerTracking_confirm_equip	¿Enviar recluso a la enfermería para equiparle un cinturón de seguimiento?
prisonerTracking_confirm_unequip	¿Enviar recluso a la enfermería para retirarle el cinturón de seguimiento?
codex_options_clocktype_undead	Muerto viviente (Analógico)
codex_options_clocktype_future	Futuro (Analógico)
graph_axis_TotalEscapedUndead	Muertos vivientes fugados totales
equipment_stunbaton	Porra aturdidora
finance_cost_stunbaton	Equipamiento: Porra aturdidora
d11_stun_baton_caption	Equipar porras aturdidoras
d11_stun_baton_tooltip	Esta opción permitirá que tus guardias vayan equipados con una porra de seguridad, que les será de ayuda para retener a reclusos rebeldes. Requiere una armería y tiene un coste de *X $ por guardia. Junto a los guardias normales, los guardias de motín también vienen equipados con estas nuevas porras sin tener que pagar un coste extra.
dlc_name_futureTech	Future Tech Pack
roomgrading_Cell_HasGlassWalls	[*E] Rodeada de paredes de cristal
roomgrading_Dormitory_HasGlassWalls	[*E] Rodeada de paredes de cristal
roomgrading_Canteen_HasGlassWalls	[*E] Rodeada de paredes de cristal
roomgrading_Gymnasium_HasGlassWalls	[*E] Rodeada de paredes de cristal
roomgrading_CommonRoom_HasGlassWalls	[*E] Rodeada de paredes de cristal
roomgrading_Classroom_HasGlassWalls	[*E] Rodeada de paredes de cristal
trackingMenu_unequipPrisoner	Retirar de recluso
d11_staffalert_title_ArmouryPlaced	Porras aturdidoras
d11_staffalert_summary_ArmouryPlaced	Si crees que tus guardias necesitas ir mejor armados, puedes implementar una política penitenciaria que les permita llevar porras aturdidoras.
objective_Grant_TrackerPilot	Plan de pilotaje de rastreo
objective_Grant_TrackerPilot_description	Una compañía tecnológica grande está probando un nuevo dispositivo para el bienestar del prisionero. Ofrecen mil a cualquier prisión que esté dispuesta a probar el equipo y a compartir los datos recopilados.
objective_Grant_Tracker_Infirmary	Construye una Enfermería
objective_Grant_Tracker_Doctor	Contrata a un médico
objective_Grant_Tracker_MedicalBox	Instala un botiquín en la enfermería
objective_Grant_Tracker_HealthMonitor	Instala un monitor de salud en la Enfermería
objective_Grant_Tracker_Router	Coloca routers para incrementar el alcance de rastreo de prisioneros
