# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	전체 변경 로그
object_damagedelectricalcable	손상된 전력케이블
object_Rat	쥐
object_RatTrap	쥐덫
object_RatDroppings	쥐 배설물
object_DogDoo	개 똥
object_BackupGenerator	예비 발전기
object_SonicDeterrent	소음 쥐 퇴치기
object_FirstAidStation	응급처치소
object_WeatherMachine	기상 관측기
object_Sprinkler	화화재 살수 장치
object_FireAlarm	화재 경보기
interface_action_range	범위
object_PipeSmallLagged	파이프 (소형) 단열재
object_PipeHotLagged	파이프 (온수) 단열재
object_PipeValveLagged	파이프 밸브 단열재
object_WaterStationLagged	물 펌프 단열재
object_WaterBoilerLagged	물 보일러 단열재
object_LightningRod	피뢰침
object_HeavyDutyElectricalCable	보호관
object_TrainingElectricalCable	손상된 전력케이블 실습
object_GritBin	모래함
object_mysterycrate	수수께끼 상자
object_ConstructionVan	수리용 밴
object_ConstructionHeli	수리용 헬리콥터
object_Repairman	수리공
object_DrainageVan	배관 작업용 밴
object_DrainageHeli	배관 작업용 헬리콥터
object_Waterman	배관공
object_waterman_hosehelp_intro	배관공들은 근처의 물을 모두 빼낼 것입니다.
object_waterman_hosehelp	H를 눌러 속도 증가
object_BorderPlantA	경계 식물 A
object_BorderPlantB	경계 식물 B
object_BorderPlantC	경계 식물 C
object_EntityDeliveryMan	배달원
object_birthdayPresent	생일 선물
buildtoolbar_popup_uts_PipeSmallLagged	영하의 조건에서 배관이 빠르게 얼지 않도록 보호하는 단열 층입니다.
buildtoolbar_popup_uts_PipeHotLagged	영하의 조건에서 온수 배관이 얼지 않도록 보호하는 단열 층입니다.
buildtoolbar_popup_uts_PipeValveLagged	영하의 조건에서도 배관이 자연스럽게 흐르도록 밸브의 기능을 유지합니다.
buildtoolbar_popup_uts_WaterStationLagged	영하의 조건을 견딜 수 있는 단열재입니다. 기존의 급수기에 적용하여 동파를 예방하십시오.
buildtoolbar_popup_uts_WaterBoilerLagged	영하의 조건을 견딜 수 있는 단열재입니다. 기존의 온수 보일러에 붙여 동파를 예방하십시오.
buildtoolbar_popup_obj_LightningRod	이 아이템은 낙뢰의 방향을 바꿔서 안전하게 흡수합니다.
buildtoolbar_popup_obj_RatTrap	해충 제거 프로그램을 수료한 직원은 기계 장치를 설치하고 포획된 입주자를 인도적으로 제거할 수 있습니다.
buildtoolbar_popup_uts_BackupGenerator	교도소의 전력 케이블에 연결하면 전기가 끊길 경우 자동으로 전력을 공급할 태양 에너지를 저장합니다. 예비 발전기는 회로당 한 개로 제한됩니다.
double_click	더블 클릭:
buildtoolbar_popup_obj_SonicDeterrent	고음 주파수를 발생하여 장치가 설치된 지역에 쥐가 들어오는 것을 막습니다.
buildtoolbar_popup_obj_WeatherMachine	기상 관측기는 우수한 날씨 예보를 제공합니다. 지속시간, 온도, 강수량, 풍속과 시야 상태를 예측합니다. 또한 예보된 걱정스러운 기상 이벤트에 대한 카운트다운을 제공합니다.
object_WeatherAntenna	기상 안테나
buildtoolbar_popup_obj_WeatherAntenna	기상 안테나는 우수한 날씨 예보를 제공합니다. 지속시간, 온도, 강수량, 풍속과 시야 상태를 예측합니다.
object_DrinkingFountain	음수대
buildtoolbar_popup_obj_DrinkingFountain	죄수와 직원에게 쾌적함을 제공하고 수분을 공급하는 벽걸이 분수입니다.
buildtoolbar_popup_obj_FireAlarm	주변 지역에서 화재가 감지되면 귀하와 주변의 구성원에게 경고합니다.
buildtoolbar_popup_uts_HeavyDutyElectricalCable	교도소 주변에 전기를 배분하는 케이블은 기존 케이블 위에 설치되는 보호관 덕분에 쥐나 갑작스런 전기 서지로부터 손상되지 않도록 저항이 생기게 됩니다.
buildtoolbar_popup_obj_GritBin	훈련된 직원은 도로와 길, 다른 야외 구역에 서리가 내리지 않도록 모래를 뿌릴 수 있습니다.
buildtoolbar_popup_obj_FirstAidStation	응급처치 교육을 수료한 직원은 이곳에서 응급처치 키트를 받아 경미한 부상을 치료하고 중태에 빠진 사람들을 안정시킬 수 있습니다.
buildtoolbar_popup_obj_BorderPlantA	작은 정원에 울타리를 치는 데 사용할 수 있는 장식용 꽃입니다.
buildtoolbar_popup_obj_BorderPlantB	작은 정원에 울타리를 치는 데 사용할 수 있는 장식용 꽃입니다.
buildtoolbar_popup_obj_BorderPlantC	작은 정원에 울타리를 치는 데 사용할 수 있는 장식용 꽃입니다.
buildtoolbar_popup_obj_birthdayPresent	죄수들의 생일을 축하하기 위한 선물입니다.
equipment_GritBucket	모래 양동이
material_RebarReinforcement	철근 보강재
buildtoolbar_popup_mat_RebarReinforcement	이 보강재를 적용하면 벽과 건물 기초의 구조적 무결성을 높여 사건으로 인한 손상 가능성이 낮아집니다.
subsidence_tooltip_Damaged	지반 침하/쥐 피해
room_WeatherCentre	기상 센터
buildtoolbar_popup_room_WeatherCentre	날씨 예보 장비가 구비된 방으로, 심각한 기상 이벤트를 사전에 경고합니다.
room_TrainingRoom	훈련실
buildtoolbar_popup_room_TrainingRoom	직원들이 새로운 기술을 습득할 수 있는 학습 공간입니다.
quickbuild_WeatherCentre	기상 센터
buildtoolbar_quickbuild_WeatherCentre	날씨 예보 장비가 구비된 방으로, 심각한 기상 이벤트를 사전에 경고합니다.
object_pestcontrolteacher	해충 방제 인부
d11_generator_charge_text	전력 충전기: *X%
event_SubsidenceFirstTime	교도소 지반에 문제가 생긴 것 같습니다. 구조물이 넘어지지 않도록 철근 보강재를 배치하거나 수리공을 고용하십시오.
object_FireExtinguisher	소화기
equipment_FireExtinguisher	소화기
buildtoolbar_popup_obj_FireExtinguisher	우리가 불을 지르지는 않았지만, 화재 안전 프로그램으로 화재를 예방할 수 있습니다.
object_FireSafetyTeacher	화재 안전 선생님
codex_tooltip_ratInfestation	더러운 교도소는 쥐를 불러들입니다. 감옥을 항상 깨끗하게 유지하지 않으면 쥐 떼가 큰 혼란을 일으킬 것입니다. 첫 청소부를 고용하고 20명의 재소자를 확보하면 쥐가 범람하기 시작할 수 있습니다.
job_EmptyRatTrap	쥐 풀어주기
job_FixSwollenDoor	문 식히기
d11_staffalert_summary_DeepFreeze01	날씨가 추워지고 겨울이 오면 발생할 수 있는 잠재적인 위험에 주의하십시오.
d11_staffalert_title_DeepFreeze01	극심한 한파
d11_staffalert_details_DeepFreeze01	극심한 추위를 겪는 동안, 교도소의 상당 부분에 서리가 내리거나 교도소가 완전히 얼어붙을 수 있습니다. 죄수들은 또한 병에 걸릴 가능성이 높아지며 극단적인 경우 동사할 수도 있습니다.
d11_staffalert_hint_DeepFreeze01	항상 모래함을 이용 가능한 상태로 준비하고, 교도소에 있는 여러 용도의 아이템을 적절히 절연하고, 적절한 수준의 의료 지원을 받을 수 있도록 유지하는 것이 가장 좋습니다.
d11_staffalert_summary_LightningStorm01	폭풍이 다가올 조짐이 보이니 전기 문제와 잠재적인 구조물 피해에 유의하십시오.
d11_staffalert_title_LightningStorm01	벼락 폭풍
d11_staffalert_details_LightningStorm01	폭풍은 교도소에 온갖 문제를 일으킬 수 있습니다. 전기 제품에 문제가 생길 수 있고, 낙뢰로 인해 지물이 손상되고 화재가 발생할 수 있으며 교도소의 모든 지역을 파괴하고 심지어 사람들을 감전시킬 수 있습니다.
d11_staffalert_hint_LightningStorm01	이 폭풍이 지나가는 동안 최대한 피해를 최소화하기 위해 교도소를 안전하게 보호하고 피뢰침을 설치해야 합니다.
d11_staffalert_summary_RatInfestationLevel01	쥐는 귀엽지만 교도소에 재앙을 불러올 수 있으니 조심하십시오.
d11_staffalert_title_RatInfestationLevel01	쥐 범람
d11_staffalert_details_RatInfestationLevel01	더러운 교도소는 재소자들을 불행하게 만들지만 쥐들에겐 천국이나 다름없습니다. 쥐들은 죄수들에게 질병을 일으키고, 저장된 음식을 먹어치우고, 가는 길에 있는 케이블과 울타리를 갉아먹을 수 있으므로 쥐들이 사방에 돌아다니는 것을 경계하십시오.
d11_staffalert_hint_RatInfestationLevel01	쥐들을 몰아내려면 교도소는 항상 깨끗해야 하고 최대한 빨리 모든 땅굴을 제거해야 합니다. 그렇지 않으면 해충 방제와 같은 조치가 필요할 수도 있습니다.
d11_staffalert_title_WeatherDetected	극심한 날씨가 탐지됨
d11_staffalert_details_WeatherDetected	다가오는 기상 이벤트가 탐지됨...
d11_staffalert_title_ShortCircuit	예비 발전기에 합선이 생겼습니다.
d11_staffalert_title_granterror	보조금 실수
d11_staffalert_details_granterror	관리상의 실수로 인해, 우리의 보조금 잔금이 두 배로 증가했습니다!
d11_staffalert_title_MysteryCrate	뒤로 떨어졌습니다.
d11_staffalert_details_MysteryCrate	다른 시설에서 사용할 아이템이 지나가던 트럭에서 떨어진 것 같은데, 이런 실수가 발생하면 해당 시설에서 전액 환불을 받을 테니까 저희가 공짜 물건을 얻은 셈이나 마찬가지입니다. 안에 뭐가 들었을지 궁금하군요.
objectiveWindow_FilterButton_3_title	Perfect Storm에 대해
objectiveWindow_FilterButton_3_tooltip	Perfect Storm의 참사와 주요 특성을 설명하는 정보 모음입니다.
objective_HelpCalamities	참사
objective_HelpCalamities_child_1	극심한 한파
objective_HelpCalamities_child_1_Description	극심한 추위를 겪는 동안, 교도소의 상당 부분에 서리가 내리거나 교도소가 완전히 얼어붙을 수 있습니다. 죄수들은 또한 병에 걸릴 가능성이 높아지며 극단적인 경우 동사할 수도 있습니다. 항상 모래함을 이용 가능한 상태로 준비하고, 교도소에 있는 여러 용도의 아이템을 적절히 절연하고, 적절한 수준의 의료 지원을 받을 수 있도록 유지하는 것이 가장 좋습니다.
objective_HelpCalamities_child_2	벼락 폭풍
objective_HelpCalamities_child_2_Description	폭풍은 교도소에 온갖 종류의 문제를 일으킬 수 있습니다. 전기 제품에 문제가 생길 수 있고, 낙뢰로 인해 지물이 손상되고 화재가 발생할 수 있으며 교도소의 모든 지역을 파괴하고 심각한 경우 사람의 목숨을 앗아갈 수도 있습니다. 감옥을 안전하게 보호하고, 피뢰침을 설치해 벼락의 방향을 바꾸고, 최대한 피해를 막기 위해 노력해야 합니다.
objective_HelpCalamities_child_3_Description	폭염은 매우 위험할 수 있습니다. 죄수들과 직원들이 이런 더위에 탈수 상태가 되면 상황이 심각해질 수 있으므로 이들을 잘 지켜보십시오. 교도소 주변에서 화재가 발생하고 도로가 유실되고 현재 보유하고 있는 근사한 철창문과 같이 교도소 주변에 금속으로 된 모든 부분들이 온전한지 예의 주시해야 합니다.
objective_HelpCalamities_child_4	쥐 범람
objective_HelpCalamities_child_4_Description	더러운 교도소는 재소자들을 불행하게 만들지만 쥐들에겐 천국이나 다름없습니다. 쥐들은 죄수들에게 질병을 일으키고, 저장한 음식을 마음껏 먹고, 가는 길에 있는 케이블과 울타리를 갉아먹을 수 있으므로 쥐들이 사방에 돌아다니는 것을 경계하십시오. 쥐들을 몰아내려면 교도소는 항상 깨끗해야 하고 최대한 빨리 모든 땅굴을 제거해야 합니다. 그렇지 않으면 해충 방제와 같은 조치가 필요할 수도 있습니다.
objective_HelpCalamityPrevention	참사 예방:
objective_HelpCalamityPrevention_Description	특정한 참사에 대해 경고할 수 있는 새로운 시스템을 사용할 수 있으며 필요한 경우 언제든지 사용할 것을 제안합니다. 사용하면 위험에 처한 사람들을 안전한 지역으로 이동시킬 수 있으며, 계획을 원활히 진행시켜 피해를 줄이고 큰 문제가 발생하는 것을 막을 수 있습니다.
objective_HelpEmergencyServices	새로운 비상 서비스
objective_HelpEmergencyServices_Description	필요할 때 교도소를 지원하기 위해 새로운 서비스를 이용할 수 있습니다. 서비스를 통해 해충, 구조물 및 전기적 손상, 수도 시설과 관련된 문제를 해결하고 도로를 유지관리할 수도 있습니다.
objective_HelpCoveragePlans	보장 계획
objective_HelpCoveragePlans_Description	매일 금액을 지불하면서 감옥을 지원하는 데 도움을 주는 자신만의 보장 계획을 원하는 대로 수립할 수 있습니다. 교도소가 위험에 처할 경우 적절한 대응 팀을 자동으로 소환하는 한편, 어려운 시기에 도움이 되도록 아이템과 직원 임금을 할인받을 수 있습니다.
objective_HelpStafftraining	직원 훈련 및 장비
objective_HelpStafftraining_Description	직원들은 손상된 전기케이블을 수리하는 기술 뿐만 아니라 소화기, 모래함, 쥐덫 등의 전문 장비를 사용할 수 있는 새로운 기술을 배울 수 있을 것입니다.
objective_grant_emergencyProtocols	비상 규약
objective_grant_emergencyProtocols_description	비상시에는 죄수와 직원의 안전이 무엇보다 중요합니다. 귀하의 보살핌을 받는 사람들의 안전을 보장하기 위해 이들을 잠재적 위험에 노출시키지 말아야 합니다.
objective_grant_emergencyProtocols_stayIndoor	위험한 날씨에 직원과 죄수들을 보호하기 위해 참사 발생 시 '실내에 머물기' 명령을 3회 활성화하십시오.
objective_grant_disasterRelief	재난 구호
objective_grant_disasterRelief_description	최근의 악천후로 인한 피해로 모든 지역 사업체가 재난 구호 보조금을 받을 수 있게 되었습니다.
objective_grant_disasterRelief_moneySpent	다가올 재난을 극복하기 위해 교도소를 업그레이드하는 데 총 17,500달러를 투자하십시오.
objective_grant_heatwaveGrant	폭염 보조금
objective_grant_heatwaveGrant_description	화재는 모든 시설에 심각한 위협이 될 수 있습니다. 화재 안전에 투자하여 직원과 죄수들의 안전을 보장해야 합니다.
objective_grant_heatwaveGrant_training	화재 안전 프로그램을 통해 직원 10명을 훈련시키십시오.
objective_grant_heatwaveGrant_build	소화기 30개를 배치하십시오.
objective_grant_advancedStaffTraining	고급 직원 훈련
objective_grant_advancedStaffTraining_description	비상시에 교도소를 지원하기 위해서 직원들이 모든 상황에 대비하도록 만드는 것이 가장 좋습니다.
objective_grant_advancedStaffTraining_child	직원 5명이 추위 통제, 해충 방제 또는 전기 기사 훈련을 이수하도록 하십시오.
objective_grant_subsidence	지반 침하 보조금
objective_grant_subsidence_description	정부의 지반 침하 보조금을 사용하여 교도소 내의 벽이나 울타리에 입은 모든 피해를 복구하십시오.
objective_grant_subsidence_hire	수리공을 고용하여 손상된 벽과 울타리를 수리하십시오.
objective_grant_utilityretrofit	공공시설 개조 보조금
objective_grant_utilityretrofit_description	해충이 들끓으면 지역 사업체의 생산량에 심각한 문제를 일으킬 수 있습니다. 지역 사업체들이 그들의 공공시설 공급을 보호할 수 있도록 보조금을 이용할 수 있게 되었습니다.
objective_grant_utilityretrofit_build	보호관 50 타일 설치하십시오.
calamity_grants_onboarding	최근 몇 년간 날씨가 더 변덕스러워졌습니다. 이번에는 운이 좋았지만 교도소는 만일의 사태에 대비해야 합니다. 일부 보조금은 악천후에 지역의 사업체에 제공됩니다. 가능한 경우, 귀하도 혜택을 받을 수 있을 것이라 확신합니다.
grant_category_CollapsedWallFence	무너진 울타리:
grant_category_HasObject	보유:
grant_category_EverHadObject	보유:
grant_category_CalamityHappened	참사 발생:
action_brewing	혼란 조장 중
action_electricalsabotaging	방해 공작 중
job_failed_frozen	극심한 한파 진행 중
action_readbook	책 읽는 중
action_PassiveBookShelf	책 읽는 중
weather_DeepFreeze	극심한 한파
weather_LightningStorm	벼락 폭풍
weather_any	아무 날씨
reformprogram_ElectricianTraining	전기 기사 훈련
reformprogram_ElectricianTraining_text	이 프로그램을 수료함으로써, 직원들은 배선 결함에 대처하는 방법을 배웁니다. 전기와 관련된 모든 위험 요인을 수리할 수 있습니다.
reformprogram_FirstAidTraining	응급처치 훈련
reformprogram_FirstAidTraining_text	이 프로그램을 수료함으로써, 직원들은 응급처치소에서 장비를 갖추고 응급처치를 수행하는 방법을 배웁니다. 응급처치를 통해 경미한 부상을 치료하고 위독한 상태를 안정시킬 수 있습니다.
reform_program_intake_Workers	인부 전용
reform_program_intake_PestControlStaff	청소부, 정원사, 인부용
reformprogram_PestControlTraining	해충 방제 훈련
reformprogram_PestControlTraining_text	이 프로그램을 수료함으로써, 직원들은 해충을 방제하기 위한 덫을 설치하고 포획물을 비우는 방법을 배웁니다. 장치를 준비한 다음 해충을 안전하게 처리하는 방법을 배웁니다.
reform_program_intake_GenericStaff	일반 직원 전용
reformprogram_FireSafetyTraining	화재 안전 훈련
reformprogram_FireSafetyTraining_text	이 프로그램을 수료함으로써, 직원들은 소화기를 안전하게 사용하는 방법을 배우고, 비상시 소화기를 활용해 화재 확산을 완화할 수 있습니다.
reform_program_intake_Janitors	청소부 전용
reformprogram_ColdControlTraining	추위 통제 훈련
reformprogram_ColdControlTraining_text	이 프로그램을 수료함으로써, 직원들은 서리 피해를 입은 지역에 대처하는 방법을 배웁니다. 일부 지역의 얼음을 제거하고 얼어붙은 아이템을 처리할 수 있습니다.
d11_coverage_title	교도소 보장 계획
d11_coverage_design_info	각 계획에는 일일 지급 비용이 들지만, 필요할 때 교도소에서 자동으로 비상 서비스를 호출할 수 있는 기능을 제공하고, 이와 함께 각 계획과 연관된 직원 임금 및 아이템에 대한 할인 혜택을 제공합니다. 할인 혜택은 중첩되지 않습니다.
d11_coverage_plan_service_unavailable	현재 이 계획에서 이용할 수 있는 비상 서비스가 없음
ArsonAccidentsPlan	방화 및 사고 계획
PreservationPlan	교도소 유지 계획
RestorationPlan	교도소 복구 계획
HealthSafetyPlan	건강 및 안전 계획
PestControlPlan	해충 방제 계획
ArsonAccidentsPlan_hint	이 계획은 자동 비상 서비스 요청 외에도 소화기, 경보기 구매 비용과 화재 안전 세션 및 인부 일당에 대한 지불 비용을 낮추는 등 다양한 할인 혜택을 제공합니다.
PreservationPlan_hint	이 계획은 자동 비상 서비스 요청 외에도 모래함 구매 비용과 추위 관리 세션 및 인부의 일당에 대한 지불 비용을 낮추는 다양한 할인 혜택을 제공합니다.
RestorationPlan_hint	이 계획은 자동 비상 서비스 요청 외에도 고강도 케이블 및 철근 보강재 구매 비용과 전기 기사 훈련 세션 및 인부의 일당에 대한 지불 비용을 낮추는 다양한 할인 혜택을 제공합니다.
HealthSafetyPlan_hint	이 계획은 자동 비상 서비스 요청 외에도 응급 처치소 구매 비용과 응급 처치 및 테이저 훈련 세션, 의사 및 의무병의 일당에 대한 지불 비용을 낮추는 다양한 할인 혜택을 제공합니다.
PestControlPlan_hint	이 계획은 자동 비상 서비스 요청 외에도 쥐덫 및 소음 퇴치기 구매 비용과 해충 방제 세션 및 청소부와 정원사의 일당에 대한 지불 비용을 낮추는 다양한 할인 혜택을 제공합니다.
d11_coverage_automatic_emergency_services	자동 비상 서비스
d11_coverage_squads_requested	요청한 분대
d11_coverage_request_condition	요청 상태
d11_coverage_injury_condition	부상 상태
d11_coverage_active_fire_alarms	활성화된 화재 경보기
d11_coverage_firefighters	소방대
d11_coverage_reconstruction_specialists	수리공
d11_coverage_structural_damage	*X개 구조 손상
d11_coverage_injured	*X명 부상
d11_coverage_injured_target	부상 대상
d11_coverage_prisoners_only	죄수 전용
d11_coverage_prisoner_and_staff	죄수 및 직원
d11_coverage_rioting	폭동 중인 죄수 *X명
d11_coverage_calamity_surface	얼어붙은/녹은 도로 타일 *X개
d11_coverage_flooded_area	침수 지역 *X곳
d11_coverage_small_fire	작은 화재
d11_coverage_medium_fire	중화재
d11_coverage_big_fire	큰 화재
d11_coverage_rats	쥐 *X마리
d11_coverage_heat	*X명 더위 먹음
d11_coverage_grand_total	총계
adviser_name_foreman	현장감독
adviser_name_gardener	정원사
adviser_name_Janitor	청소부
need_name_hydration	수분 공급
need_name_staffhydration	수분 공급
needs_help_hydration	더울 때에는 누구나 수분을 섭취해야 합니다. 수분 섭취 욕구를 낮추면 열사병에 걸릴 위험이 줄어들지만 동시에 소변 배출 욕구도 증가합니다. 수감자들이 자유 시간에 수분을 섭취할 수 있도록 교도소 주변에 음수대를 설치해 보십시오.
needs_help_staffhydration	더울 때에는 누구나 수분을 섭취해야 합니다. 수분 섭취 욕구를 낮추면 열사병에 걸릴 위험이 줄어들지만 동시에 소변 배출 욕구도 증가합니다. 직원들은 쉬는 시간에 직원실에 있는 자판기를 사용하여 수분을 섭취할 것입니다.
finances_category_coverageplans	교도소 보장 계획
reports_visitationpolicytitle	면회 정책
reports_visitation_info	면회 시간 조정:
visitation_title	면회 시간
visitation_desc	면회 횟수가 많아질수록 더 높은 욕구 부스트와 부스트 지속 시간을 제공합니다. 면회는 오전 8시부터 오후 8시까지만 가능합니다.
reports_visitation_primaryerror	현재의 시간표는 이 기간에 면회 시간을 허용하지 않습니다.
reports_visitation_secondaryerror	현재의 시간표는 이 기간에 *X의 면회 시간만 허용할 것입니다.
status_effect_heatstroke	열사병
status_effect_calamityflu	독감
codex_new_weathertype	날씨와 강도
codex_tooltip_weathertype	게임 중에는 다양한 날씨 패턴이 발생할 수 있습니다. 더 어려운 게임을 원하는 경우 난이도를 높음, 중간, 또는 낮음으로 선택할 수 있습니다. 날씨를 경험하고 싶다면 레거시를 선택하십시오.
codex_new_startingseason	시작 계절
codex_tooltip_temperature	교도소에 온도를 활성화합니다. 죄수들과 직원들은 이제 따뜻함을 필요로 할 것입니다. 라디에이터를 구입하고 교도소에 외풍이 너무 심하게 들어오지 않게 하십시오.
codex_new_weathertype_legacynormal	레거시
buildtoolbar_StayIndoors	실내에 머물기
buildtoolbar_tooltip_StayIndoors	모든 죄수와 필수적이지 않은 직원이 참사가 발생할 때 가능한 한 안전하게 지낼 수 있도록 실내 활동을 우선시합니다. 이들은 참사가 발생했을 때만 이 명령을 수락할 것입니다.
object_FallenTree	쓰러진 나무
object_FallenTreeBig	쓰러진 나무들
object_roadmaintenancevehicle	유지관리 트럭
interfacecallout_roadmaintenance	도로 유지관리
interface_roadMaintenance_no_grit	유지관리는 12시간마다 한 번만 가능합니다.
event_deep_freeze_vis_sniper_tower	저격수 감시탑에서 시야가 좋지 않다고 보고하고 있습니다. 날씨가 맑아질 때까지 잠재적인 탈옥수를 발견하는 능력이 저하될 것입니다.
event_deep_freeze_vis_outside_guard	순찰 중인 교도관들이 시야 문제를 보고하고 있습니다. 너무 먼 거리에 있는 죄수들은 알아보지 못하는 것 같습니다.
event_lightning_storm_vis_sniper_tower	이런 날씨에는 감시탑에 있는 저격수들의 시야에 문제가 생깁니다. 평소보다 확실히 시야가 좁아집니다.
event_lightning_storm_vis_outside_guard	실외에 있는 교도관들이 모두 날씨 때문에 시야가 좁아졌다고 보고하고 있습니다. 탈옥을 시도하려는 사람이 있는지 예의 주시해야 합니다.
research_NonLethalSniper	비살상 저격수
researchtooltip_NonLethalSniper	저격수가 목표를 사살할 걱정 없이 총기를 사용할 수 있도록 허용하는 새로운 탄약입니다. 발포 허가 명령을 하달 받지 않는 한 죄수들은 저격수의 사격에 의식만 잃을 것입니다.
material_FieldGrass	바닥 잔디
buildtoolbar_popup_mat_FieldGrass	매우 우거진 잔디밭입니다.
material_LaminateFlooringFR	라미네이트 바닥재(내화성)
buildtoolbar_popup_mat_LaminateFlooringFR	내화성 재질의 나무 바닥입니다.
material_CarpetFR	양탄자(내화성)
buildtoolbar_popup_mat_CarpetFR	편안한 양탄자를 설치합니다. 직원용 공간에 딱 맞는 내화성 재질입니다.
object_Shiba	시바견
buildtoolbar_popup_obj_Shiba	닭고기와 치즈 위주의 간식을 좋아하는 어리지만 숙련된 마약 탐지견입니다.
object_BlackSetter	블랙 세터
buildtoolbar_popup_obj_BlackSetter	작은 막대와 탈옥수를 추격합니다.
object_FernBush	양치식물 덤불
buildtoolbar_popup_obj_FernBush	이 덤불은 그늘에서 잘 자랍니다.
object_WillowTree	버드나무
buildtoolbar_popup_obj_WillowTree	이 나무는 수역 옆이나 근사한 정원에 배치하면 매우 보기 좋을 것입니다.
dialog_openSurvey	점검 열람
object_Ivy	담쟁이 덩굴
buildtoolbar_popup_obj_Ivy	나뭇잎이 무성한 장식용 덤불입니다.
buildtoolbar_popup_uts_Radiator	교도소 주변에 설치하면 방이 기분 좋게 따뜻해질 겁니다.
equipment_FirstAidBackpack	응급처치 배낭
object_GritterDriver	제설 차량 운전수
DF_1_advisor	이번 참사를 해결하신 것을 축하합니다. 상황을 잘 해결했기 때문에, 앞으로 5일 동안 관련 보장 계획에 대한 비용이 청구되지 않습니다.
DF_2_advisor	이번 참사를 해결하신 것을 축하합니다. 귀하의 놀라운 관리 능력 덕분에 앞으로 3일 동안 직원이 더 효율적으로 작업할 수 있을 것입니다.
DF_3_advisor	이번 참사를 해결하신 것을 축하합니다. 이제 적어도 10일간은 이런 참사가 되풀이되는 것을 걱정할 필요가 없습니다.
LS_1_advisor	이번 참사를 해결하신 것을 축하합니다. 가까운 시일 내에 보상이 지급될 것입니다.
LS_2_advisor	이번 참사를 해결하신 것을 축하합니다. 이 상황을 잘 해결했기 때문에 앞으로 15일 동안 관련 보장 계획에 대한 비용이 청구되지 않습니다.
LS_3_advisor	이번 참사를 해결하신 것을 축하합니다. 이제 적어도 10일간은 이런 참사가 되풀이되는 것을 걱정할 필요가 없습니다.
HW_1_advisor	이번 참사를 해결하신 것을 축하합니다. 앞으로도 계속 좋은 성과를 낼 수 있도록 10,000달러의 보너스를 받아 주십시오.
HW_2_advisor	이번 참사를 해결하신 것을 축하합니다. 수감자들은 귀하의 관리에 감사하며 앞으로 5일 동안 욕구를 증진시킬 것입니다.
HW_3_advisor	이번 참사를 해결하신 것을 축하합니다. 이제 적어도 20일간은 이런 참사가 되풀이되는 것을 걱정할 필요가 없습니다.
R_1_advisor	이번 참사를 해결하신 것을 축하합니다. 앞으로도 계속 좋은 성과를 낼 수 있도록 10,000달러의 보너스를 받아 주십시오.
R_2_advisor	이번 참사를 해결하신 것을 축하합니다. 수감자들은 귀하의 관리에 감사하며 앞으로 3일 동안 욕구를 증진시킬 것입니다.
R_3_advisor	이번 참사를 해결하신 것을 축하합니다. 귀하의 노고 덕분에 앞으로 5일 동안 수감자에게 긍정적인 영향이 미칠 것입니다.
fallen_tree_advisor	이 나무들은 어디서 온 것일까요? 예상보다 바람이 강하게 불고 있습니다. 배달이 지연되고 있으니 인부 몇 명을 보내서 떨어진 잔해를 치워야 할 것 같습니다.
door_swollen_advisor	더위 때문에 문이 확장되었습니다. 다시 사용하려면 인부들을 불러 문을 식혀야 합니다.
lightning_strike_advisor	낙뢰는 물품과 사람 모두에게 떨어질 위험이 있으므로 폭풍에서 가장 위험한 요소입니다. 피뢰침은 낙뢰의 방향을 어느 정도 바꿀 수 있으므로 교도소와 교도소 안의 사람들을 보호하기 위해 피뢰침을 구매하십시오.
frozen_ground_advisor	바깥의 오솔길에 얼음이 얼고 있습니다. 청소부들이 제대로 훈련만 받았다면 모래를 깔 수 있을 겁니다.
heatwave_fire_advisor	이런 폭염에는 실외에 있는 식물이나 나무 자재에 유의해야 합니다. 화재가 발생하면 즉시 진압해야 합니다.
deep_freeze_frozen_shower_head	샤워기는 매우 쉽게 얼고 이를 방지하기 위해 할 수 있는 조치는 많지 않습니다. 여전히 정상적으로 작동하는 샤워기로도 충분하기를 바랄 뿐입니다.
deep_freeze_frozen_sprinkler	이런 추운 날씨에는 교도소의 살수 장치가 얼어서 인명 피해가 발생할 수도 있습니다. 이러한 시나리오가 발생할 경우 적절한 화재 훈련을 받은 직원을 확보해야 합니다. 형편없는 화재 안전 기록은 교도소의 평판에도 좋은 영향을 미치지 못할 것입니다.
interface_action_EmptyRatTrap	비어 있음
interface_action_CleanPoop	치우기
job_grit	언 길에 모래 뿌리기
dryness_level_1	건조함
dryness_level_2	매우 건조함
dryness_level_3	극도로 건조함
codex_new_ratinfestation	쥐 범람
status_effect_calamitycold	몹시 추움
object_BareTree	나무(벌거숭이)
buildtoolbar_popup_obj_BareTree	이 나무는 눈이 덮인 모든 조경과 잘 어울릴 겁니다.
reform_program_intake_ColdControl	청소부, 정원사, 인부용
reform_program_requirements_general	- 참여자마다 *X 필요
reform_program_requirements_general_alt	- 참여자마다 *X 또는 *Y 필요
weathermap_temperature_range_c	섭씨 *X도~*Y도 범위
weathermap_temperature_range_f	화씨 *X도~*Y도 범위
interfacetopbar_tooltip_orderlies	*X명의 잡역부가 있습니다
