# June27th Update
# =============================================================================

# Codex
# =============================================================================

codex_viewchangelog	Pełny Dziennik Zmian
buildtoolbar_popup_help_securitymenu_1	Menu bezpieczeństwa zawiera listę wszystkich członków więzienia, którzy są albo niebezpiecznymi, albo podatnymi na niebezpieczeństwo więźniami. W tym menu można zastosować pewne działania, aby zapewnić wsparcie i umożliwić lepsze zarządzanie tymi więźniami.\n\n
buildtoolbar_popup_help_securitymenu_2	~Domyślnie niebezpieczni i podatni na niebezpieczeństwo więźniowie są wymienieni razem, ale używając opcji „typ więźnia” możesz zastosować konkretne działanie do określonych grup.\n\n
buildtoolbar_popup_help_securitymenu_3	~Niektóre działania można zastosować do grupy, a inne tylko do wybranych osób. Aby wybrać więźnia, zaznacz go i kliknij lewym przyciskiem myszy.\n\n
buildtoolbar_popup_help_securitymenu_5	- Opcja przypisania strażnika chroni więźniów przed innymi, a jednocześnie pozwala mieć oko na pozostałych więźniów i zapobiec niebezpiecznym sytuacjom. Strażnicy nie będą pozostawać z więźniem w czasie prywatnym, na przykład podczas snu lub kąpieli.
buildtoolbar_popup_help_securitymenu_6	- Jeśli więzień powoduje zbyt wiele problemów i nie można sobie z nim poradzić, zawsze możesz użyć opcji usunięcia więźnia. Działanie to jest ograniczone czasowo, nie można wykonywać go każdego dnia i wiąże się z kosztami.
objectiveWindow_FilterButton_4_title	Informacje o gangach
objectiveWindow_FilterButton_4_tooltip	Wszystko, co musisz wiedzieć o gangach
objective_HelpGangBehaviourAndType	Zachowania gangów
objective_HelpGangBehaviourAndType_Description	Nowe gangi zostały sobie przedstawione. Każdy z nich zachowuje się trochę inaczej.
objective_HelpGangBehaviourAndType_child_1	Żmije
objective_HelpGangBehaviourAndType_child_1_Description	Żmije to przebiegła banda, która skupia się na uzależnianiu innych więźniów od kontrolowanych przez siebie narkotyków. Każdy członek stanowi śmiertelne zagrożenie.
objective_HelpGangBehaviourAndType_child_2	Łamacze kości
objective_HelpGangBehaviourAndType_child_2_Description	Łamacze Kości to banda mięśniaków, którzy w pierwszej kolejności skupiają się na przemocy i destrukcji.
objective_HelpGangBehaviourAndType_child_3	Szakale
objective_HelpGangBehaviourAndType_child_3_Description	Szakale to najbardziej pomysłowy gang, który skupia się na kontroli terenu i sprzedaży kontrabandy, aby zwiększać swoją finansową dominację.
objective_HelpGangActivities	Działania gangów
objective_HelpGangActivities_Description	Działania gangów mogą obejmować zarządzanie własnym terenem, szerokie rozgrywki przeciwko kluczowym członkom więzienia, stawianie żądań graczowi i podobne akcje.
objective_HelpGangActivities_child_1	Wyspecjalizowane działania
objective_HelpGangActivities_child_1_Description	Każdy gang bierze udział w wyspecjalizowanych działaniach w zależności od różnych osobowości. Żmije skupiają się na produkcji i sprzedaży narkotyków, Łamacze Kości na walkach i destrukcji, podczas gdy Szakalom bardziej zależy na zdobywaniu terenu i pieniędzy.
objective_HelpGangActivities_child_2	Działania terenowe
objective_HelpGangActivities_child_2_Description	Nowe tereny wiążą się z nowymi zachowaniami. Gangi od teraz będą „nadzorować” kontrolowane przez siebie obszary, pilnując, aby więźniowie dobrze się zachowywali i płacili za korzystanie ze znajdujących się tam przedmiotów, nawet podczas pracy. Członkowie gangu będą także pozyskiwać duże ilości kontrabandy w zależności od kontrolowanego pomieszczenia. Pojawią się również „dilerzy”, który będą sprzedawać te przedmioty innym więźniom.
objective_HelpGangActivities_child_3	Żądania gangu
objective_HelpGangActivities_child_3_Description	Gdy gang zyska odpowiednią reputację i poklask w więzieniu, zacznie stawiać pewne żądania. Żądania te mogą obejmować nowy sprzęt, więcej czasu na dziedzińcu lub więcej czasu wolnego. Gracz ma określony czas na spełnienie tych żądań. Jeśli ich nie spełni, zaczną się natychmiastowe działania odwetowe, a gang zacznie niszczyć więzienie i stosować przemoc.
objective_HelpCrookedGuards	Skorumpowani strażnicy
objective_HelpCrookedGuards_Description	Chcielibyśmy myśleć, że nasz personel jest bez skazy, ale niestety nie zawsze tak jest.
objective_HelpCrookedGuards_child_1	Łapówkarstwo strażników
objective_HelpCrookedGuards_child_1_Description	Zwykli strażnicy mogą zostać przekupieni, aby przymykać oko na pewne wykroczenia przez 48 godzin, pozostawiając więźniów z kontrabandą, którą znajdą, a także ułatwiając gangom zdobywanie nowego terenu. Na szczęście dzięki informatorom można wskazać podejrzanych strażników, dając graczowi szansę na zwolnienie tych, którzy zostali skorumpowani.
objective_HelpCrookedGuards_child_2	Korupcja strażników
objective_HelpCrookedGuards_child_2_Description	Niektórzy strażnicy mogą ulec korupcji, przebywając przez zbyt długi czas z członkami gangu, którzy zapłacą im za szmuglowanie kontrabandy. Informatorzy mogą wskazać podejrzanych strażników, a wykrywacze kontrabandy i psy strażnicze odnajdą kontrabandę, która wciąż pozostaje w więzieniu.
objective_HelpGangIntelligence	Informacje na temat gangów
objective_HelpGangIntelligence_Description	Biorąc pod uwagę ogromny potencjał do złego zachowania, informacje mają kluczowe znaczenie dla bezpieczeństwa twojej placówki. Menu z informacjami na temat gangów zawiera dane o każdym gangu w więzieniu i obejmuje listę członków każdego z nich, jak również podstawowe liczniki złych zachowań, do których doszło podczas pobytu w więzieniu. Pokazuje także ruchy i działania każdego gangu, aby odzwierciedlić poziom zagrożenia.
objective_HelpSecurityOptions	Opcje bezpieczeństwa
objective_HelpSecurityOptions_Description	W nowym menu zostanie uwzględniona lista „ważnych więźniów”. Wszyscy wpisani tam więźniowie zostaną uznani za zagrożonych przez innych lub za zagrożenie wobec innych. Dzięki temu menu więźniowie, którzy potrzebują dodatkowej uwagi, mogą zostać oznaczeni, aby z łatwością obserwować ich podczas rozgrywki. Możliwe są również inne działania, takie jak ograniczenie dostępu więźnia do określonych obszarów, przenoszenie grup do określonych poziomów bezpieczeństwa, a nawet usuwanie problematycznych więźniów, wysyłając ich do innej placówki. Działanie takie wiąże się jednak z wysoką opłatą.
objective_HelpPrograms_Description	Aby zabezpieczyć i wspierać więźniów, strażnicy mogą przejść nowe szkolenie, które umożliwi im łatwe rozbrojenie więźniów. Więźniowie także będą mieli do dyspozycji nowe programy, w tym rekreacyjne, które pomogą w resocjalizacji, uspokoją ich lub pomogą w walce ze stresem. Programy resocjalizacyjne umożliwią więźniom zrezygnowanie z życia w gangu i dokończenie wyroku w spokojniejszy i bardziej konstruktywny sposób.
objective_grant_positiveEnergyGrant	Pozytywna energia
objective_grant_positiveEnergyGrant_Description	Członkowie gangu muszą skupić umysł (i energię) na ćwiczeniach, a nie na przemocy. Badania wykazały, że wysiłek fizyczny zmniejsza tego typu zachowania. Wystaw na dziedzińcu sprzęt do ćwiczeń.
objective_grant_positiveEnergyGrant_bench	Dodaj ławkę do podnoszenia ciężarów
objective_grant_advancedProtectionGrant	Zaawansowana ochrona
objective_grant_advancedProtectionGrant_Description	Ochrona personelu ma kluczowe znaczenie podczas pracy ze zorganizowanymi gangami. Musimy upewnić się, że nasz personel jest przeszkolony na najwyższym poziomie, aby zapewnić pracownikom bezpieczeństwo.
objective_grant_advancedProtectionGrant_training	Przeszkol 20 strażników w zakresie rozbrajania.
objective_grant_gangWelfareGrant	Dobrobyt gangów
objective_grant_gangWelfareGrant_Description	Przemiana wojny gangów w sielankę gangów to główny priorytet. Członkowie gangu mają dużą szansę na resocjalizację, jeśli wezmą udział w programach, które pomogą im zerwać ze starym życiem.
objective_grant_gangWelfareGrant_exGangMembers	Zresocjalizuj 15 członków gangu, aby stali się byłymi członkami gangu.
objective_grant_exGangProtectionGrant	Program ochrony byłych członków gangu
objective_grant_exGangProtectionGrant_Description	Rząd oferuje fundusze na budowę skrzydła ochronnego, aby chronić członków gangu, którzy są na dobrej drodze do resocjalizacji.
objective_grant_protectionCells	Zbuduj 10 cel w strefie chronionej
objective_grant_protectionShower	Zbuduj łazienkę w strefie chronionej
objective_grant_protectionCanteen	Zbuduj stołówkę w strefie chronionej
objective_grant_protectionKitchen	Zbuduj kuchnię w strefie chronionej
objective_grant_protectionYard	Zbuduj dziedziniec w strefie chronionej
objective_grant_protectionGuards	Przypisz strażnika do strefy chronionej
objective_grant_protectionExGang	Przypisz 1 byłego członka gangu do poziomu bezpieczeństwa Ochrona
grant_category_adminHired	Zatrudniony administrator:
reformprogram_TattooRemovalProgram	Program usuwania tatuaży
reformprogram_TattooRemovalProgram_text	Jeśli twoi więźniowie żałują posiadanych tatuaży, możesz ułatwić ich resocjalizację dzięki sesjom usuwania tatuaży. Ukończenie tego programu sprawi, że staną się celem.
reformprogram_HandToHandCombat	Szkolenie z rozbrajania
reformprogram_HandToHandCombat_text	Gdy robi się ciężko, my ciężko pracujemy. Przeszkol strażników w zakresie zaawansowanych technik rozbrajania więźniów.
reformprogram_GangRehabilitation	Resocjalizacja członka gangu
reformprogram_GangRehabilitation_text	Jeśli członek gangu powoduje zbyt wiele problemów w więzieniu, nakłoń go do ukończenia tego programu. To pierwszy krok na drodze do zerwania z gangiem i przejścia na jasną stronę mocy. Ukończenie tego programu sprawi, że więzień stanie się celem. Podstawa do skierowania: przemoc i destrukcja.
reform_program_intake_ReferralGangViolenceDestruction	Podstawa do skierowania: przemoc i destrukcja. Tylko gangi.
reform_program_intake_GangOnly	Tylko gangi
reformprogram_FaithProgram	Program wiary w siebie
reformprogram_FaithProgram_text	Więźniowie uczestniczący w tym intensywnym programie będą bardziej chętni do pożegnania się ze złym stylem życia i przyjęciem nowej drogi. Jeśli ukończą ten program, mogą zechcieć zerwać wszelkie kontakty z gangiem.
reformprogram_BreatheProgram	Terapia oddechowa
reformprogram_BreatheProgram_text	Naucz więźniów, jak oddychać i się relaksować. Po każdych zajęciach więźniowie będą dużo spokojniejsi. Mogą nawet rozważyć lepsze zachowanie.
reformprogram_FightClub	Klub walki
reformprogram_FightClub_text	Te sesje treningowe mają na celu przekierowanie destrukcyjnej energii więźniów na walkę w kontrolowanym środowisku. Po walce więźniowie mogą być zmęczeni. Jak brzmiała pierwsza zasada tajnego klubu walki?
reform_program_properties_TeacherUsesSameEquipment	Nauczyciel wymaga: *X
reform_program_properties_GangMemberCanAttend	Mogą uczestniczyć członkowie gangu
gang_vipers	Żmije
gang_bonebreakers	Łamacze kości
gang_jackals	Szakale
gang_red	Czerwony
gang_blue	Niebieski
gang_yellow	Byli członkowie gangu
objective_GangDemand	Żądania gangu
objective_GangDemand_description	Ośmieleni liderzy gangu będą stawiać różne żądania, aby poprawić swoją jakość życia w więzieniu. Jeśli nie spełnisz żądań, może dojść do buntu. Upewnij się, że jeśli tak się stanie, twoje więzienie jest na to gotowe.
GangDemand_announcement	Jeśli nie spełnimy żądań członków gangu, mogą przysporzyć wiele problemów.
objective_Gang_ContrabandToolsPunishment_child	*G – Skróć karę za odnalezienie narzędzia do *X godz.
objective_Gang_ContrabandToolsPunishment_Escalated_child	*G – Zmniejsz karę za odnalezienie narzędzia do braku kary
objective_Gang_MurderPunishment_child	*G – Skróć karę za morderstwo do *X godz.
objective_Gang_MurderPunishment_Escalated_child	*G – Skróć karę za morderstwo do *X godz.
objective_Gang_MoreYardTime_child	*G – Wydłuż czas na dziedzińcu do *X godz.
objective_Gang_MoreYardTime_Escalated_child	*G – Wydłuż czas na dziedzińcu do *X godz.
objective_Gang_PullUpBars_child	*G – Posiadaj *X szt. drążków do podciągania.
objective_Gang_PullUpBars_Escalated_child	*G – Posiadaj *X szt. drążków do podciągania.
objective_Gang_TyreApparatus_child	*G – Posiadaj *X szt. narzędzi do opon.
objective_Gang_TyreApparatus_Escalated_child	*G – Posiadaj *X szt. narzędzi do opon.
objective_Gang_PunchBag_child	*G – Posiadaj *X szt. worków treningowych.
objective_Gang_PunchBag_Escalated_child	*G – Posiadaj *X szt. worków treningowych.
objective_Gang_PushUpStones_child	*G – Posiadaj *X szt. kamieni do pompek.
objective_Gang_PushUpStones_Escalated_child	*G – Posiadaj *X szt. kamieni do pompek.
objective_Gang_RequireYard_child	*G – Posiadaj: *X.
objective_Gang_RequireYard_Escalated_child	*G – Posiadaj: *X.
objective_Gang_RequireLibrary_child	*G – Posiadaj: *X.
objective_Gang_RequireLibrary_Escalated_child	*G – Posiadaj: *X.
objective_Gang_RequireMailRoom_child	*G – Posiadaj: *X.
objective_Gang_RequireMailRoom_Escalated_child	*G – Posiadaj: *X.
d11_gangdemand_success	Otrzymaliśmy pieniądze za poradzenie sobie z tą sytuacją.
d11_gangdemand_fail	Upewnij się, że ta sytuacja więcej się nie powtórzy.
d11_gangCompensation	Wynagrodzenie gangu
d11_gang_goal	Cel gangu:
d11_gang_jackals_goal	Kontrola więzienia
d11_gang_traits	Cechy gangu:
d11_gang_officer	Oficerowie gangu:
d11_gang_territories	Tereny:
d11_gang_kills	Zabójstwa gangu:
d11_heatmap_gang	Zaangażowany gang:
d11_heatmap_day	Dzień zajścia:
d11_heatmap_time	Czas zajścia:
d11_gang_event_pr.gf	Bójka gangu
d11_gang_event_g.tc	Zmiana terenu
gangSegregationMessage	Wybierz, które gangi zazwyczaj mogą wchodzić do określonych obszarów.
interfacedeployment_GangSegregation	Segregacja gangu
buildtoolbar_deployment_GangSegregation	Aby zapewnić pewien poziom kontroli nad rozmieszczeniem gangów, można je przypisać do innych przestrzeni życiowych, przez co będą od siebie oddzielone.
research_StaffVetting	Sprawdzanie personelu
researchtooltip_StaffVetting	Zmniejsza ryzyko skorumpowania nowych strażników. Odblokowuje dochodzenie w sprawie strażników, dzięki któremu możesz odkryć skorumpowanych strażników przy pomocy informatorów.
buildtoolbar_GuardInvestigation	Dochodzenie w sprawie strażnika
buildtoolbar_tooltip_GuardInvestigation	Współpracuj z informatorami i szefem ochrony, aby sprawdzić strażników i wywęszyć korupcję. Im większy zasięg mają twoi aktywni informatorzy, tym więcej skorumpowanych strażników ujawnią. Szef nie może prowadzić programu lub egzekucji.
buildtoolbar_CI_requirement	Co najmniej jeden informator
guardinvestigation_underway	TRWA DOCHODZENIE W SPRAWIE STRAŻNIKA
guardinvestigation_investigated	Sprawdzono *A/*B strażników
informant_investigating	Dochodzenie
crookedguard_fired_reward	Zwolniono skorumpowanego strażnika
crookedguard_advisor_onboarding	Odkryliśmy skorumpowanego strażnika, który współpracuje z gangiem. Jest zaznaczony w karcie personelu w dziale raportów. Pamiętaj, aby go zwolnić.
buildtoolbar_popup_staff_doghandler	Przewodnicy i ich psy mogą wykryć kontrabandę, przechodząc obok więźniów.
buildtoolbar_popup_staff_kimber_doghandler	Przewodnicy i ich psy mogą wykryć kontrabandę u więźniów i skorumpowanych strażników, przechodząc obok nich.
d11_prisoner_replacement	Przeniesienie więźnia
d11_prisoner_replacement_tooltip	Wartość populacji więźniów zostanie uzupełniona do żądanej liczby z zachowaniem takiego samego współczynnika poziomów bezpieczeństwa, jeśli będzie to możliwe. Wszelkie nadwyżki więźniów będą podlegały systemowi standardowemu
job_cleanupobject	Wyczyść *X
interfacetopbar_tension_angrygangmembersgraffiti	+ *X CZŁONKÓW GANGU JEST WŚCIEKŁYCH (usunięto graffiti)
interfacetopbar_tension_angrygangmembersleadercell	+ *X CZŁONKÓW GANGU JEST WŚCIEKŁYCH (szef przeniesiony do gorszej celi)
research_CCTVImprovement	Ulepszenie monitoringu
researchtooltip_CCTVImprovement	Popraw wykorzystanie sprzętu do monitoringu. Umożliwia obserwowanie zakresów monitoringu oraz źle zachowujących się więźniów w ich polu widzenia.
d11_cctv_cone	Zakres monitoringu
d11_toggle_cctv_cone_detail	Przełącz zakresy kamer monitoringu
d11_left_click_to_clean	Kliknij lewym przyciskiem myszy, aby posprzątać
d11_gang_graffiti_message	Gangi oznaczają swój teren, przez co zacieklej go bronią. Gdy to bezpieczne, wyślij woźnego, aby poradził sobie z tym bałaganem. Gangi nie będą zadowolone z usunięcia ich „dzieł sztuki” – mogą się zemścić.
d11_gangBulkIntake_advisor_onboarding	Komisja więzienia przenosi problematycznych więźniów do innych placówek posiadających bardziej kompetentny zarząd. Ufam, że z łatwością poradzisz sobie z nowym nabytkiem. Teraz przegląd więźniów jest przeprowadzany raz w tygodniu.
d11_gangBulkIntake_staffAlert	Nadjeżdża autobus z członkiem gangu
d11_gangdealer_advisor_onboarding	Na terytorium gangu zidentyfikowaliśmy dilera. Skonfiskowano od niego dużą sumę pieniędzy.
d11_CI_advisor_onboarding	Współpracuj ze swoimi informatorami, aby odkryć skorumpowanych strażników. Zostaną wysłani do biura szefa, aby podzielić się posiadanymi informacjami. Pamiętaj, aby zrekrutować informatorów. Sprawdź ikonę (?) w menu wywiadu, aby uzyskać więcej informacji.
d11_LeaderAssassination_advisor_onboarding	Gangi stają się zbyt agresywne i planują zabójstwo szefa przeciwnego gangu. Jeśli im się uda, będzie to miało wpływ na zajmowany przez nie teren.
d11_GangTargetting_advisor_onboarding	Członkowie gangu gromadzą się razem, ponieważ mają wspólne zainteresowania, a czasem nie lubią określonych wykroczeń i będą się starali namierzyć osoby, które je popełniły.
d11_staffalert_title_making_move	Gang zamierza coś zrobić.
d11_staffalert_summary_making_move	Mamy informacje, że gang zamierza coś zrobić.
d11_staffalert_summary_gangdealer	Odkryto dilera. Otrzymujesz 500 $.
d11_staffalert_summary_TerritoryPlacement	To pomieszczenie zostało zajęte przez gang i jest zbyt niebezpieczne dla pracowników. Wyrzuć więźniów z pomieszczenia.
crisisSector_CustomSearchArea	Niestandardowy obszar przeszukiwania
crisisSector_ScheduleSearch	Niestandardowy harmonogram
schedulesearch_menu_TargettedArea	Docelowy obszar
schedulesearch_menu_StartTime	Czas rozpoczęcia
schedulesearch_menu_ExistingSchedule	Istniejący harmonogram
schedulesearch_menu_CurrentTime	Bieżący czas
schedulesearch_menu_CurrentFrequency	Bieżąca częstotliwość
crisisSector_UnlockedOnly	Tylko odblokowane
schedulesearch_menu_SaveSelection	Zapisz wybór
reputation_Recruiter	Rekruter
reputationtooltip_Recruiter	Ten więzień, jeśli jest członkiem gangu, będzie próbował zrekrutować innych więźniów do gangu.
reputation_Resourceful	Zaradny
reputationtooltip_Resourceful	Ten więzień większość czasu będzie spędzał nad książkami. Będzie też wiedział, gdzie znajduje się kontrabanda, którą być może przechwyci dla swojego gangu.
reputation_ExGangMember	Były członek gangu
reputationtooltip_ExGangMember	Ten więzień zdecydował, że życie w gangu nie jest dla niego. Niestety gang nie jest z tego zadowolony.
reputation_CunninglyBrutal	Niezwykle brutalny
reputationtooltip_CunninglyBrutal	Żmije będą atakować cele w martwych punktach ochrony.
reputation_SneakThief	Przebiegły złodziej
reputationtooltip_SneakThief	Wszystkie Szakale mają umiejętność kradzieży kieszonkowej niezależnie od reputacji.
reputation_BattleTendency	Tendencja do walki
reputationtooltip_BattleTendency	Jeśli w skrzydle więzienia Szakale będą liczniejsi niż strażnicy, ci więźniowie będą bardziej agresywni w stosunku do pracującego tam personelu.
reputation_DisrepectSurroundings	Wandal
reputationtooltip_DisrepectSurroundings	Łamacze Kości będą niszczyć przedmioty, jeśli ich żądania nie zostaną spełnione.
reputation_UnderCoverDon	Cichociemny
reputationtooltip_UnderCoverDon	Szef Żmij będzie udawał zwykłego żołnierza. Ujawni się dopiero po ukaraniu.
reputation_Enforcer	Egzekutor
reputationtooltip_Enforcer	Ten więzień będzie zastraszał innych więźniów, chyba że należą do tego samego gangu. Jest też dobry w zajmowaniu terenów dla gangu.
reputation_GymRat	Miłośnik siłowni
reputationtooltip_GymRat	Łamacze Kości spędzają wolny czas na siłowni lub na dziedzińcu.
reputation_Loyal	Lojalny
reputationtooltip_Loyal	Ten więzień raczej zostanie w gangu i zdenerwuje się, jeśli szef gangu zostanie ukarany.
traits_violent	Agresywny
traits_lethal	Śmiertelny
finance_cost_gangdealer	Odkryto dilera gangu
object_PrisonerLetter	List więźnia
object_LoveLetter	List miłosny
object_LoveLetterOpened	List miłosny (otwarty)
interface_prisonerWritingLetter	Pisze do ukochanej osoby
interface_prisonerWritingLoveLetter	Pisze do WYJĄTKOWEJ osoby
warden_wardengangsjlocks_name	Kapitan J. Locks
warden_wardengangsjlocks_desc	Personel pod rozkazami Locks jest w stanie przekroczyć swoje ograniczenia, a więźniowie stają się modelowymi osadzonymi. \n\n- +30% do wytrzymałości personelu (wymaga 10% więcej odpoczynku). \n- -10% do szansy na ponowne popełnienie przestępstwa przez więźnia.
warden_wardengangsjlocks_desc_short	- Personel ma wyższą wytrzymałość.\n- Więźniowie o 10% rzadziej ponownie popełniają przestępstwa.
warden_wardengangscook_name	Dylan Cook
warden_wardengangscook_desc	Ten dżentelmen przegada każdego i wynegocjuje najlepsze ceny dla twojego więzienia. Lepiej uwierz, że w supermarketach korzysta z kuponów! \n\n- Koszty żywności obniżone o 25%. \n- Programy wymagające zewnętrznych nauczycieli kosztują o 20% mniej.
warden_wardengangscook_desc_short	- Koszty żywności obniżone o 25%.\n- Programy wymagające zewnętrznych nauczycieli kosztują o 20% mniej.
rapsheet_manualCellSwap_hint	Zapewnij temu więźniowi zwiększenie / zmniejszenie jakości celi, przenosząc go do nowej dostępnej celi lub ręcznie wybierając, do której celi powinien zostać przeniesiony.
rapsheet_cellUpgrade	Zwiększ jakość celi
rapsheet_cellDowngrade	Obniż jakość celi
rapsheet_cellChoice	Wybierz nową celę
rapsheet_ChangeCell	Zmień celę
ChangeCellUpgradeSuccessful	Udało się przenieść do lepszej celi: *X.
ChangeCellDowngradeSuccessful	Udało się przenieść do gorszej celi: *X.
ChangeCellNoAvailableRooms	Brak wolnych pomieszczeń, do których można przenieść: *X. Czy chcesz użyć niestandardowego menu zamiany pomieszczeń?
ChangeCellDowngradingGangLeader	Zamierzasz przenieść przywódcę gangu do celi o niższym standardzie. To zdenerwuje gang i może być powodem problemów w więzieniu.
freeCell_movePrisoner	Kliknij prawym przyciskiem myszy, aby przenieść więźnia do tej celi.
occupiedCell_movePrisoner	Kliknij prawym przyciskiem, aby zamienić więźnia z osobą zajmującą tę celę.
occupiedCell_selectablePrisoner	Kliknij prawym przyciskiem, aby zaznaczyć tego więźnia i wybrać, gdzie chcesz go przenieść.
mutator_name_NoMinRoomSize	Brak rozmiaru pomieszczenia
mutator_tooltip_NoMinRoomSize	Koniec z wymaganiami dotyczącymi rozmiaru pomieszczenia! Nadal jednak musisz uwzględnić potrzebne przedmioty.
action_GangBusiness	Sprawa gangu
action_GangRecruitment	Rekrutacja do gangu
action_GangPromotion	Awans w gangu
action_ActionHerb	Ubijanie
action_LoadBaby	Noszenie dziecka
action_WarmUp	Rozgrzewka
action_ListenToRadio	Słuchanie radia
action_GetSnack	Weź przekąskę
action_Drink	Weź napój
action_DoPullUps	Pompki
action_KneeRaises	Podciąganie
action_PushUps	Pompki
reform_program_properties_RequiresAllStudentsPresent	Wymaga obecności wszystkich uczestników
d11_tableClaim_title	Kontrolowany przez *G
d11_tableClaim_desc	Aby usunąć ich ze stolików, przenieś je lub zdemontuj.
d11_tableClaim_desc_cont	Pamiętaj, że działanie to ich rozwścieczy.
schedulesearch_menu_ClearSchedule	Wyczyść harmonogram

ageCategory_Young	Młodość
ageCategory_Senior	Dojrzałość
ageCategory_Elderly	Starość
causeofdeath_naturalcauses	Śmierć naturalna
codex_option_prisonerAging	Starzenie się więźniów
codex_tooltip_prisonerAging	Po włączeniu tej opcji wraz z upływem lat więźniowie zaczną się fizycznie starzeć, będą się stawać coraz mniej energiczni i słabsi w porównaniu do czasów swojej młodości.
interfacemode_electricity	Elektryczne
interfacemode_water	Woda
interfacemode_connections	Instalacja elektryczna
interface_rectangle_cost	Koszt
interface_rectangle_width	Szerokość
interface_rectangle_height	Wysokość
scheduler_prisonerandstaff	Więźniowie i personel
codex_option_plotGridCoords_title	Siatka / Współrzędne
codex_plotGrid	Nakładka siatki
codex_plotCoords	Współrzędne
codex_plotGridAndCoords	Oba włączone
interfaceplanning_fence	Ogrodzenia
mutator_name_DailyHearse	Przynieście zmarłych!
mutator_tooltip_DailyHearse	Karawany będą teraz przyjeżdżać codziennie o 20:00, w przypadku odprawienia powrócą następnego dnia.
security_menu_default	Wybierz kategorię
regime_eatLockdown	Posiłek/Do celi
regime_showerLockdown	Prysznic/Do celi
regimetooltip_eatLockdown	Więźniowie muszą przejść do przypisanej stołówki, aby zjeść lub użyć innego jej wyposażenia. Po skończonym posiłku więźniowie muszą pozostać w swoich celach, tak jak podczas stanu Do celi.
regimetooltip_showerLockdown	Więźniowie idą pod prysznic, żeby się porządnie umyć i przebrać w czysty kombinezon, o ile jest dostępny. Po umyciu się więźniowie muszą pozostać w swoich celach, tak jak podczas stanu Do celi.
rooms_AllRooms	Wszystkie pomieszczenia
object_searchlight	Automatyczny szperacz
buildtoolbar_popup_obj_searchlight	Ruchomy reflektor, który funkcjonuje nocą. Pomaga znaleźć w ciemności więźniów, którzy się źle zachowują.
material_DarkWoodFloor	Posadzka z ciemnego drewna
buildtoolbar_popup_mat_DarkWoodFloor	Podłoga z litego drewna, idealnie nadaje się do biura.
buildtoolbar_popup_obj_BarbedWire	Kolczaste akcesorium, dzięki któremu mury wyglądają groźniej i bezpieczniej.
object_SofaChairDoubleBrown	Szeroka kanapa (brązowa)
buildtoolbar_popup_obj_SofaChairDoubleBrown	Duża, miękka konstrukcja, na której można komfortowo usiąść. Dla dwóch osób.
interface_action_rank	Stopień
rank_title	Stopnie
rank_subtitle	Zmień stopień na:
rank_senior	Starszy strażnik
rank_officer	Oficer
rank_specialist	Specjalista
rank_popup_text_1	Starsi strażnicy, oficerowie i specjaliści będą silniejsi i trudniej będzie ich zabić. W miarę możliwości będą jednak preferować spokojniejsze części więzienia.\n\n
rank_popup_text_2	Wszyscy strażnicy muszą ukończyć szkolenie z obsługi paralizatora, aby rozpocząć proces awansu. oficerowie będą musieli mieć co najmniej 10 dni stażu w więzieniu, a specjaliści 20.\nNie każdy może zostać aresztowany, tylko 4 na 10 starszych strażników może zostać oficerami, a tylko 1 na 3 oficerów może się stać specjalistami.
finance_cost_gun	Wyposażenie: Broń
buildtoolbar_popup_room_laundry	Woźni i więźniowie przypisani do pracy w pralni będą tu przynosić brudne kombinezony, czyścić je, prasować i rozdawać.
buildtoolbar_popup_room_visitation	Miejsce, w którym więźniowie mogą się spotykać z rodzinami. Uwaga: rodziny mogą wykorzystać odwiedziny do przemycenia kontrabandy do więzienia.
buildtoolbar_popup_room_cleaningcupboard	Przechowuje środki czyszczące. Schowek na produkty czyszczące jest potrzebny do przydzielenia więźniów do prac związanych ze sprzątaniem.
buildtoolbar_popup_room_armoury	Uzbrojeni strażnicy będą przebywać w tym pomieszczeniu po służbie. Przechowuje się tutaj całą broń balistyczną.
buildtoolbar_popup_room_forestry	Miejsce, w którym uprawiane są drzewa. Drzew można użyć do tworzenia produktów sprzedawanych w warsztacie.
buildtoolbar_popup_room_classroom	Obiekt edukacyjny, w którym więźniowie mogą uczestniczyć w edukacyjnych programach resocjalizacyjnych.
buildtoolbar_popup_room_exports	Wszelkie towary wytworzone przez robotników lub więźniów będą tu gromadzone.
buildtoolbar_popup_room_mailroom	Pozwala więźniom otrzymywać pocztę. Dział pocztowy również jest obsługiwany przez więźniów.
buildtoolbar_popup_room_psychiatristoffice	Obszar, w którym twój psychiatra będzie diagnozować chorych psychicznie przestępców. Odblokuj i umieść dodatkowe przedmioty w gabinecie psychiatrycznym, aby poprawić skuteczność terapii psychicznie chorych więźniów. Przedmioty są odblokowywane poprzez udział chorych psychicznie przestępców w konsultacjach psychiatrycznych.
d11_logging_caption	Włącz dziennik więzienia
d11_logging_caption_tooltip	Aktualizowany dziennik ważnych wydarzeń, które miały miejsce w więzieniu: od śmierci i złego zachowania po zwolnienie więźniów.
d11_logging_header	Dziennik więzienia
d11_logging_murder	[*T] *X – zabito: *Y
d11_logging_murder_weapon	[*T] *X – zabito: *Y, za pomocą: *Z
d11_logging_envriomentalDeath	[*T] *X: *Y
d11_logging_gangTeritory	[*T] *X – zajęto nowe terytorium
d11_logging_joinGang	[*T] *X – dołączono do: *Y
