# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog									Full Changelog

material_FieldGrass    				Field Grass
buildtoolbar_popup_mat_FieldGrass		An overgrown patch of grass.

material_LaminateFlooringFR			Laminate Flooring (Fire Resistant)
buildtoolbar_popup_mat_LaminateFlooringFR	A wooden floor with fire resistant properties.

material_CarpetFR				Carpet (Fire Resistant)
buildtoolbar_popup_mat_CarpetFR			Lay comfy carpet down. Perfect for staff areas. It also has fire resistant properties.

object_Shiba						Doge
buildtoolbar_popup_obj_Shiba		Young but experienced sniffer dog partial to chicken and cheese based treats.

object_BlackSetter					Dodge 
buildtoolbar_popup_obj_BlackSetter	Chaser of Tiny Sticks and Escapees.

object_FernBush					Fern Bush	
buildtoolbar_popup_obj_FernBush			This bush loves to grow in the shade.

object_WillowTree					Willow Tree	
buildtoolbar_popup_obj_WillowTree			This tree would look great next to a body of water or being part of an elegant garden.

survey_letter_1						Dear Warden,\n\n\nThank you for your participation in testing the Prison's new features and systems.\n\nAs CEO, It is my responsibility to gather feedback from all Wardens to further improve the experience.\n\nI'd appreciate it if you could take a few minutes to fill out the survey I have created for you.\n\nThe CEO,\nPrison Architects Corp.
survey_letter_2						Dear Warden,\n\n\nThank you once again for your continued participation in testing the Prison's new features and systems. \n\nWith more time committed to testing the new features and systems, I'd appreciate your updated feedback in this survey.\n\nThe CEO,\nPrison Architects Corp.
dialog_openSurvey					Open Survey
object_Ivy							Ivy	
buildtoolbar_popup_obj_Ivy			A decorative bush with dense foliage.

buildtoolbar_popup_uts_Radiator		Place them around your prison, rooms will be nice and toasty.

# ====================================
# OTHERS
# ======================================
equipment_FirstAidBackpack	First Aid Backpack 

object_GritterDriver		Gritter Driver

DF_1_advisor				Congratulations on handling this calamity. Due to how well you handled this situation you will not be charged for the associated coverage plan for the next 5 days.
DF_2_advisor				Congratulations on handling this calamity. Due to your incredible managing skills your staff will work more efficiently for the next 3 days.
DF_3_advisor				Congratulations on handling this calamity. You now won't have to worry about this calmity recurring in at least 10 days.

LS_1_advisor				Congratulations on handling this calamity. You can expect a reward in the near future.
LS_2_advisor				Congratulations on handling this calamity. Due to how well you handled this situation you will not be charged for the associated coverage plan for the next 15 days.
LS_3_advisor				Congratulations on handling this calamity. Now you won't have to worry about this calamity recurring for at least 10 days.

HW_1_advisor				Congratulations on handling this calamity. Please accept this bonus of $10,000, to keep up the good work.
HW_2_advisor				Congratulations on handling this calamity. Your prisoners are thankful for your care and will have their needs boosted for the next 5 days.	
HW_3_advisor				Congratulations on handling this calamity. Now you won't have to worry about this calamity recurring for at least 20 days.

R_1_advisor				Congratulations on handling this calamity. Please accept this bonus of $10,000, to keep up the good work.
R_2_advisor				Congratulations on handling this calamity, your prisoners are thankful for your care and will have their needs boosted for the next 3 days.
R_3_advisor				Congratulations on handling this calamity, due to your hard work a positive effect will be applied to your prisoners for the next 5 days.


fallen_tree_advisor			Where did these trees come from? The winds must be stronger than we thought. Deliveries are slow to get through, perhaps we should send some workers over to remove the fallen debris.

door_swollen_advisor		This heat has made the doors expand. We must get the workers to cool them down if we are to be able to use them.
lightning_strike_advisor	The most dangerous thing about a storm is the lightning, with both objects and people at danger of being struck. Lightning rods will be able to redirect lightning to a degree so make sure you purchase some to help protect your prison and its people.
frozen_ground_advisor		It's getting pretty icy on the footpaths outside, janitors should be able to lay grit down when properly trained.
heatwave_fire_advisor		With this heatwave we have to be careful with any plants or wood materials laying outside. If any fire breaks out we must contain it immediately.
deep_freeze_frozen_shower_head		Shower heads freeze very easily and there's not much we can do to stop it from happening. Hopefully the showers that are still in good working order will suffice.	
deep_freeze_frozen_sprinkler		In such cold conditions the prison's sprinklers may freeze, putting lives at risk. Make sure you have personnel with adequate fire training in the event of such a scenario. A poor Fire Safety record won't do the prison's reputation any favours.

interface_action_EmptyRatTrap	Empty
interface_action_CleanPoop		Cleanup


job_grit                          Grit Frozen Path		

dryness_level_1				Dry
dryness_level_2				Very Dry
dryness_level_3				Extremely Dry 

codex_new_ratinfestation			Rat Infestation
status_effect_calamitycold			Frigid

object_BareTree					Tree (Bare)	
buildtoolbar_popup_obj_BareTree			This tree would be a good addition to any snowy landscape.

reform_program_intake_ColdControl		For Janitors, Gardeners, and Workers

reform_program_requirements_general		- Each participant requires a *X
reform_program_requirements_general_alt	- Each participant requires a *X or a *Y

weathermap_temperature_range_c 		Ranging from *X°C to *Y°C
weathermap_temperature_range_f 		Ranging from *X°F to *Y°F

# ====================================
# ====================================
# ----------------------------------- POLLY BATCH 2 -----------------
# ====================================
# ====================================

# Missing orderly deployment strings
interfacetopbar_tooltip_orderlies			There are *X Orderlies
interfacetopbar_tooltip_orderly				How many orderlies you have available for work in your prison.

object_DoubleStaffDoorBlue 					Double Staff Door (Blue)
buildtoolbar_popup_obj_DoubleStaffDoorBlue				A double door usable by staff.

object_DoubleStaffDoorOrange							Double Staff Door (Orange)
buildtoolbar_popup_obj_DoubleStaffDoorOrange			A double door usable by staff.

d11_staffalert_summary_CalamityHeatwave01		Is it getting hot in here? Make sure your prisoners and plants get enough water
d11_staffalert_title_CalamityHeatwave01			Heatwave
d11_staffalert_details_CalamityHeatwave01		There's a few issues that could arise during a heatwave. Metal can become extremely hot, so be careful with any metallic objects and doors. Also, make sure to keep your prisoners and staff hydrated as they might become sluggish. 
d11_staffalert_hint_CalamityHeatwave01			A fire with a high wind could prove itself a catastrophe, make sure to prevent it and make preparations.

buildtoolbar_AutomatedEmergencyService			Automated Service

weather_instrument_title				Forecast By:

dlc_name_polly							Perfect Storm
buildtoolbar_stayIndoorsCalamity		Calamity

codex_tooltip_startingSeason			Choose your starting season. The weather will progress naturally through the seasons.

object_AirPestControlHeli					Air Pest Control

# ====================================
# ====================================
# ----------------------------------- KIMBER BATCH 1 -----------------
# ====================================
# ====================================

dlc_name_kimber					Gangs	
# ====================================
# OBJECTS
# ======================================

object_Beagle							Juliette
buildtoolbar_popup_obj_Beagle			More Snack hound than Attack Hound.

object_Doberman							Fen
buildtoolbar_popup_obj_Doberman			The doberman is the ultimate police dog.

object_ChocolateLabrador					Blue
buildtoolbar_popup_obj_ChocolateLabrador	Loves making new friends, even more fun when that friend is running away.

object_BlackShepherd						Luna
buildtoolbar_popup_obj_BlackShepherd		They may look cute, but will mow down anyone that gets in their way.

object_TattooRemovalMachine						Tattoo Removal Machine
buildtoolbar_popup_obj_TattooRemovalMachine 	This item is indispensable to reform a gang member. Removing their tattoos is a first step in their reform.

object_MetalStool					Metal Stool
buildtoolbar_popup_obj_MetalStool 	A nice little metal stool.

equipment_TattooRemovalTool			Tattoo Removal Tool

room_TheCage				The Cage
buildtoolbar_popup_room_TheCage		For prisoners that are in solitary confinement. This outdoor unit is used for exercise, whist maintaining the prisoner's exclusion from other inmates.

quickbuild_TheCage			The Cage
buildtoolbar_quickbuild_TheCage		An outdoor unit that a single prisoner can use to exercise, keeping them isolated from other prisoners.

material_CageFence		Cage Fence
buildtoolbar_popup_mat_CageFence						A chain link fence meant to contain prisoners while exercising.

room_TattooRemovalRoom	Tattoo Removal Room
buildtoolbar_popup_room_TattooRemovalRoom	Where your prisoners can go through the painful and tedious process of getting their gang tattoos removed.

quickbuild_TattooRemovalRoom	Tattoo Removal Room
buildtoolbar_quickbuild_TattooRemovalRoom	Where your prisoners can go through the painful and tedious process of getting their gang tattoos removed.

object_PullUpBars							Pull-Up Bars
buildtoolbar_popup_obj_PullUpBars			A cheap piece of exercise equipment popular with more hardened inmates.

object_KneeRaise							Knee Raise
buildtoolbar_popup_obj_KneeRaise			A cheap piece of exercise equipment popular with more hardened inmates.

object_PushUpStones							Push-Up Stones
buildtoolbar_popup_obj_PushUpStones			A cheap piece of exercise equipment popular with more hardened inmates.

object_GangGraffiti							Gang Graffiti
d11_hover_info_gang_graffiti_1				+15% Strength in Territory for gang members
d11_hover_info_gang_graffiti_2				+15% Toughness in Territory for gang members

object_FightRing							Fight Ring
buildtoolbar_popup_obj_FightRing			If your prisoners fight in the ring, they won’t fight in the wing.\n -Caters to the Exercise and Recreation needs.

quickbuild_FightClubRoom					Fight Club Room
buildtoolbar_quickbuild_FightClubRoom		For all intents and purposes this room does not exist.

room_FightClubRoom							Fight Club Room
buildtoolbar_popup_room_FightClubRoom		For all intents and purposes this room does not exist.

object_CageGate							Cage Gate
buildtoolbar_popup_obj_CageGate			A gate that work great with Fences. Functions the same way as a door.

buildtoolbar_popup_obj_RemoteDoor			This door is designed to be accessed using a working servo. Make sure you have enough guards to control the entry and exits for these types of doors or install pressure pads

object_RemoteDoorOrange						Remote Door (Orange)
buildtoolbar_popup_obj_RemoteDoorOrange 	This door is designed to be accessed using a working servo. Make sure you have enough guards to control the entry and exits for these types of doors or install pressure pads
object_RemoteDoorRed						Remote Door (Red)
buildtoolbar_popup_obj_RemoteDoorRed 		This door is designed to be accessed using a working servo. Make sure you have enough guards to control the entry and exits for these types of doors or install pressure pads
object_RemoteDoorYellow						Remote Door (Yellow)
buildtoolbar_popup_obj_RemoteDoorYellow 	This door is designed to be accessed using a working servo. Make sure you have enough guards to control the entry and exits for these types of doors or install pressure pads
object_RemoteDoorWhite						Remote Door (White)
buildtoolbar_popup_obj_RemoteDoorWhite 		This door is designed to be accessed using a working servo. Make sure you have enough guards to control the entry and exits for these types of doors or install pressure pads
quickbuild_Gymnasium                            Gymnasium

object_GymInstructor						Gym Instructor

object_FilingCabinetFancy					Filing Cabinet (Fancy)
buildtoolbar_popup_obj_FilingCabinetFancy	Reward your members of Staff by giving them a fancy filing cabinet.

# ====================================
# Materials
# ======================================

material_LongGrass							Long Grass

# ==============================================================
# Menu strings
# ==============================================================

codex_tooltip_gangsEnhanced             You can now change the intake of prisoners to join your Gangs. Having more Gang Members in your prison will make Gang recruitment quicker, your prison will become more chaotic and dangerous.\n\n• Legacy - Experience Gang difficulty as it was previously (Novice) \n• 'Low' (Default) - Ideal for Novice or Intermediate players \n• Medium - Experienced players \n• High - Expert players searching for a serious challenge
codex_tooltip_morelieutenants			Lieutenants play a big role in conquering new territories for their respective Gang. If you want Gangs to be more active, consider reducing the amount of members needed per Lieutenants. Only chose numbers smaller than 6 if you want a challenge.
codex_option_morelieutenants			More Lieutenants
codex_tooltip_codex_option_morelieutenants	Lieutenants play a big role in conquering new territories for their respective Gang. If you want Gangs to be more active, consider reducing the amount of members needed per Lieutenants. Only chose numbers smaller than 6 if you want a challenge.

codex_option_GangSpecialReputations     Gang Special Reputations
codex_tooltip_GangSpecialReputations    Gangs are given new reputations that modify the way that members behave in your prison.

codex_option_AllDogs					All Dogs
codex_tooltip_AllDogs				    Choosing this option will enable all dogs available and randomise each hire.
codex_tooltip_RandomWardens				Choosing this option will randomly pick a Warden for you.

# Boiling Point
interfacecontraband_BoilingPoint				Boiling Point
buildtoolbar_contraband_BoilingPoint			Shows areas of improvement for unhappy prisoners.

boilingpoint_header								BOILING POINT
boilingpoint_OverallTemperature					Overall Temperature
boilingpoint_Needs								Needs
boilingpoint_ProgramCompletion					Programs Completed
boilingpoint_StatusEffects						Status Effects
boilingpoint_RoomQuality						Room Quality

boilingpoint_OverallTemperature_popup			There are a few things that are out of our control when it comes to making our prisoners happy and calm, like their personalities or the number of convictions they have. The angrier each prisoner gets, the higher Prison Temperature will be, and the more likely they will misbehave.
boilingpoint_Needs_popup						Currently you have *X prisoners who can’t satisfy their needs.\n\nPlease ensure they have access to rooms or objects to be able to satisfy their needs.
boilingpoint_ProgramCompletion_popup			Currently you have *X prisoners who have not completed any program.\n\nThe more programs a prisoner has completed the more likely they are to be calm. Add some programs so they can participate, make sure their Regime allows it. Some programs are repeatable.
boilingpoint_StatusEffects_popup				Currently you have *X prisoners who are suffering with negative effects.\n\nConsider keeping a closer watch on contraband, especially alcohol or narcotics.\n\nWhen prisoners have positive effects, they are less likely to misbehave.
boilingpoint_RoomQuality_popup					Currently you have *X prisoners who have bad rooms.\n\nIncrease the quality of their rooms so they can be happier and calmer. Some prisoners will not qualify for high quality rooms. You can use Sentence Adjustments to reduce the requirements.

buildtoolbar_popup_help_BoilingPoint_1			The Boiling Point view shows you the current Prison Temperature. This menu highlights problematic areas in our prison, such as cell quality, needs, status effects, and program participation levels.\n\n
buildtoolbar_popup_help_BoilingPoint_2			~If you still can’t control a specific prisoner, consider putting them into a Lockdown or Solitary confinement to cool off.\n\n
buildtoolbar_popup_help_BoilingPoint_3			^Tips
buildtoolbar_popup_help_BoilingPoint_4			- Ensure that all prisoners have access to their basic needs.
buildtoolbar_popup_help_BoilingPoint_5			- Invest in reform, therapy, treatment and work programs, and make sure their regime allows them to participate in them.
buildtoolbar_popup_help_BoilingPoint_6			- Low Security prisoners will have a higher tolerance, as they have shorter sentences.

boilingpoint_advisor_onboarding					This prisoner is acting out, they seem to have reached their boiling point. Perhaps we aren’t doing enough for our prisoners, make sure their needs are satisfied, improve their living condition and give them something to do. Check the Boiling Point Intelligence Menu for more information.

# ==============================================================
# Security Menu strings
# ==============================================================

interfacecontraband_SecurityMenu				Security Menu
buildtoolbar_contraband_SecurityMenu			View a list of all inmates seen as being either dangerous or endangered and apply security actions to any that require further management.

securitymenu_header								Security Menu

securitymenu_popup_prisonerSelect				Left Click to select Prisoner
securitymenu_popup_dangerousReputations			Dangerous Reputations: 
securitymenu_popup_dangerousTraits				Dangerous Traits: 
securitymenu_popup_crimesCommitted				Crimes: 
securitymenu_popup_recentMisconduct				Recent Misconduct: 

securitymenu_PrisonerType						Prisoner Type: 
securitymenu_PrisonerTypeDefault				Default
securitymenu_PrisonerTypeDangerous				Dangerous
securitymenu_PrisonerTypeVulnerable				Vulnerable

securitymenu_MarkingTypeUnmarked				Unmarked
securitymenu_SelectArea							Select Area
securitymenu_SelectAreaCancel					Deselect Area

securitymenu_RestrictAccess						Restrict Access:
securitymenu_TransferPrisoners					Transfer Prisoner(s): 
securitymenu_transferSecurityLevel				Security Level
securitymenu_GuardAssignment					Guard Assignment: 
securitymenu_MarkPrisoner						Mark Prisoner: 
securitymenu_RemovePrisoner						Remove Prisoner:
securitymenu_RemovePrisonerButton				Remove Prisoner
securitymenu_RemovedPrisoner					Removed Prisoner

securitymenu_RemovePrisoner_message				Remove Prisoner\n\nThis is the last resort for dealing with the worst offenders, for an expensive charge you will be able to send this prisoner to a separate facility. This action can only be performed every 5 days.

securitymenu_RestrictAccess_tooltip				Block entrance to specific areas, not allowing the selected prisoner(s) access without guards attempting to subdue them. Gang members can't be restricted from their own areas / territories.
securitymenu_TransferPrisoner_tooltip			Move selected prisoners to a specific security system to help with managing them.
securitymenu_MarkPrisoner_tooltip				Attach a visual mark to selected prisoners, to allow you to better keep an eye on any individuals who are more dangerous or are instead in danger themselves.

rapsheet_assignguard							Assign Guard
rapsheet_assignguard_end						Unassign Guard

job_PrisonerAssignment							Prisoner Assignment
assignment_confirm_message						Do you wish to assign a guard?
assignment_description_message					If you want to keep an eye on this prisoner, you might want to assign a guard to them. Please make sure you have enough guards available.
assignment_error_message						This prisoner can not be assigned a guard currently. Please try again later.\n\nThey either have just arrived, are shackled, or are in lockdown.

buildtoolbar_popup_help_securitymenu_1        The security menu lists all members of the prison that are seen as either dangerous or vulnerable members of the prisoner population. Via this menu certain actions can be applied to prisoners to provide further support and allow better management of these prisoners.\n\n
buildtoolbar_popup_help_securitymenu_2        ~By default both dangerous and vulnerable prisoners are listed together but the "prisoner type" option allows you to apply action to specific groups.\n\n
buildtoolbar_popup_help_securitymenu_3        ~Some actions can be applied to a group whereas others can only be applied to selected individuals, highlight and left-click an inmate to select them.\n\n
buildtoolbar_popup_help_securitymenu_4        ^Tips
buildtoolbar_popup_help_securitymenu_5        - The Guard assignment option will help to both keep prisoners safe from others whilst also keeping an eye on others to help prevent any misconduct from happening. Guards won't stay by a prisoner's side during their private time such as sleep and shower periods.
buildtoolbar_popup_help_securitymenu_6        - If a prisoner is causing too many problems within your prison and is too difficult to deal with, the Remove Prisoner option will send them away. This action has a cooldown and can't be performed every day and it also has a monetary cost.

# ==============================================================
# Kimber todo list help objectives
# ==============================================================
objectiveWindow_FilterButton_4_title 				About Gangs
objectiveWindow_FilterButton_4_tooltip				Everything you need to know about Gangs 

objective_HelpGangBehaviourAndType				Gang Behaviours
objective_HelpGangBehaviourAndType_Description			New gangs have been introduced with each behaving slightly differently to one another.
objective_HelpGangBehaviourAndType_child_1			Vipers
objective_HelpGangBehaviourAndType_child_1_Description		The Vipers are an insidious bunch that focus on infecting their prisons with the narcotics they control whilst being individually deadly themselves.
objective_HelpGangBehaviourAndType_child_2			Bone-Breakers
objective_HelpGangBehaviourAndType_child_2_Description		The Bone-Breakers can be considered as muscle-bound thugs, they focus more on violence and destruction rather than anything else.
objective_HelpGangBehaviourAndType_child_3			Jackals
objective_HelpGangBehaviourAndType_child_3_Description		The Jackals are the most resourceful of these gangs, with them focusing on territory control and contraband sales to increase their financial power.

objective_HelpGangActivities					Gang Activities
objective_HelpGangActivities_Description			Gang activities will range from running and managing their own territories, making big plays against key members of the prison, making demands of the player, and similar actions.
objective_HelpGangActivities_child_1				Specialised Activities
objective_HelpGangActivities_child_1_Description		Each gang will take part in specialised activities depending on their differing personalities, Vipers focusing on narcotic production and sales, Bone-breakers on fighting and destruction, and the Jackals focusing more on territories and gaining money.
objective_HelpGangActivities_child_2				Territory Activities
objective_HelpGangActivities_child_2_Description		With new territories come new behaviours. Gangs will now "police" any areas they control, making sure that other prisoners behave themselves and pay to use any of the items inside, even during their work time. Gang members will also acquire large amounts of contraband based on the room they control, with "dealers" appearing to sell these items to other inmates.
objective_HelpGangActivities_child_3				Gang Demands
objective_HelpGangActivities_child_3_Description		Once a gang gains enough power and confidence within the prison they will start to make certain demands, these demands will range from gaining new equipment to more time for Yard or Freetime, with the player having a certain amount of time to address these demand(s). If the player fails to meet these demands then the repercussions will immediately begin, with the gang usually causing some form of destruction or violence. 

objective_HelpCrookedGuards					Crooked Guards
objective_HelpCrookedGuards_Description				Although we'd like to think of our brave staff as pure and indomitable, sadly this isn't always the case.
objective_HelpCrookedGuards_child_1				Guard Bribery
objective_HelpCrookedGuards_child_1_Description			Standard guards can be bribed to look the other against certain misconduct for 48 hours, leaving prisoners with contraband even when they find it and making it easier for gangs to take over territories. Luckily using informants suspicious guards can be pointed out, giving the player the chance to fire any guards who have been corrupted.
objective_HelpCrookedGuards_child_2				Guard Corruption
objective_HelpCrookedGuards_child_2_Description			Certain guards can be corrupted by interacting too much with gang members, with them being paid off to smuggle in contraband for gangs. Informants can mark suspicious guards for you whereas contraband detectors and guard dogs will also able to find this contraband whilst it is still on their person.

objective_HelpGangIntelligence					Gang Intelligence
objective_HelpGangIntelligence_Description			With so much potential for misconduct within a prison, intelligence is always key in keeping things safe within your facility. The gang intelligence menu will provide information on each gang within your prison, listing the number of members that each has, their funds, and also lists a basic counts for the misconduct they've completed whilst incarcerated. It also shows any movements or activities that any gang participate in to help display the danger level of each gang.

objective_HelpSecurityOptions					Security Options
objective_HelpSecurityOptions_Description			A list of "important prisoners" will be listed within a new menu, with all inmates considered to be either in-danger from others or are a danger to others themselves. With this menu prisoners that should be given extra attention can be marked so they can be watched more easily during normal gameplay, other actions such as restricting a prisoner's access to certain areas, transferring groups to specific security levels, and even removing problematic inmates by sending them to a different facility although doing so will require paying a hefty fine.

objective_HelpPrograms						Programs
objective_HelpPrograms_Description				To help secure and support your prisoners guards can now receive new training which will allow them to easily disarm an equipped prisoners. Prisoners will also have new programs available to them, with recreational programs to help with their reform and otherwise attempting to help calm prisoners or allow them to relieve some stress and also rehabilitation programs that will help to redirect prisoners away from gang life and allowing them to complete their sentences in a more peaceful and constructive manner.

# =============================================================================
# Grants
# =============================================================================
objective_grant_positiveEnergyGrant					Positive Energy
objective_grant_positiveEnergyGrant_Description				Gang Members need to focus their mind (and their energy) into exercise rather than violence. Research has shown exercise reduces such actions. Set up some outdoor exercise equipment in the yard.
objective_grant_positiveEnergyGrant_yard				Build a Yard
objective_grant_positiveEnergyGrant_bench				Add a Weight Bench

objective_grant_advancedProtectionGrant					Advanced Protection
objective_grant_advancedProtectionGrant_Description			Staff Protection is paramount when dealing with organised gangs. We need to make sure our staff are trained to the highest level for their safety.
objective_grant_advancedProtectionGrant_training			Successfully Train 20 Guards in Disarming Certification.

objective_grant_gangWelfareGrant					Gang Welfare
objective_grant_gangWelfareGrant_Description				Turning Gang Warfare into Gang Welfare is a top priority. Gang members stand a good chance of reform when put into programs that can see them exit that life.
objective_grant_gangWelfareGrant_exGangMembers				Successfully reform 15 Gang members into Ex-Gang Members.

objective_grant_exGangProtectionGrant					Ex-Gang Member Protection Program
objective_grant_exGangProtectionGrant_Description			The government is offering funding to construct a Protective Custody wing to protect former gang members on the road to rehabilitation.	
objective_grant_protectionCells						Build 10 Cells in a Protected Only Sector
objective_grant_protectionShower					Build a Shower Room in a Protected Only Sector
objective_grant_protectionCanteen					Build a Canteen in a Protected Only Sector
objective_grant_protectionKitchen					Build a Kitchen in a Protected Only Sector
objective_grant_protectionYard						Build a Yard in a Protected Only Sector
objective_grant_protectionGuards					Assign a Guard to a Protected Only Sector
objective_grant_protectionExGang					Assign 1 Ex-Gang member to Protective Custody Security Level

grant_category_adminHired						Administrator Hired:

# =============================================================================
# Reform Programs
# =============================================================================

reformprogram_TattooRemovalProgram			Tattoo Removal Program
reformprogram_TattooRemovalProgram_text		If your prisoners have regrets about getting their gang tattoos, you can facilitate their rehabilitation by providing tattoo removal sessions. Completing this program will make them a target.

reformprogram_HandToHandCombat				Disarming Certification
reformprogram_HandToHandCombat_text			When things get tough, we get tougher. Train your Guards advanced techniques to disarm your prisoners.

reformprogram_GangRehabilitation			Gang Rehabilitation
reformprogram_GangRehabilitation_text			If a gang member has been causing too much trouble around the prison, try to get them to complete this program. It is the first step to severing ties with their gang and turning a new leaf. Completing this program will make them a target. Referral Type: Violence and Destruction.
reform_program_intake_ReferralGangViolenceDestruction	Referral: Violence and Destruction Gangs Only.
reform_program_intake_GangOnly				Gangs Only

reformprogram_FaithProgram					Faith Program
reformprogram_FaithProgram_text				Prisoners participating in this intensive program will be more willing to part with their bad lifestyles and embrace a better life. If they have completed this program might want to severe their ties with their Gang.

reformprogram_BreatheProgram				Breathe Therapy
reformprogram_BreatheProgram_text			Teach your prisoners how to breathe and relax. After each class your prisoners will feel a lot calmer, they might even consider behaving better.


reformprogram_FightClub					Fight Club
reformprogram_FightClub_text			These training sessions are meant to direct your inmates destructive energy into fighting in a controlled environment. They may be too tired to fight afterwards. Wait… what was the first rule again?

reform_program_properties_TeacherUsesSameEquipment		Teacher requires a *X
reform_program_properties_GangMemberCanAttend			Gang members can attend
reform_program_properties_RequiresAllStudentsPresent		Requires all students present

object_KayuMalamTree		Kayu Malam Tree
buildtoolbar_popup_obj_KayuMalamTree		A mighty tree with a beautiful dark colour. Not suitable for bed construction
object_EbonyLog				Ebony Log
object_EbonyWood			Ebony Timber
object_TreeVines			Tree (Vines)
buildtoolbar_popup_obj_TreeVines		This type of tree is a must for a proper tropical prison.
# ============================================================== 
# Gang Demands 
# ==============================================================
gang_vipers				The Vipers
gang_bonebreakers		The Bone Breakers
gang_jackals			The Jackals
gang_red				Red
gang_blue				Blue
gang_green				Green
gang_yellow				Ex Gang Members

# ==============================================================
# Gang Demands 
# ==============================================================
objective_GangDemand			   Gang Demands
objective_GangDemand_description   Emboldened gang leaders will make a number of demands to improve the quality of life in prison. Failing to comply to these demands can result in a riot, make sure that if it comes to that your prison is prepared.
GangDemand_announcement      	   Gang members will cause a lot of trouble if we don’t give in to their demands.

# - G refers to gang name, X is a numerical value. Separate strings due to plurals etc
# - Escalated appears as own string but will be filtered out by tool. 

objective_Gang_ContrabandToolsPunishment_child 				*G - Decrease punishment for Finding Tools to *X hours. 
objective_Gang_ContrabandToolsPunishment_Escalated_child 	*G - Decrease punishment for Finding Tools to None

objective_Gang_MurderPunishment_child 			 *G - Decrease punishment for Murder to *X hours. 
objective_Gang_MurderPunishment_Escalated_child  *G - Decrease punishment for Murder to *X hours. 

objective_Gang_MoreYardTime_child 				*G - Increase regime Yard Time to *X hours. 
objective_Gang_MoreYardTime_Escalated_child     *G - Increase regime Yard Time to *X hours. 

objective_Gang_PullUpBars_child  				*G - Have *X Pull-Up Bars. 
objective_Gang_PullUpBars_Escalated_child 		*G - Have *X Pull-Up Bars. 

objective_Gang_TyreApparatus_child  			*G - Have *X Tyre Apparatuses. 
objective_Gang_TyreApparatus_Escalated_child 	*G - Have *X Tyre Apparatuses. 

objective_Gang_PunchBag_child  					*G - Have *X Punch Bags. 
objective_Gang_PunchBag_Escalated_child 		*G - Have *X Punch Bags. 

objective_Gang_PushUpStones_child  				*G - Have *X Push-Up Stones.
objective_Gang_PushUpStones_Escalated_child		*G - Have *X Push-Up Stones.

# - X in this case will refer to a room name
objective_Gang_RequireYard_child  						*G - Have a *X.
objective_Gang_RequireYard_Escalated_child 		*G - Have a *X.

objective_Gang_RequireLibrary_child  				*G - Have a *X.
objective_Gang_RequireLibrary_Escalated_child 	*G - Have a *X.

objective_Gang_RequireMailRoom_child  			*G - Have a *X.
objective_Gang_RequireMailRoom_Escalated_child  *G - Have a *X.

d11_gangdemand_success 				We’ve received some money for handling this situation.
d11_gangdemand_fail 				Ensure this situation doesn’t happen again.
d11_gangCompensation				Gang Compensation

# ==============================================================
# Gang Menu 
# ==============================================================
d11_gang_goal					Gang Goal:
d11_gang_bonebreakers_goal			Destruction
d11_gang_jackals_goal				Prison Control

d11_gang_traits					Gang Traits:
d11_gang_officer				Gang Officers:
d11_gang_territories				Territories:
d11_gang_misconduct				Misconduct:
d11_gang_kills					Gang Kills:

# ==============================================================
# Gang Menu : HeatMap
# ==============================================================
d11_heatmap_gang			Involved Gang:
d11_heatmap_deaths			Deaths:
d11_heatmap_day				Day Occured:
d11_heatmap_time			Time Occured:

d11_gang_event_pr.gf			Gang Fight
d11_gang_event_g.tc			Territory Change
# ==============================================================
# Gang Segregation
# ==============================================================

gangSegregationMessage			Choose which gangs are usually permitted to enter certain areas.
interfacedeployment_GangSegregation		Gang Segregation
buildtoolbar_deployment_GangSegregation To provide a level of control over gang allocation, gangs can be assigned to different living spaces, allowing them to be kept away from each other to avoid any unnecessary instigation.

# ==============================================================
# Crooked Guards
# ==============================================================

research_StaffVetting				Staff Vetting
researchtooltip_StaffVetting		Reduces the likelihood of new Guards being corrupted. Unlocks Guard Investigation allowing you to sniff out Crooked Guards using CI's.

buildtoolbar_GuardInvestigation				Guard Investigation
buildtoolbar_tooltip_GuardInvestigation		Work with your CI's and Security Chief to investigate your guards and sniff out corruption. The more coverage your active CI's have, the more Crooked Guards you will expose. The Chief must not be hosting a program or attending an execution.
buildtoolbar_CI_requirement			At least one CI

guardinvestigation_underway			GUARD INVESTIGATION IN PROGRESS
guardinvestigation_investigated		Investigated *A/*B guards

informant_investigating				Investigating
crookedguard_fired_reward			Crooked Guard Fired
crookedguard_advisor_onboarding		We have discovered a Crooked Guard working with a gang. I've marked them in the Staff tab on your Reports. Make sure to fire them.

buildtoolbar_popup_staff_doghandler				Dog Handlers and their canine companions can detect contraband on prisoners passing by in close proximity.
buildtoolbar_popup_staff_kimber_doghandler		Dog Handlers and their canine companions can detect contraband on prisoners and crooked guards passing by in close proximity.
# ==============================================================
# Prisoner Intake
# ==============================================================
d11_prisoner_replacement			Prisoner Replacement
d11_prisoner_replacement_tooltip	The prisoner population value will be replenished up to the desired number with the ratio of security levels kept the same where possible. Any surplus of prisoners will be requested following the standard system

# ==============================================================
# Interface
# ==============================================================

