# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Kompletter Changelog
job_cleanupobject	Aufräumarbeiten *X
interfacetopbar_tension_angrygangmembersgraffiti	+ *X BANDENMITGLIEDER SIND VERRÜCKT (Graffiti entfernt)
interfacetopbar_tension_angrygangmembersleadercell	+ *X BANDENMITGLIEDER SIND VERRÜCKT (Anführer in schlechtere Zelle verlegt)
research_CCTVImprovement	Optimierte Überwachung
researchtooltip_CCTVImprovement	Optimieren Sie die Nutzung Ihrer Überwachungskameras. Sie ermöglichen es Ihnen, Häftlinge im Sichtbereich der Kameras zu sehen, die sich nicht benehmen.
d11_cctv_cone	Sichtbereich
d11_toggle_cctv_cone_detail	Sichtbereich an/aus
d11_left_click_to_clean	Linksklick zum Aufröumen
d11_gang_graffiti_message	Banden markieren ihr Gebiet und sind daher bei der Verteidigung aggressiver. Schicken Sie einen Hausmeister, sobald es sicher ist, um das Chaos zu beseitigen. Die Banden werden nicht glücklich darüber sein, dass ihre „Kunst“ entfernt wird – sie könnten sich rächen.
d11_gangBulkIntake_advisor_onboarding	Der Strafvollzugausschuss verlegt problematische Häftlinge in andere Gefängnisse mit kompetenterer Führung. Ich vertraue darauf, dass Sie diese neuen Häftlinge leicht handhaben werden. Häftlingsinspektionen werden jetzt wöchentlich durchgeführt.
d11_gangBulkIntake_staffAlert	Einlieferungsbus mit Bandenmitgliedern trifft ein
d11_gangdealer_advisor_onboarding	Wir haben einen Dealer im Bandengebiet ermittelt und eine beachtliche Geldsumme konfisziert.
d11_CI_advisor_onboarding	Arbeiten Sie mit Ihren Informanten zusammen, um alle korrupten Wachen aufzuspüren. Sie werden zum Büro des Chefs geschickt, um ihre Informationen weiterzugeben. Stellen Sie sicher, Informanten zu rekrutieren. Weitere Informationen finden Sie unter dem Symbol (?) im Informationen-Menü.
d11_LeaderAssassination_advisor_onboarding	Gangs werden zusehend aggressiv und planen, den Anführer der anderen Gang zu ermorden. Wenn sie erfolgreich sind, wird sich dies auf ihre aktuellen Gebiete auswirken.
d11_GangTargetting_advisor_onboarding	Bandenmitglieder schließen sich zusammen, weil sie ähnliche Interessen haben, manchmal aber auch aus Abneigung gegen bestimmte Straftaten. Dann versuchen sie, die entsprechenden Häftlinge ins Visier zu nehmen.
d11_staffalert_title_making_move	Bande schlägt zu.
d11_staffalert_summary_making_move	Wir haben Informationen, wonach eine Bande zuschlagen will.
d11_staffalert_summary_gangdealer	Ein Dealer wurde entdeckt. Sie erhalten $500
d11_staffalert_summary_TerritoryPlacement	Dieser Raum wird von einer Bande kontrolliert, er ist für unsere Arbeiter zu gefährlich. Vertreiben Sie die Bande aus dem Raum.
crisisSector_CustomSearchArea	Benutzerdefinierter Suchbereich
crisisSector_ScheduleSearch	Benutzerdefinierter Zeitplan
schedulesearch_menu_TargettedArea	Zielbereich
schedulesearch_menu_StartTime	Startzeit
schedulesearch_menu_ExistingSchedule	Aktueller Zeitplan
schedulesearch_menu_CurrentTime	Aktuelle Zeit
schedulesearch_menu_CurrentFrequency	Aktuelle Häufigkeit
crisisSector_UnlockedOnly	Nur freigeschaltet
schedulesearch_menu_SaveSelection	Auswahl speichern
reputation_Recruiter	Anwerber
reputationtooltip_Recruiter	Wenn dieser Häftling einer Bande angehört, ist die Wahrscheinlichkeit hoch, dass er andere Häftlinge dazu bringt, sich seiner Bande anzuschließen.
reputationtooltip_Resourceful	Dieser Häftling wird viel Zeit mit dem Lesen von Büchern verbringen, aber auch wissen, wo sich Schmuggelware befindet, um sie für seine Bande abfangen können.
reputation_ExGangMember	Ex-Bandenmitglied
reputationtooltip_ExGangMember	Dieser Häftling hat entschieden, dass das Bandenleben nichts für ihn ist, was wiederum die Bande nicht allzu glücklich macht.
reputation_CunninglyBrutal	Gerissen und brutal
reputationtooltip_CunninglyBrutal	Die Vipers werden versuchen, Ziele in den toten Winkeln der Sicherheit anzugreifen.
reputation_SneakThief	Gelegenheitsdieb
reputationtooltip_SneakThief	Alle Schakale, ungeachtet des Rufs, sind ausgezeichnete Taschendieb.
reputation_BattleTendency	Tendenz zu Gewalt
reputationtooltip_BattleTendency	Wenn mehr Schakale als Wärter in einem Gefängnisflügel anwesend sind, werden sie gegenüber dem Personal in diesem Trakt gewalttätiger sein.
reputation_DisrepectSurroundings	Vandale
reputationtooltip_DisrepectSurroundings	Die Knochenbrecher werden Einrichtungsgegenstände zerstören, wenn ihre Bedürfnisse nicht erfüllt werden.
reputation_UnderCoverDon	Undercover-Boss
reputationtooltip_UnderCoverDon	Der Anführer der Vipers wird sich als Bandenmitglied tarnen, und nur dann enthüllt werden, wenn er bestraft wird.
reputation_Enforcer	Vollstrecker
reputationtooltip_Enforcer	Dieser Häftling schüchtert andere Häftlinge ein, wenn sie nicht der gleichen Bande angehören, und ist auch sehr gut darin, Gebiete für Banden zu erobern.
reputation_GymRat	Fitnessjunkie
reputationtooltip_GymRat	Knochenbrecher werden ihre Freizeit im Sportsaal oder im Hof verbringen.
reputation_Loyal	Loyal
reputationtooltip_Loyal	Dieser Häftling wird eher in der Bande bleiben und sich aufregen, wenn sein Anführer bestraft wird.
traits_violent	Gefährlich
traits_lethal	Tödlich
finance_cost_gangdealer	Aufgeflogener Bandendealer
object_PrisonerLetter	Häftlingsbrief
object_LoveLetter	Liebesbrief
object_LoveLetterOpened	Liebesbrief (geöffnet)
interface_prisonerWritingLetter	Briefe an die Liebsten
interface_prisonerWritingLoveLetter	Brief an eine SEHR besondere Person
warden_wardengangsjlocks_name	Captain J. Locks
warden_wardengangsjlocks_desc	Personal unter Locks' Anleitung kann über seine Grenzen hinausgehen, während die Gefangenen zu vorbildlichen Häftlingen geformt werden \n\n- +30 % Personalausdauer (erfordert 10 % mehr Ruhezeit). \n- -10 % auf Rückfallquote von Häftlingen.
warden_wardengangsjlocks_desc_short	Personal hat mehr Ausdauer.\n- Rückfallquote von Häftlingen fällt 10 % niedriger aus.
warden_wardengangscook_name	Dylan Cook
warden_wardengangscook_desc	Dieser Herr kann jeden zu allem überreden. Er wird es schaffen, die besten Preise für Ihr Gefängnis auszuhandeln! \n\n- Lebensmittelkosten verringern sich um 25 %. \n- Kosten für Programme, die externe Dozenten erfordern, verringern sich um 20 %.
warden_wardengangscook_desc_short	- Lebensmittelkosten verringern sich um 25 %. \n- Kosten für Programme, die externe Dozenten erfordern, verringern sich um 20 %.
rapsheet_manualCellSwap_hint	Entscheiden Sie sich, dem Häftling eine einfache Aufwertung / Abwertung zu gewähren und einen neue verfügbare Zelle zu verlegen, oder wählen Sie manuell eine Zelle aus, in die er verlegt werden soll.
rapsheet_cellUpgrade	Zelle aufwerten
rapsheet_cellDowngrade	Zelle abwerten
rapsheet_cellChoice	Neue Zelle auswählen
rapsheet_ChangeCell	Zelle ändern
ChangeCellUpgradeSuccessful	Sie haben *X erfolgreich in eine bessere Zelle verlegt.
ChangeCellDowngradeSuccessful	Sie haben *X erfolgreich in eine schlechtere Zelle verlegt.
ChangeCellNoAvailableRooms	Es sind keine Räume verfügbar, in die Sie *X verlegen können. Möchten Sie das benutzerdefinierte Raumtauschmenü verwenden?
ChangeCellDowngradingGangLeader	Sie sind in Begriff, einen Bandenanführer in eine schlechtere Zelle zu verlegen, was seine Bande verärgern wird und Probleme im Gefängnis verursachen kann.
freeCell_movePrisoner	Bringen Sie den Häftling mit einem Rechtsklick in seine Zelle.
occupiedCell_movePrisoner	Tauschen Sie mit einem Rechtsklick den Insassen dieser Zelle durch einen Häftling aus.
occupiedCell_selectablePrisoner	Wählen Sie diesen Häftling mit einem Rechtsklick aus, um zu entscheiden, wohin Sie ihn verlegen wollen.
mutator_name_NoMinRoomSize	Keine Raumgröße
mutator_tooltip_NoMinRoomSize	Keine Anforderungen mehr an die Raumgröße! Sie müssen aber immer noch die erforderlichen Gegenstände für den Raum besorgen, damit er funktioniert.
action_GangBusiness	Bandengeschäfte
action_GangRecruitment	Bandenrekrutierung
action_GangPromotion	Bandenaufstieg
action_ActionHerb	Pfusch
action_LoadBaby	Baby tragen
action_WarmUp	Aufwärmen
action_GetSnack	Snack holen
action_Drink	Getränk holen
action_DoPullUps	Klimmzüge
action_KneeRaises	Knieheben
action_PushUps	Liegestütze
reform_program_properties_RequiresAllStudentsPresent	Alle Teilnehmer müssen anwesend sein
d11_tableClaim_title	Kontrolliert von *G
d11_tableClaim_desc	Um sie von den Tischen zu verweisen, bewegen Sie sie oder bauen Sie sie ab.
d11_tableClaim_desc_cont	Das wird sie allerdings wütend machen.
schedulesearch_menu_ClearSchedule	Terminplan löschen

security_menu_default	Kategorie auswählen
interfacemode_water	Wasser
interfacemode_connections	Verkabelung
interface_rectangle_width	Breite
interface_rectangle_height	Höhe
interfaceplanning_fence	Zäune
buildtoolbar_popup_obj_SofaChairDoubleBrown	Eine große, weiche und komfortable Sitzgelegenheit für zwei.
rank_title	Ränge
rank_officer	Offizier
buildtoolbar_popup_room_laundry	Hausmeister und Häftlinge im Wäscherei-Dienst bringen schmutzige Uniformen hierher, waschen sie, bügeln sie und verteilen sie dann wieder.
buildtoolbar_popup_room_visitation	Wo sich die Häftlinge mit ihrer Familie treffen können. Vorsicht, Familien könnten versuchen, bei einem Besuch Schmuggelware ins Gefängnis zu bringen.
buildtoolbar_popup_room_cleaningcupboard	Für Reinigungsutensilien. Ein Putzmittelschrank ist nötig, um Häftlinge zum Reinigungsdienst einteilen zu können.
buildtoolbar_popup_room_armoury	Ihre bewaffneten Wachen sind außer Dienst in diesem Raum. Dort werden alle ballistischen Waffen aufbewahrt.
buildtoolbar_popup_room_forestry	Zur Anzucht von Bäumen. Mithilfe von Bäumen können Produkte in der Werkstatt hergestellt werden, die sich verkaufen lassen.
buildtoolbar_popup_room_classroom	Ein Ort der Bildung, wo Häftlinge an Besserungsprogrammen teilnehmen können.
buildtoolbar_popup_room_exports	Alles, was Arbeiter oder Häftlinge herstellen, wird zur Abholung hierher gebracht.
buildtoolbar_popup_room_mailroom	Sorgt dafür, dass Ihre Häftlinge Post bekommen können. Der Postraum ist zudem durch Häftlinge besetzt.
ageCategory_Young	Jugendlicher
ageCategory_Senior	Rentner
ageCategory_Elderly	Greis
causeofdeath_naturalcauses	Natürliche Ursachen
codex_option_prisonerAging	Häftlingsalterung
codex_tooltip_prisonerAging	Wenn Sie diese Option aktivieren, altern die Häftlinge mit den Jahren, haben immer weniger Energie und werden immer schwächer.
interfacemode_electricity	Elektrisch
interface_rectangle_cost	Kosten
scheduler_prisonerandstaff	Häftlinge und Personal
codex_option_plotGridCoords_title	Gitter / Koordinaten darstellen
codex_plotGrid	Gitter-Überlagerung
codex_plotCoords	Koordinaten
codex_plotGridAndCoords	Beide aktiviert
mutator_name_DailyHearse	Bringt die Toten raus!
mutator_tooltip_DailyHearse	Leichenwagen erscheinen nun täglich um 20 Uhr. Werden sie zurückgeschickt, kehren sie am nächsten Tag zurück.
regime_eatLockdown	Essen/Einsperrzeit
regime_showerLockdown	Dusche/Einsperrzeit
regimetooltip_eatLockdown	Häftlinge müssen zum Essen zur ihnen zugewiesenen Kantine gehen oder andere Anlagen in der Kantine nutzen. Nach dem Essen werden die Häftlinge wie in der „Einsperrzeit“ in ihren Zellen festgehalten.
regimetooltip_showerLockdown	Häftlinge gehen unter die Dusche, um richtig sauber zu werden,, und bekommen dann eine frische Uniform, falls verfügbar. Nach dem Duschen werden die Häftlinge wie in der „Einsperrzeit“ in ihren Zellen festgehalten.
rooms_AllRooms	Alle Räume
object_searchlight	Unbemannter Suchscheinwerfer
buildtoolbar_popup_obj_searchlight	Eine rotierende Lampe, die nachts aktiv ist. So finden Sie widerborstige Häftlinge in der Dunkelheit.
material_DarkWoodFloor	Dunkles Parkett
buildtoolbar_popup_mat_DarkWoodFloor	Solider Holzboden, perfekt für Büros.
buildtoolbar_popup_obj_BarbedWire	Ein zackenbewehrter Aufsatz, der Ihre Wände imposanter und sicherer macht.
object_SofaChairDoubleBrown	Breites Sofa (Braun)
interface_action_rank	Rang
rank_subtitle	Rang ändern zu:
rank_senior	Ober-Wache
rank_specialist	Spezial-Offizier
rank_popup_text_1	Ober-Wachen, Offiziere und Spezial-Offiziere sind stärker und nicht so leicht zu töten. Allerdings ziehen sie, falls mögliche, die ruhigeren Bereiche des Gefängnisses vor.\n\n
rank_popup_text_2	Alle Wachen müssen die Taserausbildung für Wachen abschließen, mit den Beförderungsprozess einzuleiten. Offiziere müssen mindestens 10 Tage im Gefängnis verbracht haben, Spezial-Offiziere 20 Tage.\nNicht alle können befördert werden, nur 4 von 10 Ober-Wachen können Offiziere werden, nur 1 von 3 Offizieren Spezial-Offizier.
finance_cost_gun	Ausrüstung: Schusswaffe
buildtoolbar_popup_room_psychiatristoffice	Ein Trakt, wo Ihr Psychiater psychisch kranke Häftlinge untersuchen kann. Schalten Sie zusätzliche Objekte im Büro des Psychiaters frei und plazieren Sie sie, um die Behandlung psychisch kranker Häftlinge zu verbessern. Gegenstände werden über psychisch kranke Häftlinge freigeschaltet, die an psychiatrischen Beratungsprogrammen teilnehmen.
d11_logging_caption	Gefängnis-Log aktivieren
d11_logging_caption_tooltip	Ein Live-Log aller wichtigen Ereignisse im Gefängnis, von Todesfällen & Fehlverhalten bis hin zu Entlassungen von Häftlingen.
d11_logging_header	Gefängnis-Log
d11_logging_murder	[*T] *X ermordete *Y
d11_logging_murder_weapon	[*T] *X ermordete *Y mit *Z
d11_logging_envriomentalDeath	[*T] *X : *Y
d11_logging_gangTeritory	[*T] *X hat ein neues Territorium erobert
d11_logging_joinGang	[*T] *X ist *Y beigetreten
d11_logging_leaveGang	[*T] *X verließ *Y
d11_logging_newLeader	[*T] *X ist neuer Anführer von *Y
d11_logging_leaderKilled	[*T] *X Anführer getötet
d11_logging_programPass	[*T] *X hat *Y bestanden
d11_logging_prisonerRelease	[*T] *X wurde aus dem Gefängnis entlassen
d11_logging_prisonerReformed	[*T] *X wurde bekehrt
d11_logging_prisonerReoffended	[*T] *X ist rückfällig geworden und ins Gefängnis zurückgekehrt
d11_logging_prisonerEscaped	[*T] *X ist ausgebrochen
d11_logging_misconduct	[*T] *X Fehlverhalten: *Y
rapsheet_tab_events	Häftlings-Log
codex_basegamesettings	Basis-Einstellungen
codex_dlcsettings	DLC-Einstellungen
codex_savepreferences	Bervorzugte Einstellungen speichern
codex_loadpreferences	Bervorzugte Einstellungen laden
codex_new_gender	Geschlecht
codex_new_uniformpicker	Uniform-Auswahl
codex_new_fakebuttonleft	<
codex_new_fakebuttonright	>
uniform_color_33	Violett
Uniform_Picker_Selection	Wählen Sie diese Option, um Ihr aktuelles Uniform-Paket zu ersetzen.
Uniform_Picker_DLCRequired	*X ist zum Freischalten dieses Uniform-Pakets erforderlich
uniformPack_Default	Klassische Uniformen
uniformPack_Default_desc	Uniformen, die halten. Garantiert länger als 10 Jahre.
equipment_GarbageBag	Müllsack
equipment_SafetyGoggles	Schutzbrille
material_DarkWoodFloor	Dunkles Parkett
buildtoolbar_popup_mat_DarkWoodFloor	Solider Holzboden, perfekt für Büros.
equipment_brick	Ziegelstein
equipment_export	Exporte
mainMenu_upsell	Jetzt kaufen!
equipment_crate	Kiste
equipment_logPile	Polter
equipment_box	Box
equipment_mailUnsorted	Postsack
equipment_food	Nahrung
equipment_waterBucket	Wassereimer
dlc_name_qol1	Frei fürs Leben
action_BabySleep	[Baby] Schlafen
action_BabyPlay	[Baby] Spielen
quickbuild_Security	Sicherheit
quickbuild_Parole	Bewährung
quickbuild_Kennel	Zwinger
interfacecallout_BountyHunters	ein Kopfgeldjäger
object_BountyHunter	ein Kopfgeldjäger
d11_cooldown_hours_DistractionContraption	*X Stunden
object_SiberianHusky	Geist
graph_allTime	Gesamt
victory_UndeadEscapes_units	AUSBRÜCHE
d11_logging_gangFight	[*T] *X von *Y war der Angreifer in einem Bandenkampf
warden_wardenzombieskeller_name	Jerome Keller
warden_wardenzombieskeller_desc	Ein würdevoller Mann, der mit gutem Beispiel vorangeht und andere inspiriert. Ehemaliger Prediger, der nicht nur bei den Lebenden hohes Ansehen genießt, sondern auch bei den Toten. \n- -15 % langsamere Untoten-Gehgeschwindigkeit \n- +10 % höherer Schaden an Untoten \n- Erhöht die tägliche Bezahlung für gesicherte Untote
warden_wardenzombieskeller_desc_short	- -15 % langsamere Untoten-Gehgeschwindigkeit \n- +10 % höherer Schaden an Untoten \n- Erhöht die tägliche Bezahlung für gesicherte Untote
object_zombie	Untote
interface_zombieTier	Untoten-Stufe:
status_effect_StatusRunningInFear	Flucht in Angst
status_effect_infected	Infiziert
material_TaintedFloor	Verdorben
buildtoolbar_popup_mat_TaintedFloor	Hier scheint nichts zu wachsen.
material_FenceWall	Zaunwand
buildtoolbar_popup_mat_FenceWall	Diese Wände sehen besonders unheimlich aus.
material_YellowStraightLineTiles	Betonplatten (gerade)
material_YellowCornerLineTiles	Betonplatten (Ecke)
buildtoolbar_popup_mat_Rotatable	Drehbar
finances_category_zombiepayments	Untoten-Bezahlung
dlc_name_graveyardShift	Untote
codex_new_theUndead	Die Untoten!
codex_tooltip_theUndead	Ein Ausbruch? Das ist kein gewöhnlicher Virus. Hoffen wir, dass es Ihnen gelingt, dieses Übel an der Wurzel zu packen.\n\nDeaktiviert – Lassen Sie die Toten ruhen.\n\nNiedrig – Einfach und machbar.\n\nMedium – Für eine etwas größere Herausforderung.\n\nHoch – Albtraum-Modus mit erhöhten Attributen und Spawn-Raten, und der Möglichkeit für Untote, sich zu heilen, wenn sie wehrlose Individuen angreifen.
event_infect_entities	Einige unserer Leute benehmen sich ziemlich seltsam. Sie werden immer langsamer, starren in die Luft ... und sind mit Blut besudelt.
equipment_Crowbar	Brecheisen
equipment_BarbedWireBat	Stacheldraht-Peitsche
equipment_ModifiedHandgun	Modifizierte Pistole
equipment_ModifiedAssaultRifle	Modifiziertes Sturmgewehr
equipment_ChainsawWeapon	Kettensäge
object_BountyHunterTrike	Kofgeldjäger-Trike
d11_staffalert_title_BountyHunter	Das Gefängnis wird überrannt, wir brauchen schnell Hilfe, um mit den Untoten fertigzuwerden.
object_ZombieChum	Untoten-Köder
buildtoolbar_popup_obj_ZombieChum	Lege ein Stück Köderfleisch aus, um die Untoten von dem Gefängnis wegzulocken. Garantiert kein Hirn ... heilt aber jeden Untoten.
object_ornamentalgravestone	Verzierter Grabstein
buildtoolbar_popup_obj_ornamentalgravestone	Gedenkstein für verstorbene Menschen.
room_graveyard	Friedhof
quickbuild_graveyard	Friedhof
buildtoolbar_popup_room_graveyard	Die letzte Ruhestätte für einige unserer Häftlinge. Ob sie auch liegen bleiben werden, ist eine andere Sache.
room_empty	Leerer Raum
buildtoolbar_popup_room_empty	Sie brauchen keine Wände und Türen mehr, um Ihre Bereiche zu trennen. Nutzen Sie diesen leeren Raum, um neue Bereiche für den Einsatz und die Zuweisung von Sicherheitssektoren zu schaffen.
d11_graveyard_advisor_onboarding	Es gibt ... Bewegung auf dem Friedhof ... Die Toten leiden wohl an Platzmangel und beginnen, auf der Erde zu wandeln.
object_DistractionContraption	Ablenkungsvorrichtung
buildtoolbar_popup_obj_DistractionContraption	Ein Audiogerät, das infizierte Individuen in Reichweite kurzzeitig ablenkt. Kann nur einmal alle 24 Stunden verwendet werden. Es wird empfohlen, aber nicht vorgeschrieben, dieses Gerät kurz vor Mitternacht zu benutzen.
d11_cooldown_name_DistractionContraption	Cooldown:
object_Gate	Tor
buildtoolbar_popup_obj_Gate	Ein dunkles Tor.
object_DoubleGate	Doppeltor
buildtoolbar_popup_obj_DoubleGate	Ein dunkles Doppeltor.
buildtoolbar_popup_obj_SiberianHusky	Nur vom Aussehen her ätherisch. Neigt dazu, sowohl Gesichter als auch sich selbst zu lecken, aber nicht immer in dieser Reihenfolge.
object_Corgi	Monarch
buildtoolbar_popup_obj_Corgi	Niedlich und hinreißend. Geringe Bodenfreiheit für bessere Aerodynamik. Erstaunlich wendig.
interface_action_LockPosition	Position sperren
interface_action_UnlockPosition	Position entriegeln
casueofdeath_drowned	Ertrunken
causeofdeath_staffKill	Von Personal getötet.
graph_label_timeFrame	Zeitraum
graph_lastFive	Letzte 5 Tage
graph_lastTen	Letzte 10 Tage
graph_lastTwenty	Letzte 20 Tage
d11_logging_zombified	[*T] *X ist ein Untoter geworden.
d11_logging_infection	[*T] Eine Untoten-Infektion breitet sich.
d11_logging_graveZombie	[*T] Ein Untoter ist aus dem Grab gestiegen.
codex_new_zombieOverlay	Untoten-Overlay
codex_new_overlay_only	Nur Overlay
codex_new_overlay_all	Alles aktiviert
codex_tooltip_zombieOverlay	Wendet ein Overlay an, um den Ton des Spiels zu unterstützen und bietet eine visuelle Verzerrung, die wichtige Ereignisse im Spiel hervorhebt.
damage_eaten	*X% gefressen
uniformPack_GraveyardShift	Untoten-Uniformen
uniformPack_GraveyardShift_desc	Ändert die Uniformen von Basisspiel-Personal und macht Spuren von Abnutzung und Verschleiß sichtbar.
d11_zombie_advisor_onboarding	Etwas Seltsames geht vor sich ... Sieht diese Person da drüben für Die okay aus?
d11_prioritise_monitoring	Überwachung priorisieren
d11_prioritise_monitoring_tooltip	Wenn diese Funktion aktiviert ist, werden Wachen die Bedienung von Überwachungskameras gegenüber anderen Aufgaben bevorzugen.
objective_undeadCount	Die Untoten
objective_undeadCount_infections	Infizierte Einheiten:
objective_undeadCount_undead	Untoten-Einheiten:
objective_undeadCount_low	Niedrige Stufe:
objective_undeadCount_mid	Mittlere Stufe:
objective_undeadCount_high	Hohe Stufe:
objective_undeadCount_description	Obwohl diese untoten Plagegeister Probleme verursachen können, müssen Sie bedenken, dass Sie für jeden Untoten, den Sie beherbergen, eine Bezahlung erhalten, die sich nach ihrer Stufe richtet – vorausgesetzt, Sie behalten sie unter Kontrolle.
reports_privilegesPolicy_tooltip_Main	Wenden Sie diese Regeln an, um einzuschränken, zu welchen Aktivitäten oder Einrichtungen die einzelnen Sicherheitsstufen Zugang haben. Ist eine Option angekreuzt, wird der Zugang gewährt, andernfalls wird das dazugehörige Privileg eingeschränkt.
victory_adviserwarning_UndeadEscapes1	Ich habe gerade ein paar „Ausbrecher“ gesehen ... Sie müssen verhindern, dass diese ... diese Dinger ... das Gelände des Gefängnisses verlassen. Wir wissen nicht, was passiert, wenn noch mehr von ihnen entkommen.
victory_advisernotice_UndeadEscapes1	Es sind ... zu viele ... und sie sind überall. Sie hatten die Chance, das zu verhindern, und werden jetzt den Schmerz erleben, den Sie selbst zu verschulden haben.
victory_UndeadEscapes	Untote geflohen
victory_warning_UndeadEscapes	Sie werden dafür zur Rechenschaft gezogen
object_Router	Router
object_RobotDogDoo	Hundehaufen
interface_action_Rotate	Drehen
prisonerTracking_AllPrisoners	Alle Häftlinge
prisonerTracking_FlightRisk	Fluchtrisiko
prisonerTracking_Misconduct	Fehlverhalten:
buildtoolbar_popup_help_PrisonerTracking_4	^Tipps
graph_axis_EscapedUndead	Untote geflohen
buildtoolbar_popup_room_staffroom	Personal, das durch die Arbeit ermüdet ist, kann hier entspannen. Damit Personal sich korrekt ernähren kann, muss der Personalraum auf „Nur für Personal“ (Einsatzsektor) eingestellt und mit einer Küche verbunden werden, um die Einsammlung und Säuberung von Tabletts zu gewährleisten.
d11_nearFuture_advisor_onboarding	Ziehen Sie in Erwägung, einige Ihrer unartigen Gefangenen mit einem Peilsender-Gürtel auszustatten. Wir werden Sie über den Sicherheitsraum im Auge behalten.
object_TrackingMonitor	Überwachungsmonitor
buildtoolbar_popup_uts_TrackingMonitor	Für Überwachungsmenü benötigt.\n\n Wird von einer Wache in einem Sicherheitsraum bedient, um Häftlinge zu überwachen, die einen Peilsender-Gürtel tragen. Verbindung mit Routern erweitert die Reichweite.
object_HealthMonitor	Gesundheitsmonitor
buildtoolbar_popup_uts_HealthMonitor	Für Überwachungsmenü benötigt.\n\n Überwacht die Gesundheit und den Status von Häftlingen, die mit Peilsender-Gürteln ausgestattet sind. Zum Aufstellen in Krankenstationen.
buildtoolbar_popup_uts_Router	Für Überwachungsmenü benötigt.\n\n Nach Verbindung mit dem Überwachungsmonitor werden damit entsprechend ausgerüstete Häftlinge in Reichweite überwacht. Die Reichweite kann individuell oder über das Überwachungsmenü überprüft werden, um eine vollständige Abdeckung zu gewährleisten.
object_VideoCallBooth	Video-Kabinen
buildtoolbar_popup_uts_VideoCallBooth	Ermöglichen Sie Ihren Häftlingen, ihre Angehörigen zu sehen, auch wenn sie sie nicht besuchen können.
object_advancedsearchlight	Fortschrittlicher Suchscheinwerfer
buildtoolbar_popup_uts_advancedsearchlight	Ein hochmodernes Überwachungsgerät zur Erfassung und Abschreckung von flüchtenden Häftlingen mittels Gesichtserkennung. \n\nMuss an einen Überwachungsmonitor angeschlossen werden.
object_MedicalBox	Medizinbox
buildtoolbar_popup_obj_MedicalBox	Für Überwachungsmenü benötigt.\n\n Enthält 5 Peilsender-Gürtel.
object_TrackingBelt	Peilsender-Gürtel
interfacecontraband_tracking	Überwachung
job_GiveTrackingBelt	Häftling Peilsender-Gürtel geben
uniformPack_future	Uniformen der Zukunft
uniformPack_future_desc	Ändern Sie die Uniformen von Personal und Häftlingen zu einem futuristischen Design.
policy_staffbreakguards	Wachen: *P%
policy_staffbreakworkmen	Arbeiter : *P%
policy_staffbreakcook	Koch: *P%
policy_staffbreakother	Übriges Personal: *P%
policy_staffbreaks	Personalpausen
object_Subwoofer	Subwoofer
buildtoolbar_popup_obj_Subwoofer	Dieses von Menschenhand geschaffene Wunder ist schneller und sieht besser als ein normaler Hund. Schade, dass er nicht auch so widerstandsfähig ist.
object_Byte	Byte
buildtoolbar_popup_obj_Byte	Der letzte Trend der Bewachungstechnologie. Obwohl er viel schwächer ist als andere Hunde, machen seine Sinne alles wieder wett.
material_GlassWall	Glaswand
buildtoolbar_popup_mat_GlassWall	Wenn Sie es nicht riskieren können, Ihr Gefängnis unbeaufsichtigt zu lassen, ist das der beste Wandtyp.
quickbuild_GlassCell	Glaszelle
buildtoolbar_popup_room_GlassCell	Ein nicht ganz so privater Raum für Ihre Gefangenen.
material_ElectrifiedFence	Elektrozaun
buildtoolbar_popup_mat_ElectrifiedFence	Abschreckung mit Hochspannung. \nErfordert Verkabelung unter jedem Kästchen.
equipment_keycard	Schlüsselkarte
object_KeycardDoor	Schlüsselkarten-Tür
buildtoolbar_popup_obj_KeycardDoor	Wachen mit Schlüsselkarte oder Häftlinge, die einen Peilsender-Gürtel tragen, können diese Türen öffnen, wobei der Zugang der Häftlinge für jede Tür einzeln gesperrt werden kann.
object_KeycardDoorLarge	Große Schlüsselkarten-Tür
buildtoolbar_popup_obj_KeycardDoorLarge	Wachen mit Schlüsselkarte oder Häftlinge, die einen Peilsender-Gürtel tragen, können diese Türen öffnen, wobei der Zugang der Häftlinge für jede Tür einzeln gesperrt werden kann.
entity_carryingkeycard	Trägt Schlüsselkarte
material_HexagonalTiles	Hexagonale Fliesen
buildtoolbar_popup_mat_HexagonalTiles	Kästchen gehören der Vergangenheit an, freuen Sie sich auf die hexagonale Zukunft.
material_TriangularTiles	Dreieckige Fliesen
buildtoolbar_popup_mat_TriangularTiles	Kästchen gehören der Vergangenheit an, freuen Sie sich auf die dreieckige Zukunft.
schedule_zone_visitoronly	Nur Besucher
interfacedeployment_visitoronlyzone	Nur Besucher
buildtoolbar_deployment_visitoronlyzone	Ein Bereich für Besucher und Zivilisten, der außer ihnen nur von Personal betreten werden kann.
action_videocall	Nach Hause telefonieren
warden_WardenAlexisLin_name	Alexis Lin
